Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Guinea,rural/urban merged,GIN,Boke,n_age_0_6,3,clinical,ppy,0.0646741469624854
Guinea,rural/urban merged,GIN,Boke,n_age_7_13,10,clinical,ppy,0.114404141290265
Guinea,rural/urban merged,GIN,Boke,n_age_14_20,17,clinical,ppy,0.0952382596882015
Guinea,rural/urban merged,GIN,Boke,n_age_21_27,24,clinical,ppy,0.101581321424556
Guinea,rural/urban merged,GIN,Boke,n_age_28_34,31,clinical,ppy,0.129573282358803
Guinea,rural/urban merged,GIN,Boke,n_age_35_41,38,clinical,ppy,0.176803991877047
Guinea,rural/urban merged,GIN,Boke,n_age_42_48,45,clinical,ppy,0.149684816603
Guinea,rural/urban merged,GIN,Boke,n_age_49_55,52,clinical,ppy,0.176975693864322
Guinea,rural/urban merged,GIN,Boke,n_age_56_62,59,clinical,ppy,0.194141198008477
Guinea,rural/urban merged,GIN,Boke,n_age_63_69,66,clinical,ppy,0.226891952606061
Guinea,rural/urban merged,GIN,Boke,n_age_70_76,73,clinical,ppy,0.230654785528374
Guinea,rural/urban merged,GIN,Boke,n_age_77_83,80,clinical,ppy,0.277269069748035
Guinea,rural/urban merged,GIN,Boke,n_age_84_90,87,clinical,ppy,0.287920936085681
Guinea,rural/urban merged,GIN,Boke,n_age_91_97,94,clinical,ppy,0.324890740015316
Guinea,rural/urban merged,GIN,Boke,n_age_98_104,101,clinical,ppy,0.341000977354054
Guinea,rural/urban merged,GIN,Boke,n_age_105_111,108,clinical,ppy,0.346997310705538
Guinea,rural/urban merged,GIN,Boke,n_age_112_118,115,clinical,ppy,0.382540083364769
Guinea,rural/urban merged,GIN,Boke,n_age_119_125,122,clinical,ppy,0.349411367547321
Guinea,rural/urban merged,GIN,Boke,n_age_126_132,129,clinical,ppy,0.384830001471721
Guinea,rural/urban merged,GIN,Boke,n_age_133_139,136,clinical,ppy,0.39878119596099
Guinea,rural/urban merged,GIN,Boke,n_age_140_146,143,clinical,ppy,0.466462128245491
Guinea,rural/urban merged,GIN,Boke,n_age_147_153,150,clinical,ppy,0.409327820542518
Guinea,rural/urban merged,GIN,Boke,n_age_154_160,157,clinical,ppy,0.468916910779906
Guinea,rural/urban merged,GIN,Boke,n_age_161_167,164,clinical,ppy,0.55327616423281
Guinea,rural/urban merged,GIN,Boke,n_age_168_174,171,clinical,ppy,0.524754777074528
