Country,Iso code,Age group,age_in_days_midpoint,units,clinical,severe
Guinea,GIN,n_age_0_6,3,ppy,0.0699715546707657,0.00620877668954987
Guinea,GIN,n_age_7_13,10,ppy,0.0989873847230009,0.005815653507604
Guinea,GIN,n_age_14_20,17,ppy,0.0996001654581035,0.00466337919208493
Guinea,GIN,n_age_21_27,24,ppy,0.133774820897971,0.00730330527610366
Guinea,GIN,n_age_28_34,31,ppy,0.137920721890122,0.00897045427318723
Guinea,GIN,n_age_35_41,38,ppy,0.170142776341308,0.00917642228682435
Guinea,GIN,n_age_42_48,45,ppy,0.195874694423963,0.00776542233816884
Guinea,GIN,n_age_49_55,52,ppy,0.214795437321097,0.0117621698470264
Guinea,GIN,n_age_56_62,59,ppy,0.247340162241593,0.0169420169314684
Guinea,GIN,n_age_63_69,66,ppy,0.274956613658822,0.0184215293181864
Guinea,GIN,n_age_70_76,73,ppy,0.33419128308103,0.0204924048811454
Guinea,GIN,n_age_77_83,80,ppy,0.367522237131131,0.0233847365785865
Guinea,GIN,n_age_84_90,87,ppy,0.410155216501233,0.0230675715659549
Guinea,GIN,n_age_91_97,94,ppy,0.462812107229787,0.0266226946160379
Guinea,GIN,n_age_98_104,101,ppy,0.524836610809216,0.0311623623678216
Guinea,GIN,n_age_105_111,108,ppy,0.572933871795509,0.0261402558526751
Guinea,GIN,n_age_112_118,115,ppy,0.600436657499029,0.0305853944934261
Guinea,GIN,n_age_119_125,122,ppy,0.66407397083747,0.0323251597706843
Guinea,GIN,n_age_126_132,129,ppy,0.767173934799863,0.0466472241625375
Guinea,GIN,n_age_133_139,136,ppy,0.808099147554684,0.0463782181593664
Guinea,GIN,n_age_140_146,143,ppy,0.867543209357566,0.0395416523344655
Guinea,GIN,n_age_147_153,150,ppy,0.905673342743269,0.0465748181269786
Guinea,GIN,n_age_154_160,157,ppy,0.969852539929311,0.0484561084718751
Guinea,GIN,n_age_161_167,164,ppy,1.02154454815429,0.0532769259814894
Guinea,GIN,n_age_168_174,171,ppy,1.08338995789765,0.0550559612152413
Guinea,GIN,n_age_175_181,178,ppy,1.10431720351175,0.0560209409831141
Guinea,GIN,n_age_182_188,185,ppy,1.12786375430416,0.0609947447531483
Guinea,GIN,n_age_189_195,192,ppy,1.20100107007724,0.0637570490502288
Guinea,GIN,n_age_196_202,199,ppy,1.22716522458489,0.0610416142406282
Guinea,GIN,n_age_203_209,206,ppy,1.28870678480265,0.0614161459805395
Guinea,GIN,n_age_210_216,213,ppy,1.27560525788931,0.0650584864723729
Guinea,GIN,n_age_217_223,220,ppy,1.3288380326611,0.0722919655095674
Guinea,GIN,n_age_224_230,227,ppy,1.34687930146033,0.0622250131954193
Guinea,GIN,n_age_231_237,234,ppy,1.391122229334,0.0674077575618301
Guinea,GIN,n_age_238_244,241,ppy,1.39980949942997,0.0699548891395965
Guinea,GIN,n_age_245_251,248,ppy,1.40471895849697,0.0700427863677756
Guinea,GIN,n_age_252_258,255,ppy,1.38085640806777,0.0720140953875205
Guinea,GIN,n_age_259_265,262,ppy,1.45804722702073,0.0757960338213931
Guinea,GIN,n_age_266_272,269,ppy,1.42051867013346,0.0655852409955431
Guinea,GIN,n_age_273_279,276,ppy,1.46688480550625,0.0685027493557949
Guinea,GIN,n_age_280_286,283,ppy,1.48370125475443,0.0725858787423156
Guinea,GIN,n_age_287_293,290,ppy,1.47799038095609,0.0716479805143959
Guinea,GIN,n_age_294_300,297,ppy,1.44818608431329,0.0740133868401634
Guinea,GIN,n_age_301_307,304,ppy,1.47618305267703,0.0668812436507849
Guinea,GIN,n_age_308_314,311,ppy,1.5026472653385,0.0753376269304225
Guinea,GIN,n_age_315_321,318,ppy,1.55093687759451,0.0604133103312389
Guinea,GIN,n_age_322_328,325,ppy,1.52028452816537,0.059442088843955
Guinea,GIN,n_age_329_335,332,ppy,1.54838640624696,0.0728961195018546
Guinea,GIN,n_age_336_342,339,ppy,1.53608515682398,0.0672538016198238
Guinea,GIN,n_age_343_349,346,ppy,1.53554419261655,0.0660794498367605
Guinea,GIN,n_age_350_356,353,ppy,1.5095520867551,0.0624418041790498
Guinea,GIN,n_age_357_363,360,ppy,1.53733950645231,0.068283022190116
Guinea,GIN,n_age_364_370,367,ppy,1.52164018660884,0.0727478929738758
Guinea,GIN,n_age_371_377,374,ppy,1.51558026579324,0.0577146620333597
Guinea,GIN,n_age_378_384,381,ppy,1.54746664027285,0.0700893003521738
Guinea,GIN,n_age_385_391,388,ppy,1.59188400519455,0.0625788007487974
Guinea,GIN,n_age_392_398,395,ppy,1.53162845361056,0.0580776249342766
Guinea,GIN,n_age_399_405,402,ppy,1.52802073126416,0.0598051787697139
Guinea,GIN,n_age_406_412,409,ppy,1.56648382557363,0.0611258332669054
Guinea,GIN,n_age_413_419,416,ppy,1.53114975369998,0.0581758197776194
Guinea,GIN,n_age_420_426,423,ppy,1.49788621005519,0.0599264317881775
Guinea,GIN,n_age_427_433,430,ppy,1.51444122477273,0.0551521392698349
Guinea,GIN,n_age_434_440,437,ppy,1.56798077850828,0.0628181045367254
Guinea,GIN,n_age_441_447,444,ppy,1.56075478261366,0.0614441989201564
Guinea,GIN,n_age_448_454,451,ppy,1.50298750332819,0.0498930603132914
Guinea,GIN,n_age_455_461,458,ppy,1.60809473769159,0.0535594429240025
Guinea,GIN,n_age_462_468,465,ppy,1.57554934750969,0.0599314405860844
Guinea,GIN,n_age_469_475,472,ppy,1.58314841339957,0.0624708810669479
Guinea,GIN,n_age_476_482,479,ppy,1.56372948716216,0.0580516230724486
Guinea,GIN,n_age_483_489,486,ppy,1.53937857555823,0.0573805141614043
Guinea,GIN,n_age_490_496,493,ppy,1.61162582661675,0.0625087508104248
Guinea,GIN,n_age_497_503,500,ppy,1.57870934747361,0.0598274281103897
Guinea,GIN,n_age_504_510,507,ppy,1.58950803216728,0.0603342643605075
Guinea,GIN,n_age_511_517,514,ppy,1.60398896764252,0.0527616305096033
Guinea,GIN,n_age_518_524,521,ppy,1.61233567551906,0.051992682518094
Guinea,GIN,n_age_525_531,528,ppy,1.60883789834661,0.0569915426800721
Guinea,GIN,n_age_532_538,535,ppy,1.61840594484496,0.0553621570973489
Guinea,GIN,n_age_539_545,542,ppy,1.61352328993832,0.0629028487875685
Guinea,GIN,n_age_546_552,549,ppy,1.66040305440605,0.0602546960256022
Guinea,GIN,n_age_553_559,556,ppy,1.62477177774102,0.0635621513581085
Guinea,GIN,n_age_560_566,563,ppy,1.61697215482492,0.0622766846235394
Guinea,GIN,n_age_567_573,570,ppy,1.66028222404346,0.0523726896550237
Guinea,GIN,n_age_574_580,577,ppy,1.64499516233063,0.0614365061342975
Guinea,GIN,n_age_581_587,584,ppy,1.63980094466461,0.0525258375655288
Guinea,GIN,n_age_588_594,591,ppy,1.68945340331875,0.063120841624099
Guinea,GIN,n_age_595_601,598,ppy,1.67829688626625,0.0642692362277535
Guinea,GIN,n_age_602_608,605,ppy,1.68480412019237,0.060337610324718
Guinea,GIN,n_age_609_615,612,ppy,1.64869615028314,0.052940758425834
Guinea,GIN,n_age_616_622,619,ppy,1.66683167308137,0.0593695962856178
Guinea,GIN,n_age_623_629,626,ppy,1.66064991072712,0.0589325715048158
Guinea,GIN,n_age_630_636,633,ppy,1.68481080194987,0.0606809790373364
Guinea,GIN,n_age_637_643,640,ppy,1.68658326675275,0.0564734812982121
Guinea,GIN,n_age_644_650,647,ppy,1.67381056437346,0.0559126760005139
Guinea,GIN,n_age_651_657,654,ppy,1.71889175135502,0.0564678835307466
Guinea,GIN,n_age_658_664,661,ppy,1.70795257196438,0.064753841146889
Guinea,GIN,n_age_665_671,668,ppy,1.72424883049631,0.0527694741080537
Guinea,GIN,n_age_672_678,675,ppy,1.69852222302192,0.0567080904963164
Guinea,GIN,n_age_679_685,682,ppy,1.71286456496148,0.0631685294294502
Guinea,GIN,n_age_686_692,689,ppy,1.6643457000888,0.0492063783071029
Guinea,GIN,n_age_693_699,696,ppy,1.65657088083086,0.056297517567285
Guinea,GIN,n_age_700_706,703,ppy,1.68885756759053,0.0511291993885721
Guinea,GIN,n_age_707_713,710,ppy,1.66810303857822,0.0551647530577172
Guinea,GIN,n_age_714_720,717,ppy,1.68208051226237,0.0548399404646368
Guinea,GIN,n_age_721_727,724,ppy,1.7048354056716,0.0519547653423943
Guinea,GIN,n_age_728_734,731,ppy,1.70351249412073,0.0462500158999765
Guinea,GIN,n_age_735_741,738,ppy,1.72499706049049,0.0472066072697076
Guinea,GIN,n_age_742_748,745,ppy,1.657743207019,0.0488635950019214
Guinea,GIN,n_age_749_755,752,ppy,1.70261890114343,0.0409286341220724
Guinea,GIN,n_age_756_762,759,ppy,1.6840268481369,0.0562163446868382
Guinea,GIN,n_age_763_769,766,ppy,1.72982201015308,0.046936747252043
Guinea,GIN,n_age_770_776,773,ppy,1.65366968354231,0.0423973695350751
Guinea,GIN,n_age_777_783,780,ppy,1.65538648054694,0.048386733935909
Guinea,GIN,n_age_784_790,787,ppy,1.66387225391276,0.0452968189023425
Guinea,GIN,n_age_791_797,794,ppy,1.68784524964886,0.0491479479292331
Guinea,GIN,n_age_798_804,801,ppy,1.64715648176584,0.0527418856641807
Guinea,GIN,n_age_805_811,808,ppy,1.65853665970805,0.0514508247579675
Guinea,GIN,n_age_812_818,815,ppy,1.63930617053911,0.0495511200941565
Guinea,GIN,n_age_819_825,822,ppy,1.73476425496567,0.0425913735561908
Guinea,GIN,n_age_826_832,829,ppy,1.69219283945929,0.0440021795093116
Guinea,GIN,n_age_833_839,836,ppy,1.71346532158265,0.0484964220758139
Guinea,GIN,n_age_840_846,843,ppy,1.68202656905602,0.0450695151247918
Guinea,GIN,n_age_847_853,850,ppy,1.73101108105451,0.0466516220864481
Guinea,GIN,n_age_854_860,857,ppy,1.70479603233622,0.0462080605440203
Guinea,GIN,n_age_861_867,864,ppy,1.6578962232414,0.0538736838413139
Guinea,GIN,n_age_868_874,871,ppy,1.70026996418254,0.0458452486756744
Guinea,GIN,n_age_875_881,878,ppy,1.68409255882401,0.0473517340696019
Guinea,GIN,n_age_882_888,885,ppy,1.705568813586,0.0449152522844875
Guinea,GIN,n_age_889_895,892,ppy,1.74616880977592,0.042415599080694
Guinea,GIN,n_age_896_902,899,ppy,1.71142537439145,0.0429287229225227
Guinea,GIN,n_age_903_909,906,ppy,1.72915394875415,0.0456037885678978
Guinea,GIN,n_age_910_916,913,ppy,1.75710749455448,0.0513522432757479
