Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
Guinea,GIN,0-6mo,91,Boke,raw cases,4,3713.09222019677,236.037259264826,3149.2089009453,199.891426046439,297.982956794263,18.9628100917453,252.896817906956,16.0724642250444,563.883319251463,36.1458332183862,45.0861388873064,2.89034586670086,15.186353739999,15.313613338406,PMC co-delivery with EPI only
Guinea,GIN,6-12mo,273.5,Boke,raw cases,4,7265.94427086333,476.316598332222,6800.49185778887,445.170357774757,592.557089463078,38.8373900289548,554.525722281333,36.2923526799104,465.452413074461,31.1462405574652,38.0313671817443,2.54503734904443,6.4059452663426,6.53897862609047,PMC co-delivery with EPI only
Guinea,GIN,12-18mo,456,Boke,raw cases,4,8353.90729160649,525.678093921774,8353.90729160649,525.678093921774,691.764429465039,43.5280627406725,691.764429465039,43.5280627406725,0,0,0,0,0,0,PMC co-delivery with EPI only
Guinea,GIN,18-24mo,638.5,Boke,raw cases,4,9312.95179515378,556.75923094988,9312.95179515378,556.75923094988,779.921637845634,46.6339579100868,779.921637845634,46.6339579100868,0,0,0,0,0,0,PMC co-delivery with EPI only
Guinea,GIN,24-30mo,821,Boke,raw cases,4,10428.5204026342,520.502741663252,10428.5204026342,520.502741663252,850.530465025627,42.4577206518545,850.530465025627,42.4577206518545,0,0,0,0,0,0,PMC co-delivery with EPI only
Guinea,GIN,0-6mo,91,Conakry,raw cases,4,7299.06923008903,473.959923464855,5340.94648294474,351.01248327095,340.430242160966,22.1002548836131,249.435304724944,16.386895884708,1958.12274714429,122.947440193905,90.9949374360217,5.71335899890514,26.8270197941445,25.9404717797879,PMC co-delivery with EPI only
Guinea,GIN,6-12mo,273.5,Conakry,raw cases,4,12878.927951247,822.130503080545,11399.9402699865,733.981021415176,610.24272910963,38.9678421726899,540.031737016035,34.7821562934921,1478.98768126046,88.1494816653685,70.2109920935945,4.18568587919779,11.4837794485624,10.7220789564516,PMC co-delivery with EPI only
Guinea,GIN,12-18mo,456,Conakry,raw cases,4,14353.6161648987,809.59091737585,14353.6161648987,809.59091737585,690.496264944237,38.9342423182034,690.496264944237,38.9342423182034,0,0,0,0,0,0,PMC co-delivery with EPI only
Guinea,GIN,18-24mo,638.5,Conakry,raw cases,4,15636.0550227139,867.163141190483,15636.0550227139,867.163141190483,760.312315123042,42.1601034102319,760.312315123042,42.1601034102319,0,0,0,0,0,0,PMC co-delivery with EPI only
Guinea,GIN,24-30mo,821,Conakry,raw cases,4,17898.5486583204,683.726097165192,17898.5486583204,683.726097165192,847.362257341454,32.3546557438658,847.362257341454,32.3546557438658,0,0,0,0,0,0,PMC co-delivery with EPI only
Guinea,GIN,0-6mo,91,Faranah,raw cases,4,9527.54722309621,401.260470285352,7989.17427860604,328.525320293572,868.668487314781,36.6087417287369,728.928536065005,30.0038901784011,1538.37294449017,72.7351499917798,139.739951249776,6.60485155033585,16.1465790561596,18.1266671845485,PMC co-delivery with EPI only
Guinea,GIN,6-12mo,273.5,Faranah,raw cases,4,35441.3375548798,1222.23465574574,32840.1558800837,1137.79656457537,3280.13607761411,113.065396906723,3038.97232958517,105.236930870517,2601.18167479611,84.4380911703722,241.163748028939,7.82846603620594,7.33940041277579,6.90850081638804,PMC co-delivery with EPI only
Guinea,GIN,12-18mo,456,Faranah,raw cases,4,38307.235808453,1057.46273048679,38307.235808453,1057.46273048679,3598.88909438184,99.3460797931806,3598.88909438184,99.3460797931806,0,0,0,0,0,0,PMC co-delivery with EPI only
Guinea,GIN,18-24mo,638.5,Faranah,raw cases,4,40434.589452761,1008.80797584963,40434.589452761,1008.80797584963,3842.65273708329,95.8500554056272,3842.65273708329,95.8500554056272,0,0,0,0,0,0,PMC co-delivery with EPI only
Guinea,GIN,24-30mo,821,Faranah,raw cases,4,40363.6921093889,832.782545717463,40363.6921093889,832.782545717463,3736.95503953878,77.0852267217277,3736.95503953878,77.0852267217277,0,0,0,0,0,0,PMC co-delivery with EPI only
Guinea,GIN,0-6mo,91,Kankan,raw cases,4,15967.8875441705,821.000761430215,12733.5420940465,661.079167784276,626.046634817643,32.1992780400567,499.666684913808,25.9507786419286,3234.34545012396,159.921593645939,126.379949903836,6.24849939812806,20.255312051623,19.4788605758842,PMC co-delivery with EPI only
