Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,Scenario
Guinea,GIN,n_age_0_6,3,4,raw cases,0.0699715546707657,0.00620877668954987,PMC co-delivery with EPI only
Guinea,GIN,n_age_7_13,10,4,raw cases,0.0989873847230009,0.005815653507604,PMC co-delivery with EPI only
Guinea,GIN,n_age_14_20,17,4,raw cases,0.0996001654581035,0.00466337919208493,PMC co-delivery with EPI only
Guinea,GIN,n_age_21_27,24,4,raw cases,0.133774820897971,0.00730330527610366,PMC co-delivery with EPI only
Guinea,GIN,n_age_28_34,31,4,raw cases,0.137920721890122,0.00897045427318723,PMC co-delivery with EPI only
Guinea,GIN,n_age_35_41,38,4,raw cases,0.170142776341308,0.00917642228682435,PMC co-delivery with EPI only
Guinea,GIN,n_age_42_48,45,4,raw cases,0.0792539771723276,0.00294829690720137,PMC co-delivery with EPI only
Guinea,GIN,n_age_49_55,52,4,raw cases,0.089919067855522,0.00497511498980823,PMC co-delivery with EPI only
Guinea,GIN,n_age_56_62,59,4,raw cases,0.118137806216472,0.00834230423696922,PMC co-delivery with EPI only
Guinea,GIN,n_age_63_69,66,4,raw cases,0.155516887511587,0.0106269499252096,PMC co-delivery with EPI only
Guinea,GIN,n_age_70_76,73,4,raw cases,0.172621880955479,0.0101116650583987,PMC co-delivery with EPI only
Guinea,GIN,n_age_77_83,80,4,raw cases,0.198477566423322,0.0126087918121583,PMC co-delivery with EPI only
Guinea,GIN,n_age_84_90,87,4,raw cases,0.239036046979631,0.0135935673988326,PMC co-delivery with EPI only
Guinea,GIN,n_age_91_97,94,4,raw cases,0.301242599645121,0.0174551102738356,PMC co-delivery with EPI only
Guinea,GIN,n_age_98_104,101,4,raw cases,0.311571405821796,0.0181828874805151,PMC co-delivery with EPI only
Guinea,GIN,n_age_105_111,108,4,raw cases,0.349333293241585,0.0158330339647593,PMC co-delivery with EPI only
Guinea,GIN,n_age_112_118,115,4,raw cases,0.38722006461944,0.0199045979226633,PMC co-delivery with EPI only
Guinea,GIN,n_age_119_125,122,4,raw cases,0.468353051715004,0.0229236741458995,PMC co-delivery with EPI only
Guinea,GIN,n_age_126_132,129,4,raw cases,0.608747367492005,0.0370645251675676,PMC co-delivery with EPI only
Guinea,GIN,n_age_133_139,136,4,raw cases,0.70845669538889,0.040636231595592,PMC co-delivery with EPI only
Guinea,GIN,n_age_140_146,143,4,raw cases,0.791572736404797,0.0361579250476179,PMC co-delivery with EPI only
Guinea,GIN,n_age_147_153,150,4,raw cases,0.843892031302697,0.0434376097627277,PMC co-delivery with EPI only
Guinea,GIN,n_age_154_160,157,4,raw cases,0.934086820680214,0.0466371539766557,PMC co-delivery with EPI only
Guinea,GIN,n_age_161_167,164,4,raw cases,1.01266357554066,0.0528014598653814,PMC co-delivery with EPI only
Guinea,GIN,n_age_168_174,171,4,raw cases,1.08299883570547,0.0550359533448565,PMC co-delivery with EPI only
Guinea,GIN,n_age_175_181,178,4,raw cases,1.10431658958861,0.0560209088539185,PMC co-delivery with EPI only
Guinea,GIN,n_age_182_188,185,4,raw cases,1.1278637543015,0.0609947447530062,PMC co-delivery with EPI only
Guinea,GIN,n_age_189_195,192,4,raw cases,1.20100107007724,0.0637570490502288,PMC co-delivery with EPI only
Guinea,GIN,n_age_196_202,199,4,raw cases,1.22716522458489,0.0610416142406282,PMC co-delivery with EPI only
Guinea,GIN,n_age_203_209,206,4,raw cases,1.28870678480265,0.0614161459805395,PMC co-delivery with EPI only
