Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,Scenario
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_0_6,3,clinical,ppy,0.512352034459908,6,PMC co-delivery with EPI only
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_7_13,10,clinical,ppy,0.649088427123737,6,PMC co-delivery with EPI only
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_14_20,17,clinical,ppy,0.68162500231382706,6,PMC co-delivery with EPI only
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_21_27,24,clinical,ppy,0.764067184219615,6,PMC co-delivery with EPI only
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_28_34,31,clinical,ppy,0.767582037932312,6,PMC co-delivery with EPI only
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_35_41,38,clinical,ppy,0.796295950160213,6,PMC co-delivery with EPI only
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_42_48,45,clinical,ppy,0.176056783571378,6,PMC co-delivery with EPI only
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_49_55,52,clinical,ppy,0.233205610577206,6,PMC co-delivery with EPI only
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_56_62,59,clinical,ppy,0.369763184828778,6,PMC co-delivery with EPI only
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_63_69,66,clinical,ppy,0.529778758807702,6,PMC co-delivery with EPI only
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_70_76,73,clinical,ppy,0.254139857178098,6,PMC co-delivery with EPI only
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_77_83,80,clinical,ppy,0.324019678819917,6,PMC co-delivery with EPI only
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_84_90,87,clinical,ppy,0.482142708067163,6,PMC co-delivery with EPI only
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_91_97,94,clinical,ppy,0.618191428471683,6,PMC co-delivery with EPI only
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_98_104,101,clinical,ppy,0.143270795411547,6,PMC co-delivery with EPI only
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_105_111,108,clinical,ppy,0.203192166002481,6,PMC co-delivery with EPI only
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_112_118,115,clinical,ppy,0.367103356572884,6,PMC co-delivery with EPI only
