Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_0_6,3,clinical,ppy,0.512352034459908
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_7_13,10,clinical,ppy,0.649088427123737
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_14_20,17,clinical,ppy,0.68162500231382706
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_21_27,24,clinical,ppy,0.764067184219615
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_28_34,31,clinical,ppy,0.767582037932312
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_35_41,38,clinical,ppy,0.796295950160213
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_42_48,45,clinical,ppy,0.841418354724443
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_49_55,52,clinical,ppy,0.970844466377818
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_56_62,59,clinical,ppy,1.13244621894246
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_63_69,66,clinical,ppy,1.13405390284398
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_70_76,73,clinical,ppy,1.08153095748813
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_77_83,80,clinical,ppy,1.22297308853791
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_84_90,87,clinical,ppy,1.38370755245665
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_91_97,94,clinical,ppy,1.27593227751544
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_98_104,101,clinical,ppy,1.41283028607118
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_105_111,108,clinical,ppy,1.48748477084659
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_112_118,115,clinical,ppy,1.5642809960194901
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_119_125,122,clinical,ppy,1.74303864303381
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_126_132,129,clinical,ppy,1.50881895617483
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_133_139,136,clinical,ppy,1.65671025966246
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_140_146,143,clinical,ppy,1.74148022541375
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_147_153,150,clinical,ppy,1.64985839756394
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_154_160,157,clinical,ppy,1.66569073852338
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_161_167,164,clinical,ppy,1.87440988880269
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_168_174,171,clinical,ppy,1.99415137409483
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_175_181,178,clinical,ppy,1.7271715630628801
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_182_188,185,clinical,ppy,1.90076616561762
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_189_195,192,clinical,ppy,1.90961128258525
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_196_202,199,clinical,ppy,1.83945979444706
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_203_209,206,clinical,ppy,2.12256055336234
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_210_216,213,clinical,ppy,1.90928081646711
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_217_223,220,clinical,ppy,2.06597847115068
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_224_230,227,clinical,ppy,2.18258681024055
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_231_237,234,clinical,ppy,2.05669930341306
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_238_244,241,clinical,ppy,2.08341377914744
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_245_251,248,clinical,ppy,2.10208992928873
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_252_258,255,clinical,ppy,2.13401354473052
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_259_265,262,clinical,ppy,2.12082158717594
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_266_272,269,clinical,ppy,2.28783655293678
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_273_279,276,clinical,ppy,2.29832945603002
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_280_286,283,clinical,ppy,2.08633350896216
Equatorial Guinea,rural/urban merged,GNQ,Bioko_Norte,n_age_287_293,290,clinical,ppy,2.07568319686975
