Country,Iso code,Age group,age_in_days_midpoint,units,clinical,severe
Equatorial Guinea,GNQ,n_age_0_6,3,ppy,0.224855542940948,0.00802539267168622
Equatorial Guinea,GNQ,n_age_7_13,10,ppy,0.286978460730233,0.0151819984450702
Equatorial Guinea,GNQ,n_age_14_20,17,ppy,0.291069680215595,0.0253404817596325
Equatorial Guinea,GNQ,n_age_21_27,24,ppy,0.337816052573634,0.027187359476853
Equatorial Guinea,GNQ,n_age_28_34,31,ppy,0.360309626315648,0.0261439772535579
Equatorial Guinea,GNQ,n_age_35_41,38,ppy,0.404327880314394,0.0202500863428462
Equatorial Guinea,GNQ,n_age_42_48,45,ppy,0.442013815289739,0.0296338036223781
Equatorial Guinea,GNQ,n_age_49_55,52,ppy,0.501447543991943,0.0341356315693345
Equatorial Guinea,GNQ,n_age_56_62,59,ppy,0.552455395824628,0.0352423150949315
Equatorial Guinea,GNQ,n_age_63_69,66,ppy,0.601672759638774,0.0275825357099662
Equatorial Guinea,GNQ,n_age_70_76,73,ppy,0.593474096397064,0.0478388608764703
Equatorial Guinea,GNQ,n_age_77_83,80,ppy,0.679764575266978,0.0408569957557004
Equatorial Guinea,GNQ,n_age_84_90,87,ppy,0.722660908155941,0.0321755458579679
Equatorial Guinea,GNQ,n_age_91_97,94,ppy,0.773365725005094,0.0446942538034776
Equatorial Guinea,GNQ,n_age_98_104,101,ppy,0.838989194805409,0.0457883796616327
Equatorial Guinea,GNQ,n_age_105_111,108,ppy,0.846202494908684,0.0429878818944529
Equatorial Guinea,GNQ,n_age_112_118,115,ppy,0.915430701503749,0.0565503015304607
Equatorial Guinea,GNQ,n_age_119_125,122,ppy,1.00481234908351,0.0479283603573994
Equatorial Guinea,GNQ,n_age_126_132,129,ppy,0.993440510833767,0.0449490013925852
Equatorial Guinea,GNQ,n_age_133_139,136,ppy,1.06497263572021,0.0503734528992752
Equatorial Guinea,GNQ,n_age_140_146,143,ppy,1.10428743990675,0.0567623375045754
Equatorial Guinea,GNQ,n_age_147_153,150,ppy,1.10179278016518,0.0572405329941341
Equatorial Guinea,GNQ,n_age_154_160,157,ppy,1.14198556996307,0.0678126336089029
Equatorial Guinea,GNQ,n_age_161_167,164,ppy,1.17843978009957,0.0672882559724423
Equatorial Guinea,GNQ,n_age_168_174,171,ppy,1.24342857386917,0.0760081079329914
Equatorial Guinea,GNQ,n_age_175_181,178,ppy,1.22135277211417,0.0740526336064974
Equatorial Guinea,GNQ,n_age_182_188,185,ppy,1.24294999320183,0.0585133059456441
Equatorial Guinea,GNQ,n_age_189_195,192,ppy,1.30024232518675,0.0587322250046439
Equatorial Guinea,GNQ,n_age_196_202,199,ppy,1.31088030161929,0.0453817018467076
Equatorial Guinea,GNQ,n_age_203_209,206,ppy,1.40610176171504,0.0753113534972543
Equatorial Guinea,GNQ,n_age_210_216,213,ppy,1.36394231295631,0.0654698106540073
Equatorial Guinea,GNQ,n_age_217_223,220,ppy,1.43584826541708,0.0685446815382601
Equatorial Guinea,GNQ,n_age_224_230,227,ppy,1.42257865466149,0.0785204743946014
Equatorial Guinea,GNQ,n_age_231_237,234,ppy,1.45895601890659,0.0907736299419183
Equatorial Guinea,GNQ,n_age_238_244,241,ppy,1.41589414678346,0.0874440432862126
Equatorial Guinea,GNQ,n_age_245_251,248,ppy,1.45203345437434,0.075775868155778
Equatorial Guinea,GNQ,n_age_252_258,255,ppy,1.46699692376266,0.0690360833851353
Equatorial Guinea,GNQ,n_age_259_265,262,ppy,1.53168780443102,0.0751854781698379
Equatorial Guinea,GNQ,n_age_266_272,269,ppy,1.47790374022659,0.0598057169947974
Equatorial Guinea,GNQ,n_age_273_279,276,ppy,1.52864693802791,0.0766849958622537
Equatorial Guinea,GNQ,n_age_280_286,283,ppy,1.51908445056305,0.0732523214595895
Equatorial Guinea,GNQ,n_age_287_293,290,ppy,1.49789602440379,0.0676271719786157
Equatorial Guinea,GNQ,n_age_294_300,297,ppy,1.5085296304551301,0.0727673445399365
Equatorial Guinea,GNQ,n_age_301_307,304,ppy,1.62329713496944,0.0862715747792082
Equatorial Guinea,GNQ,n_age_308_314,311,ppy,1.52057560088286,0.0594635020878957
Equatorial Guinea,GNQ,n_age_315_321,318,ppy,1.59911236345816,0.0557390990350273
Equatorial Guinea,GNQ,n_age_322_328,325,ppy,1.50319701764371,0.0619258613360443
Equatorial Guinea,GNQ,n_age_329_335,332,ppy,1.63972691772775,0.071127205351768
Equatorial Guinea,GNQ,n_age_336_342,339,ppy,1.53528703014679,0.0642339273217503
Equatorial Guinea,GNQ,n_age_343_349,346,ppy,1.59903830818652,0.0621341107884553
Equatorial Guinea,GNQ,n_age_350_356,353,ppy,1.56240028467326,0.0641985113430694
Equatorial Guinea,GNQ,n_age_357_363,360,ppy,1.62404741492339,0.0724688855220946
Equatorial Guinea,GNQ,n_age_364_370,367,ppy,1.54027611958706,0.0826802430776771
Equatorial Guinea,GNQ,n_age_371_377,374,ppy,1.60209575255222,0.0700714260131737
Equatorial Guinea,GNQ,n_age_378_384,381,ppy,1.57567339751402,0.07221670392326
Equatorial Guinea,GNQ,n_age_385_391,388,ppy,1.6086333973009601,0.0661201169390715
Equatorial Guinea,GNQ,n_age_392_398,395,ppy,1.58137945268205,0.0594039077096814
Equatorial Guinea,GNQ,n_age_399_405,402,ppy,1.62482063894462,0.0651753399189529
Equatorial Guinea,GNQ,n_age_406_412,409,ppy,1.56943612723147,0.0609104883907612
Equatorial Guinea,GNQ,n_age_413_419,416,ppy,1.63070507749966,0.0647821166602158
Equatorial Guinea,GNQ,n_age_420_426,423,ppy,1.6135828279249,0.0641779950694966
Equatorial Guinea,GNQ,n_age_427_433,430,ppy,1.58520058263082,0.0585721124573628
Equatorial Guinea,GNQ,n_age_434_440,437,ppy,1.66507706386861,0.0615067141878922
Equatorial Guinea,GNQ,n_age_441_447,444,ppy,1.61478798477439,0.0664573684476951
Equatorial Guinea,GNQ,n_age_448_454,451,ppy,1.59686909962492,0.0679680385388315
Equatorial Guinea,GNQ,n_age_455_461,458,ppy,1.67370180215932,0.0697281692960982
Equatorial Guinea,GNQ,n_age_462_468,465,ppy,1.65273078841074,0.0603340413474592
Equatorial Guinea,GNQ,n_age_469_475,472,ppy,1.64815793954174,0.0712028452318104
Equatorial Guinea,GNQ,n_age_476_482,479,ppy,1.58024777029382,0.0747950860790187
Equatorial Guinea,GNQ,n_age_483_489,486,ppy,1.59886218258647,0.0598847126958663
Equatorial Guinea,GNQ,n_age_490_496,493,ppy,1.65994229820016,0.0598230089808691
Equatorial Guinea,GNQ,n_age_497_503,500,ppy,1.67571055445613,0.0686762326808567
Equatorial Guinea,GNQ,n_age_504_510,507,ppy,1.68299833641449,0.0660071477713802
Equatorial Guinea,GNQ,n_age_511_517,514,ppy,1.67093691449557,0.069184663826705
Equatorial Guinea,GNQ,n_age_518_524,521,ppy,1.67567584676173,0.0570567496858364
Equatorial Guinea,GNQ,n_age_525_531,528,ppy,1.66042061642339,0.0676704377406504
Equatorial Guinea,GNQ,n_age_532_538,535,ppy,1.65407337725659,0.0702107648146449
Equatorial Guinea,GNQ,n_age_539_545,542,ppy,1.72416183747472,0.0548333550305401
Equatorial Guinea,GNQ,n_age_546_552,549,ppy,1.65767624722352,0.0629513300456914
Equatorial Guinea,GNQ,n_age_553_559,556,ppy,1.74366376006551,0.0623244597688198
Equatorial Guinea,GNQ,n_age_560_566,563,ppy,1.64033084127083,0.0596357150435721
