Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,Scenario
Equatorial Guinea,GNQ,n_age_0_6,3,Bioko_Norte,raw cases,6,57.8949445794686,1.25394296264437,512.352034459908,11.0970004837929,0,0,0,0,57.8949445794686,1.25394296264437,512.352034459908,11.0970004837929,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_7_13,10,Bioko_Norte,raw cases,6,85.4938161242066,5.20465141427059,649.088427123737,39.5148930456937,0,0,0,0,85.4938161242066,5.20465141427059,649.088427123737,39.5148930456937,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_14_20,17,Bioko_Norte,raw cases,6,89.6871444743248,4.06763343650787,681.625002313827,30.9141367675632,0,0,0,0,89.6871444743248,4.06763343650787,681.625002313827,30.9141367675632,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_21_27,24,Bioko_Norte,raw cases,6,100.437539020377,8.21592670247095,764.067184219615,62.5017303544059,0,0,0,0,100.437539020377,8.21592670247095,764.067184219615,62.5017303544059,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_28_34,31,Bioko_Norte,raw cases,6,100.795257180901,6.87175177149937,767.582037932312,52.3301728320995,0,0,0,0,100.795257180901,6.87175177149937,767.582037932312,52.3301728320995,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_35_41,38,Bioko_Norte,raw cases,6,104.466087249941,5.57976637590873,796.295950160213,42.5319401247006,0,0,0,0,104.466087249941,5.57976637590873,796.295950160213,42.5319401247006,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_42_48,45,Bioko_Norte,raw cases,6,110.27791230316,8.19733952531687,841.418354724443,62.5455432775011,87.2035707107198,6.48214372222264,665.361571153065,49.4586322131858,23.0743415924402,1.71519580309423,176.056783571378,13.0869110643153,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_49_55,52,Bioko_Norte,raw cases,6,127.146184474122,7.6489795984015,970.844466377818,58.4049733561318,96.6045224368679,5.81162560472521,737.638855800612,44.375571176935,30.5416620372542,1.83735399367629,233.205610577206,14.0294021791968,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_56_62,59,Bioko_Norte,raw cases,6,148.184891243563,9.62829459514471,1132.44621894246,73.5805500657568,99.7999733435371,6.48449066483964,762.683034113682,49.5552338267434,48.3849179000263,3.14380393030507,369.763184828778,24.0253162390134,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_63_69,66,Bioko_Norte,raw cases,6,148.273600822225,7.00547947222537,1134.05390284398,53.5806191575254,79.0068719563801,3.73283589651784,604.275144036278,28.5501740946973,69.2667288658446,3.27264357570753,529.778758807702,25.0304450628281,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_70_76,73,Bioko_Norte,raw cases,6,141.273179841669,11.4493555658536,1081.53095748813,87.651686623305,108.076584312454,8.75896786299472,827.391100310032,67.0551544892624,33.1965955292144,2.69038770285893,254.139857178098,20.5965321340426,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_77_83,80,Bioko_Norte,raw cases,6,159.611364812414,7.59895104171845,1222.97308853791,58.2246297816007,117.323252631339,5.58565271244001,898.953409717993,42.7983493359718,42.2881121810749,2.01329832927845,324.019678819917,15.4262804456289,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_84_90,87,Bioko_Norte,raw cases,6,180.43260562379,8.40380419493726,1383.70755245665,64.4473724341558,117.562192764788,5.47556050253305,901.564844389487,41.9911600516694,62.8704128590019,2.9282436924042,482.142708067163,22.4562123824864,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_91_97,94,Bioko_Norte,raw cases,6,166.232161575805,11.1686955550368,1275.93227751544,85.7264865073424,85.6923874566109,5.75744295095804,657.740849043757,44.1918532938714,80.5397741191942,5.41125260407872,618.191428471683,41.534633213471,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_98_104,101,Bioko_Norte,raw cases,6,183.905327960756,11.0420622200023,1412.83028607118,84.8292983030408,165.25605148564,9.92232048397055,1269.55949065963,76.2270187781045,18.6492764751162,1.1197417360317,143.270795411547,8.60227952493631,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_105_111,108,Bioko_Norte,raw cases,6,193.441225471555,6.2256575035517,1487.48477084659,47.8727877290132,167.016926972439,5.37522537965419,1284.29260484411,41.3333087226507,26.4242984991161,0.85043212389751,203.192166002481,6.53947900636247,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_112_118,115,Bioko_Norte,raw cases,6,203.255051185189,13.3834138819758,1564.28099601949,103.000736637849,155.555429620812,10.2426123437743,1197.17763944661,78.8286625377025,47.699621564377,3.14080153820155,367.103356572884,24.1720741001465,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_119_125,122,Bioko_Norte,raw cases,6,226.26281782007,10.8057156734315,1743.03864303381,83.242930349277,137.003465344947,6.54292431719645,1055.42013763697,50.4040833275056,89.2593524751227,4.26279135623505,687.618505396842,32.8388470217714,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_126_132,129,Bioko_Norte,raw cases,6,195.699094939396,8.14627811072895,1508.81895617483,62.8069273368193,75.9600339501474,3.16195413192863,585.643685123627,24.3783259921906,119.739060989248,4.98432397880032,923.175271051203,38.4286013446287,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_133_139,136,Bioko_Norte,raw cases,6,214.724108433182,11.6227330166144,1656.71025966246,89.675543069886,41.9687646241683,2.2717139208224,323.81125457021,17.5274764771728,172.755343809014,9.351019095792,1332.89900509225,72.1480665927132,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_140_146,143,Bioko_Norte,raw cases,6,225.505155613318,10.3958483426936,1741.48022541375,80.2827069117882,26.444219929837,1.21908565320261,204.21744220904,9.41447902760309,199.060935683481,9.17676268949099,1537.26278320471,70.8682278841851,PMC co-delivery with EPI only
