Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,Scenario
Equatorial Guinea,GNQ,n_age_0_6,3,6,raw cases,0.224855542940948,0.00802539267168622,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_7_13,10,6,raw cases,0.286978460730233,0.0151819984450702,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_14_20,17,6,raw cases,0.291069680215595,0.0253404817596325,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_21_27,24,6,raw cases,0.337816052573634,0.027187359476853,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_28_34,31,6,raw cases,0.360309626315648,0.0261439772535579,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_35_41,38,6,raw cases,0.404327880314394,0.0202500863428462,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_42_48,45,6,raw cases,0.0920519425607052,0.00617015594463739,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_49_55,52,6,raw cases,0.120879499548843,0.00822638906222854,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_56_62,59,6,raw cases,0.181971057902928,0.0116160938461105,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_63_69,66,6,raw cases,0.281073895744328,0.012877825382888,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_70_76,73,6,raw cases,0.138045694060577,0.0111708121039552,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_77_83,80,6,raw cases,0.179748960906563,0.0108174507966064,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_84_90,87,6,raw cases,0.253361716385387,0.0112404027544498,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_91_97,94,6,raw cases,0.37379925485399,0.0216209490952659,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_98_104,101,6,raw cases,0.0851071973187988,0.00464503532314473,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_105_111,108,6,raw cases,0.117438557174848,0.0059901754472002,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_112_118,115,6,raw cases,0.219476867558254,0.0135490668856906,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_119_125,122,6,raw cases,0.396786321853548,0.0189891159724249,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_126_132,129,6,raw cases,0.602042773203435,0.0271701774248016,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_133_139,136,6,raw cases,0.84488742483671,0.0399740516569338,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_140_146,143,6,raw cases,0.961816863892413,0.0493831809733572,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_147_153,150,6,raw cases,0.992957858435158,0.0515862448623291,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_154_160,157,6,raw cases,1.08022368812463,0.0641555754380387,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_161_167,164,6,raw cases,1.16356339230259,0.0664433244572741,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_168_174,171,6,raw cases,1.24277472008391,0.075968871122001,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_175_181,178,6,raw cases,1.22135177055554,0.0740525729745375,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_182_188,185,6,raw cases,0.913962936995559,0.0429046909217926,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_189_195,192,6,raw cases,0.966567647070526,0.0441463960273589,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_196_202,199,6,raw cases,1.01853752744195,0.0357207687265537,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_203_209,206,6,raw cases,1.15467097955262,0.0622636284236506,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_210_216,213,6,raw cases,1.20513740468029,0.0577254262961301,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_217_223,220,6,raw cases,1.34930301007158,0.0642651197230383,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_224_230,227,6,raw cases,1.36859713600222,0.0754065750388866,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_231_237,234,6,raw cases,1.4165903125347,0.0881014480380228,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_238_244,241,6,raw cases,1.3935324733325,0.0860151742294266,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_245_251,248,6,raw cases,1.44665837795563,0.0754902387914671,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_252_258,255,6,raw cases,1.46677093740494,0.069025012913314,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_259_265,262,6,raw cases,1.53168743687372,0.0751854597044925,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_266_272,269,6,raw cases,1.47790374022509,0.0598057169947384,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_273_279,276,6,raw cases,0.721392934003984,0.035773745599634,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_280_286,283,6,raw cases,0.751966023560705,0.0365937773012488,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_287_293,290,6,raw cases,0.82969607900328,0.0377491262458683,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_294_300,297,6,raw cases,0.974394997339227,0.0470633876016361,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_301_307,304,6,raw cases,1.24712607072728,0.0662565928835299,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_308_314,311,6,raw cases,1.33597859449424,0.0522971557649402,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_315_321,318,6,raw cases,1.4776934474994,0.0513553464447658,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_322_328,325,6,raw cases,1.41567682047725,0.0582919839829885,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_329_335,332,6,raw cases,1.58746144383455,0.0688714312008509,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_336_342,339,6,raw cases,1.52386094865551,0.0637528321755844,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_343_349,346,6,raw cases,1.59854262234317,0.062114616576104,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_350_356,353,6,raw cases,1.56239952864326,0.0641984808109704,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_357_363,360,6,raw cases,1.62404741492007,0.0724688855219453,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_364_370,367,6,raw cases,1.54027611958706,0.0826802430776771,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_371_377,374,6,raw cases,1.60209575255222,0.0700714260131737,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_378_384,381,6,raw cases,1.57567339751402,0.07221670392326,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_385_391,388,6,raw cases,1.6086333973009601,0.0661201169390715,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_392_398,395,6,raw cases,1.58137945268205,0.0594039077096814,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_399_405,402,6,raw cases,1.62482063894462,0.0651753399189529,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_406_412,409,6,raw cases,1.56943612723147,0.0609104883907612,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_413_419,416,6,raw cases,1.63070507749966,0.0647821166602158,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_420_426,423,6,raw cases,1.6135828279249,0.0641779950694966,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_427_433,430,6,raw cases,1.58520058263082,0.0585721124573628,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,n_age_434_440,437,6,raw cases,1.66507706386861,0.0615067141878922,PMC co-delivery with EPI only
