"","Country","Region (admin-1)","PMC delivery strategy (vs. comparator)","Cost-effectiveness threshold (lower)","Cost-effectiveness threshold (upper)","Additional clinical malaria cases averted","Additional hospitalisations averted","Additional deaths averted","Additional DALYs averted","Difference in treatment costs","Difference in implementation costs","Difference in implementation costs (incl. national costs)","Difference in total costs","Difference in total costs (incl. national costs)","ICER based on regional costs only (no national costs)","Cost-effective? (lower country-specific threshold)","Cost-effective? (higher country-specific threshold)","Cost-effective? ($250 / DALY averted threshold)","ICER including national costs for every individual region (i.e. double-counting, just done for calculation purposes)","ICER (incl. national costs) below CET lower bound (Y/N)","ICER (incl. national costs) below CET upper bound (Y/N)","ICER (incl. national costs) below $250 / DALY averted threshold (Y/N)","Current scenario chosen"
"1","AGO","Bengo","PMC co-delivery with EPI only vs No PMC",233.4,573,225.69032195945,17.760474519911,3.81850202178086,17.6908515528609,-3386.39317702859,198026.349697831,378470.349697831,194639.956520803,375083.956520803,11002.2943745366,"no","no","no",21202.1425537397,"no","no","no",NA
"2","AGO","Bengo","No PMC vs PMC co-delivery with EPI only",233.4,573,-225.69032195945,-17.760474519911,-3.81850202178086,-17.6908515528609,3386.39317702859,-198026.349697831,-378470.349697831,-194639.956520803,-375083.956520803,11002.2943745366,"no","no","no",21202.1425537397,"no","no","no",NA
"3","AGO","Benguela","PMC co-delivery with EPI only vs No PMC",233.4,573,751.0225511589,55.9843516421799,12.0366356030687,57.7847044805819,-11006.0350581478,533298.602692011,713742.602692011,522292.567633863,702736.567633863,9038.59546100777,"no","no","no",12161.2903267509,"no","no","no",NA
"4","AGO","Benguela","No PMC vs PMC co-delivery with EPI only",233.4,573,-751.0225511589,-55.9843516421799,-12.0366356030687,-57.7847044805819,11006.0350581478,-533298.602692011,-713742.602692011,-522292.567633863,-702736.567633863,9038.59546100777,"no","no","no",12161.2903267509,"no","no","no",NA
"5","AGO","Bie","PMC co-delivery with EPI only vs No PMC",233.4,573,1778.8804314273,102.28831304925,21.9919873055887,126.319234943931,-23513.0392526689,342286.695507928,522730.695507928,318773.656255259,499217.656255259,2523.55594456183,"no","no","no",3952.03198053603,"no","no","no",NA
"6","AGO","Bie","No PMC vs PMC co-delivery with EPI only",233.4,573,-1778.8804314273,-102.28831304925,-21.9919873055887,-126.319234943931,23513.0392526689,-342286.695507928,-522730.695507928,-318773.656255259,-499217.656255259,2523.55594456183,"no","no","no",3952.03198053603,"no","no","no",NA
"7","AGO","Cabinda","PMC co-delivery with EPI only vs No PMC",233.4,573,1823.3893080047,119.76506581331,25.7494891498617,134.671097611271,-25359.0234768939,181052.239906725,361496.239906725,155693.216429831,336137.216429831,1156.09970655501,"no","no","no",2495.98631326295,"no","no","no",NA
"8","AGO","Cabinda","No PMC vs PMC co-delivery with EPI only",233.4,573,-1823.3893080047,-119.76506581331,-25.7494891498617,-134.671097611271,25359.0234768939,-181052.239906725,-361496.239906725,-155693.216429831,-336137.216429831,1156.09970655501,"no","no","no",2495.98631326295,"no","no","no",NA
"9","AGO","Cuando_Cubango","PMC co-delivery with EPI only vs No PMC",233.4,573,648.137445447101,32.268526956453,6.9377332956374,44.2844570986481,-8145.43281728469,329873.935130416,510317.935130416,321728.502313132,502172.502313132,7265.04338974844,"no","no","no",11339.7009969997,"no","no","no",NA
"10","AGO","Cuando_Cubango","No PMC vs PMC co-delivery with EPI only",233.4,573,-648.137445447101,-32.268526956453,-6.9377332956374,-44.2844570986481,8145.43281728469,-329873.935130416,-510317.935130416,-321728.502313132,-502172.502313132,7265.04338974844,"no","no","no",11339.7009969997,"no","no","no",NA
"11","AGO","Cuanza_Norte","PMC co-delivery with EPI only vs No PMC",233.4,573,918.7893395963,49.523893179783,10.6476370336534,64.0925711459749,-11865.5692539314,559616.25214018,740060.25214018,547750.682886248,728194.682886248,8546.2429278849,"no","no","no",11361.6082155253,"no","no","no",NA
"12","AGO","Cuanza_Norte","No PMC vs PMC co-delivery with EPI only",233.4,573,-918.7893395963,-49.523893179783,-10.6476370336534,-64.0925711459749,11865.5692539314,-559616.25214018,-740060.25214018,-547750.682886248,-728194.682886248,8546.2429278849,"no","no","no",11361.6082155253,"no","no","no",NA
"13","AGO","Cuanza_Sul","PMC co-delivery with EPI only vs No PMC",233.4,573,3217.1644925151,205.63530316898,44.2115901813306,235.636474621075,-44264.5427319295,637366.667561868,817810.667561868,593102.124829939,773546.124829939,2517.02172078284,"no","no","no",3282.79450825205,"no","no","no",NA
