Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,Scenario
Kenya,rural/urban merged,KEN,Baringo,n_age_0_6,3,clinical,ppy,0.0352711554367107,6,PMC co-delivery with EPI only
Kenya,rural/urban merged,KEN,Baringo,n_age_7_13,10,clinical,ppy,0.0381363225838617,6,PMC co-delivery with EPI only
Kenya,rural/urban merged,KEN,Baringo,n_age_14_20,17,clinical,ppy,0.0306831918442647,6,PMC co-delivery with EPI only
Kenya,rural/urban merged,KEN,Baringo,n_age_21_27,24,clinical,ppy,0.0616722149232604,6,PMC co-delivery with EPI only
Kenya,rural/urban merged,KEN,Baringo,n_age_28_34,31,clinical,ppy,0.0294042744876824,6,PMC co-delivery with EPI only
Kenya,rural/urban merged,KEN,Baringo,n_age_35_41,38,clinical,ppy,0.0483221705025795,6,PMC co-delivery with EPI only
Kenya,rural/urban merged,KEN,Baringo,n_age_42_48,45,clinical,ppy,0.00503483525170206,6,PMC co-delivery with EPI only
Kenya,rural/urban merged,KEN,Baringo,n_age_49_55,52,clinical,ppy,0.0158665492410409,6,PMC co-delivery with EPI only
Kenya,rural/urban merged,KEN,Baringo,n_age_56_62,59,clinical,ppy,0.0174867981961091,6,PMC co-delivery with EPI only
Kenya,rural/urban merged,KEN,Baringo,n_age_63_69,66,clinical,ppy,0.0294259615498204,6,PMC co-delivery with EPI only
Kenya,rural/urban merged,KEN,Baringo,n_age_70_76,73,clinical,ppy,0.00731063787995623,6,PMC co-delivery with EPI only
Kenya,rural/urban merged,KEN,Baringo,n_age_77_83,80,clinical,ppy,0.0123580080861899,6,PMC co-delivery with EPI only
Kenya,rural/urban merged,KEN,Baringo,n_age_84_90,87,clinical,ppy,0.0255539156701874,6,PMC co-delivery with EPI only
Kenya,rural/urban merged,KEN,Baringo,n_age_91_97,94,clinical,ppy,0.0274644760967101,6,PMC co-delivery with EPI only
Kenya,rural/urban merged,KEN,Baringo,n_age_98_104,101,clinical,ppy,0.0126822530629127,6,PMC co-delivery with EPI only
Kenya,rural/urban merged,KEN,Baringo,n_age_105_111,108,clinical,ppy,0.00935311685136913,6,PMC co-delivery with EPI only
Kenya,rural/urban merged,KEN,Baringo,n_age_112_118,115,clinical,ppy,0.0268414008253992,6,PMC co-delivery with EPI only
