Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Kenya,rural/urban merged,KEN,Baringo,n_age_0_6,3,clinical,ppy,0.0352711554367107
Kenya,rural/urban merged,KEN,Baringo,n_age_7_13,10,clinical,ppy,0.0381363225838617
Kenya,rural/urban merged,KEN,Baringo,n_age_14_20,17,clinical,ppy,0.0306831918442647
Kenya,rural/urban merged,KEN,Baringo,n_age_21_27,24,clinical,ppy,0.0616722149232604
Kenya,rural/urban merged,KEN,Baringo,n_age_28_34,31,clinical,ppy,0.0294042744876824
Kenya,rural/urban merged,KEN,Baringo,n_age_35_41,38,clinical,ppy,0.0483221705025795
Kenya,rural/urban merged,KEN,Baringo,n_age_42_48,45,clinical,ppy,0.0374582159469497
Kenya,rural/urban merged,KEN,Baringo,n_age_49_55,52,clinical,ppy,0.0644077987540531
Kenya,rural/urban merged,KEN,Baringo,n_age_56_62,59,clinical,ppy,0.0365030790693565
Kenya,rural/urban merged,KEN,Baringo,n_age_63_69,66,clinical,ppy,0.0427601523329443
Kenya,rural/urban merged,KEN,Baringo,n_age_70_76,73,clinical,ppy,0.0522277776909668
Kenya,rural/urban merged,KEN,Baringo,n_age_77_83,80,clinical,ppy,0.0492770393499277
Kenya,rural/urban merged,KEN,Baringo,n_age_84_90,87,clinical,ppy,0.0529826393644669
Kenya,rural/urban merged,KEN,Baringo,n_age_91_97,94,clinical,ppy,0.0398085281461195
Kenya,rural/urban merged,KEN,Baringo,n_age_98_104,101,clinical,ppy,0.0715182557618602
Kenya,rural/urban merged,KEN,Baringo,n_age_105_111,108,clinical,ppy,0.0330141490275156
Kenya,rural/urban merged,KEN,Baringo,n_age_112_118,115,clinical,ppy,0.0531796517289164
Kenya,rural/urban merged,KEN,Baringo,n_age_119_125,122,clinical,ppy,0.036243979368491
Kenya,rural/urban merged,KEN,Baringo,n_age_126_132,129,clinical,ppy,0.0313883738989147
Kenya,rural/urban merged,KEN,Baringo,n_age_133_139,136,clinical,ppy,0.0476041236329063
