Country,Iso code,Age group,age_in_days_midpoint,units,clinical,severe
Kenya,KEN,n_age_0_6,3,ppy,0.0569270244363048,0.00443558634356632
Kenya,KEN,n_age_7_13,10,ppy,0.0621544313819352,0.00356955657284515
Kenya,KEN,n_age_14_20,17,ppy,0.0662435143345737,0.0051872882450571
Kenya,KEN,n_age_21_27,24,ppy,0.0648371178700997,0.00533780879158289
Kenya,KEN,n_age_28_34,31,ppy,0.06573766443134,0.00549737749224385
Kenya,KEN,n_age_35_41,38,ppy,0.075297401860874,0.00643054020935075
Kenya,KEN,n_age_42_48,45,ppy,0.0712245207723082,0.00594408974992188
Kenya,KEN,n_age_49_55,52,ppy,0.0772994668931885,0.00611634317283957
Kenya,KEN,n_age_56_62,59,ppy,0.0847453657135504,0.0069512875173617
Kenya,KEN,n_age_63_69,66,ppy,0.0945123185523374,0.00480221594696892
Kenya,KEN,n_age_70_76,73,ppy,0.0900959673475752,0.00712644759198137
Kenya,KEN,n_age_77_83,80,ppy,0.0934421691095751,0.00783207473467154
Kenya,KEN,n_age_84_90,87,ppy,0.0937276658409409,0.00791547970239823
Kenya,KEN,n_age_91_97,94,ppy,0.0982367736618342,0.00879913988337172
Kenya,KEN,n_age_98_104,101,ppy,0.104661920241403,0.00759443462994967
Kenya,KEN,n_age_105_111,108,ppy,0.103814840249709,0.00724268995552937
Kenya,KEN,n_age_112_118,115,ppy,0.110418354643546,0.00967540256638839
Kenya,KEN,n_age_119_125,122,ppy,0.111977879810702,0.00838873782181775
Kenya,KEN,n_age_126_132,129,ppy,0.117251261123588,0.00821197160117805
Kenya,KEN,n_age_133_139,136,ppy,0.117364749914222,0.00782143358322395
Kenya,KEN,n_age_140_146,143,ppy,0.120315412720674,0.0122581000975446
Kenya,KEN,n_age_147_153,150,ppy,0.123892024964545,0.00994495549566034
Kenya,KEN,n_age_154_160,157,ppy,0.127679563469446,0.0104852028841229
Kenya,KEN,n_age_161_167,164,ppy,0.132154400566455,0.00964623379599851
Kenya,KEN,n_age_168_174,171,ppy,0.126523505146698,0.0100177160862501
Kenya,KEN,n_age_175_181,178,ppy,0.145087739409642,0.0104024223346867
Kenya,KEN,n_age_182_188,185,ppy,0.124265676678375,0.011686830440936
Kenya,KEN,n_age_189_195,192,ppy,0.130015828760704,0.00981737823929685
Kenya,KEN,n_age_196_202,199,ppy,0.136959681132505,0.0115527177959531
