"Iso code","Scenario","N doses","Admin-1 unit","age","rural","urban","merged"
"MDG","PMC co-delivery with EPI only",4,"Antananarivo","0-1yr",66720.4409908211,182024.679195003,248745.120185824
"MDG","PMC co-delivery with EPI only",4,"Antananarivo","0-1yr",63758.3869160619,171805.158311544,235563.545227606
"MDG","PMC co-delivery with EPI only",4,"Antananarivo","0-1yr",60836.7167973046,166468.270793917,227304.987591222
"MDG","PMC co-delivery with EPI only",4,"Antananarivo","0-1yr",60607.5858451833,161082.522906524,221690.108751707
"MDG","PMC co-delivery with EPI only",4,"Antsiranana","0-1yr",27996.6508390513,18646.4859293206,46643.1367683718
"MDG","PMC co-delivery with EPI only",4,"Antsiranana","0-1yr",24660.7071342664,18269.9841679162,42930.6913021827
"MDG","PMC co-delivery with EPI only",4,"Antsiranana","0-1yr",23754.3641379276,17334.1907125777,41088.5548505052
"MDG","PMC co-delivery with EPI only",4,"Antsiranana","0-1yr",21225.9711911236,15503.517447386,36729.4886385096
"MDG","PMC co-delivery with EPI only",4,"Fianarantsoa","0-1yr",91602.804658766,62646.3371728717,154249.141831638
"MDG","PMC co-delivery with EPI only",4,"Fianarantsoa","0-1yr",88212.0897198941,61263.0588446201,149475.148564514
"MDG","PMC co-delivery with EPI only",4,"Fianarantsoa","0-1yr",82121.0195579459,57889.682071046,140010.701628992
"MDG","PMC co-delivery with EPI only",4,"Fianarantsoa","0-1yr",74133.835225256,52387.9589401221,126521.794165378
"MDG","PMC co-delivery with EPI only",4,"Mahajanga","0-1yr",53173.5044150698,21681.4998519978,74855.0042670676
"MDG","PMC co-delivery with EPI only",4,"Mahajanga","0-1yr",49884.3387716975,20111.4262788551,69995.7650505527
"MDG","PMC co-delivery with EPI only",4,"Mahajanga","0-1yr",46054.9023668395,19475.1480416973,65530.0504085369
"MDG","PMC co-delivery with EPI only",4,"Mahajanga","0-1yr",44502.4762384343,19002.0556346299,63504.5318730642
"MDG","PMC co-delivery with EPI only",4,"Toamasina","0-1yr",66593.7303839253,31275.556646765,97869.2870306903
"MDG","PMC co-delivery with EPI only",4,"Toamasina","0-1yr",63991.2488841532,30431.0884332367,94422.3373173899
"MDG","PMC co-delivery with EPI only",4,"Toamasina","0-1yr",58787.3986932138,29446.168246656,88233.5669398698
"MDG","PMC co-delivery with EPI only",4,"Toamasina","0-1yr",52995.2170291539,28749.2367716677,81744.4538008216
"MDG","PMC co-delivery with EPI only",4,"Toliary","0-1yr",66613.7447310483,20803.6395952358,87417.3843262842
"MDG","PMC co-delivery with EPI only",4,"Toliary","0-1yr",60085.3369872385,19998.4626499322,80083.7996371707
"MDG","PMC co-delivery with EPI only",4,"Toliary","0-1yr",52098.2556715828,18672.42234012,70770.6780117028
"MDG","PMC co-delivery with EPI only",4,"Toliary","0-1yr",51083.8830557329,18060.0217722472,69143.9048279801
