Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,Scenario
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_0_6,3,clinical,ppy,0.0228178259928616,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_7_13,10,clinical,ppy,0.0334604934334668,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_14_20,17,clinical,ppy,0.0188210424504213,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_21_27,24,clinical,ppy,0.0215839878170805,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_28_34,31,clinical,ppy,0.0158747695575791,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_35_41,38,clinical,ppy,0.0155296254567737,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_42_48,45,clinical,ppy,0.00413638056244554,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_49_55,52,clinical,ppy,0.00612112066780059,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_56_62,59,clinical,ppy,0.0134216359843927,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_63_69,66,clinical,ppy,0.0263976930557859,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_70_76,73,clinical,ppy,0.00834348864155168,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_77_83,80,clinical,ppy,0.0100405593467582,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_84_90,87,clinical,ppy,0.0143356727633532,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_91_97,94,clinical,ppy,0.0186417575648688,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_98_104,101,clinical,ppy,0.00518534356522009,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_105_111,108,clinical,ppy,0.00837374126011119,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_112_118,115,clinical,ppy,0.0199022571242753,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_119_125,122,clinical,ppy,0.00984921028012246,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_126_132,129,clinical,ppy,0.0282540235282051,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_133_139,136,clinical,ppy,0.0270632307463851,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_140_146,143,clinical,ppy,0.0245424333617021,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_147_153,150,clinical,ppy,0.0248593399059999,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_154_160,157,clinical,ppy,0.0355275603914014,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_161_167,164,clinical,ppy,0.0469656884973115,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_168_174,171,clinical,ppy,0.034322162779256,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_175_181,178,clinical,ppy,0.0455518263414182,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_182_188,185,clinical,ppy,0.0321473549135192,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_189_195,192,clinical,ppy,0.023556717252534,4,PMC co-delivery with EPI only
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_196_202,199,clinical,ppy,0.0336928146893036,4,PMC co-delivery with EPI only
