Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_0_6,3,clinical,ppy,0.0228178259928616
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_7_13,10,clinical,ppy,0.0334604934334668
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_14_20,17,clinical,ppy,0.0188210424504213
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_21_27,24,clinical,ppy,0.0215839878170805
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_28_34,31,clinical,ppy,0.0158747695575791
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_35_41,38,clinical,ppy,0.0155296254567737
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_42_48,45,clinical,ppy,0.0225480748638802
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_49_55,52,clinical,ppy,0.0245563289316938
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_56_62,59,clinical,ppy,0.035144308901355
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_63_69,66,clinical,ppy,0.0506557659144163
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_70_76,73,clinical,ppy,0.0369162619063053
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_77_83,80,clinical,ppy,0.035253336231563
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_84_90,87,clinical,ppy,0.0346289674181687
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_91_97,94,clinical,ppy,0.0341663964181987
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_98_104,101,clinical,ppy,0.0203327794434795
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_105_111,108,clinical,ppy,0.0267215391315912
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_112_118,115,clinical,ppy,0.0456677764140986
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_119_125,122,clinical,ppy,0.0174430228544437
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_126_132,129,clinical,ppy,0.0426987888184625
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_133_139,136,clinical,ppy,0.0371018670481843
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_140_146,143,clinical,ppy,0.031990608122503
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_147_153,150,clinical,ppy,0.0304837238468297
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_154_160,157,clinical,ppy,0.0395051786504733
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_161_167,164,clinical,ppy,0.0481004432973667
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_168_174,171,clinical,ppy,0.0343558748821276
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_175_181,178,clinical,ppy,0.045551895860316
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_182_188,185,clinical,ppy,0.0321473549137268
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_189_195,192,clinical,ppy,0.023556717252534
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_196_202,199,clinical,ppy,0.0336928146893036
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_203_209,206,clinical,ppy,0.0472853255538161
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_210_216,213,clinical,ppy,0.0387912957396426
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_217_223,220,clinical,ppy,0.0493040834579647
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_224_230,227,clinical,ppy,0.0314061558793968
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_231_237,234,clinical,ppy,0.0383720144254537
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_238_244,241,clinical,ppy,0.0333988560478681
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_245_251,248,clinical,ppy,0.0371380969131905
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_252_258,255,clinical,ppy,0.034696146127836
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_259_265,262,clinical,ppy,0.0438621851264997
Madagascar,rural/urban merged,MDG,Antananarivo,n_age_266_272,269,clinical,ppy,0.0346682911316127
