Country,Iso code,Age group,age_in_days_midpoint,units,clinical,severe
Madagascar,MDG,n_age_0_6,3,ppy,0.075949311362659,0.00524382336143642
Madagascar,MDG,n_age_7_13,10,ppy,0.0687056656621722,0.00555163382715995
Madagascar,MDG,n_age_14_20,17,ppy,0.0792615226714017,0.00379383143080031
Madagascar,MDG,n_age_21_27,24,ppy,0.0801153536895376,0.00475169354127401
Madagascar,MDG,n_age_28_34,31,ppy,0.080107410814541,0.00705350639575176
Madagascar,MDG,n_age_35_41,38,ppy,0.0882128095576892,0.00937676147247624
Madagascar,MDG,n_age_42_48,45,ppy,0.0884353797109625,0.00491511396547798
Madagascar,MDG,n_age_49_55,52,ppy,0.0953772405408057,0.00853067677103555
Madagascar,MDG,n_age_56_62,59,ppy,0.103013343016549,0.00964792546700429
Madagascar,MDG,n_age_63_69,66,ppy,0.114273907354003,0.00924499784784397
Madagascar,MDG,n_age_70_76,73,ppy,0.0949672951183233,0.00853396935278881
Madagascar,MDG,n_age_77_83,80,ppy,0.108538558871435,0.00758835633305009
Madagascar,MDG,n_age_84_90,87,ppy,0.107729941333349,0.00802309141973348
Madagascar,MDG,n_age_91_97,94,ppy,0.11104178075802,0.0138726543499311
Madagascar,MDG,n_age_98_104,101,ppy,0.107829323149822,0.00637832022171863
Madagascar,MDG,n_age_105_111,108,ppy,0.119849566999551,0.009814407568146
Madagascar,MDG,n_age_112_118,115,ppy,0.118457278027138,0.00962129241260867
Madagascar,MDG,n_age_119_125,122,ppy,0.113647223719296,0.0127529179503814
Madagascar,MDG,n_age_126_132,129,ppy,0.129116612411123,0.0126462965975183
Madagascar,MDG,n_age_133_139,136,ppy,0.143008689978272,0.0101785262496485
Madagascar,MDG,n_age_140_146,143,ppy,0.146340910654487,0.00807695730482176
Madagascar,MDG,n_age_147_153,150,ppy,0.145640219625308,0.0112411330559656
Madagascar,MDG,n_age_154_160,157,ppy,0.139388655985516,0.0112510680861675
Madagascar,MDG,n_age_161_167,164,ppy,0.142616997755268,0.0113897934545126
Madagascar,MDG,n_age_168_174,171,ppy,0.143499125076107,0.0113158516389613
Madagascar,MDG,n_age_175_181,178,ppy,0.136264316301567,0.0117906447561615
Madagascar,MDG,n_age_182_188,185,ppy,0.159364029537162,0.0134179341782086
Madagascar,MDG,n_age_189_195,192,ppy,0.126904627079351,0.010771209773296
Madagascar,MDG,n_age_196_202,199,ppy,0.135440303338681,0.015096946661521
Madagascar,MDG,n_age_203_209,206,ppy,0.140983698689475,0.0108077800325543
Madagascar,MDG,n_age_210_216,213,ppy,0.13584186042109,0.0122500468956296
Madagascar,MDG,n_age_217_223,220,ppy,0.162794175592452,0.0115345370063811
Madagascar,MDG,n_age_224_230,227,ppy,0.141016548632468,0.0132759737871079
Madagascar,MDG,n_age_231_237,234,ppy,0.157658523409454,0.0125488373696237
Madagascar,MDG,n_age_238_244,241,ppy,0.162019161486568,0.00880684389569823
Madagascar,MDG,n_age_245_251,248,ppy,0.158852656470718,0.012594558388555
Madagascar,MDG,n_age_252_258,255,ppy,0.161221696707373,0.0108854238786705
Madagascar,MDG,n_age_259_265,262,ppy,0.149806999211388,0.0117509339762598
Madagascar,MDG,n_age_266_272,269,ppy,0.149735449958062,0.0127990504158369
Madagascar,MDG,n_age_273_279,276,ppy,0.16880798196729,0.0160485707930845
Madagascar,MDG,n_age_280_286,283,ppy,0.174840227282585,0.0153670793606392
Madagascar,MDG,n_age_287_293,290,ppy,0.170761394729917,0.0138514419683493
Madagascar,MDG,n_age_294_300,297,ppy,0.160744573041757,0.0115911418262672
Madagascar,MDG,n_age_301_307,304,ppy,0.165831533943687,0.0104938387513926
Madagascar,MDG,n_age_308_314,311,ppy,0.167894881895443,0.0142911498611744
Madagascar,MDG,n_age_315_321,318,ppy,0.17293805345714,0.0118404033863917
Madagascar,MDG,n_age_322_328,325,ppy,0.170967309426428,0.0129592010337325
Madagascar,MDG,n_age_329_335,332,ppy,0.155571687858403,0.0116960189250176
Madagascar,MDG,n_age_336_342,339,ppy,0.184746302901691,0.0184234880848107
Madagascar,MDG,n_age_343_349,346,ppy,0.171214129298102,0.0116804241547498
Madagascar,MDG,n_age_350_356,353,ppy,0.176021865020102,0.0134392611380614
Madagascar,MDG,n_age_357_363,360,ppy,0.175888673877324,0.0127841659197949
Madagascar,MDG,n_age_364_370,367,ppy,0.165718412476398,0.0115806845199514
Madagascar,MDG,n_age_371_377,374,ppy,0.192551048574332,0.0133125105505868
Madagascar,MDG,n_age_378_384,381,ppy,0.183211231749743,0.0161714330412464
Madagascar,MDG,n_age_385_391,388,ppy,0.165836114240449,0.0163830967890264
Madagascar,MDG,n_age_392_398,395,ppy,0.183584240591464,0.0167323204751951
Madagascar,MDG,n_age_399_405,402,ppy,0.181413326440135,0.0171137303871985
Madagascar,MDG,n_age_406_412,409,ppy,0.173394129482752,0.0144079750217898
Madagascar,MDG,n_age_413_419,416,ppy,0.180476676110907,0.0100677375486125
Madagascar,MDG,n_age_420_426,423,ppy,0.170487548856942,0.0127391516841528
Madagascar,MDG,n_age_427_433,430,ppy,0.189431416599423,0.0176920111442426
Madagascar,MDG,n_age_434_440,437,ppy,0.167751850922346,0.00930756063675964
