Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,Scenario
Madagascar,MDG,n_age_0_6,3,4,raw cases,0.075949311362659,0.00524382336143642,PMC co-delivery with EPI only
Madagascar,MDG,n_age_7_13,10,4,raw cases,0.0687056656621722,0.00555163382715995,PMC co-delivery with EPI only
Madagascar,MDG,n_age_14_20,17,4,raw cases,0.0792615226714017,0.00379383143080031,PMC co-delivery with EPI only
Madagascar,MDG,n_age_21_27,24,4,raw cases,0.0801153536895376,0.00475169354127401,PMC co-delivery with EPI only
Madagascar,MDG,n_age_28_34,31,4,raw cases,0.080107410814541,0.00705350639575176,PMC co-delivery with EPI only
Madagascar,MDG,n_age_35_41,38,4,raw cases,0.0882128095576892,0.00937676147247624,PMC co-delivery with EPI only
Madagascar,MDG,n_age_42_48,45,4,raw cases,0.0302187343108739,0.00172723466524196,PMC co-delivery with EPI only
Madagascar,MDG,n_age_49_55,52,4,raw cases,0.0371226630834436,0.00329450731637049,PMC co-delivery with EPI only
Madagascar,MDG,n_age_56_62,59,4,raw cases,0.0520082787045699,0.00493010656831161,PMC co-delivery with EPI only
Madagascar,MDG,n_age_63_69,66,4,raw cases,0.0688560223787957,0.00571850538296342,PMC co-delivery with EPI only
Madagascar,MDG,n_age_70_76,73,4,raw cases,0.0352818656640369,0.00319806772411115,PMC co-delivery with EPI only
Madagascar,MDG,n_age_77_83,80,4,raw cases,0.045396395873267,0.00339141389675008,PMC co-delivery with EPI only
Madagascar,MDG,n_age_84_90,87,4,raw cases,0.0559771622572203,0.00431519216192641,PMC co-delivery with EPI only
Madagascar,MDG,n_age_91_97,94,4,raw cases,0.0698154159050754,0.00868338816937322,PMC co-delivery with EPI only
Madagascar,MDG,n_age_98_104,101,4,raw cases,0.0448715066902105,0.00284182397535532,PMC co-delivery with EPI only
Madagascar,MDG,n_age_105_111,108,4,raw cases,0.055330664443371,0.00458926080357463,PMC co-delivery with EPI only
Madagascar,MDG,n_age_112_118,115,4,raw cases,0.0664735225265071,0.0054487253702189,PMC co-delivery with EPI only
Madagascar,MDG,n_age_119_125,122,4,raw cases,0.0755977164039253,0.00862555469532796,PMC co-delivery with EPI only
Madagascar,MDG,n_age_126_132,129,4,raw cases,0.0958709725458915,0.00950062286531528,PMC co-delivery with EPI only
Madagascar,MDG,n_age_133_139,136,4,raw cases,0.1133962052606,0.00800723590631718,PMC co-delivery with EPI only
Madagascar,MDG,n_age_140_146,143,4,raw cases,0.120419181304018,0.00656891227379049,PMC co-delivery with EPI only
Madagascar,MDG,n_age_147_153,150,4,raw cases,0.124691732943045,0.00969980092634511,PMC co-delivery with EPI only
Madagascar,MDG,n_age_154_160,157,4,raw cases,0.128475717726899,0.0104350051626858,PMC co-delivery with EPI only
Madagascar,MDG,n_age_161_167,164,4,raw cases,0.140015683835998,0.0111871868968903,PMC co-delivery with EPI only
Madagascar,MDG,n_age_168_174,171,4,raw cases,0.143389361547193,0.011307436648727,PMC co-delivery with EPI only
Madagascar,MDG,n_age_175_181,178,4,raw cases,0.136264153984295,0.0117906307343318,PMC co-delivery with EPI only
Madagascar,MDG,n_age_182_188,185,4,raw cases,0.159364029536367,0.0134179341781437,PMC co-delivery with EPI only
Madagascar,MDG,n_age_189_195,192,4,raw cases,0.126904627079351,0.010771209773296,PMC co-delivery with EPI only
Madagascar,MDG,n_age_196_202,199,4,raw cases,0.135440303338681,0.015096946661521,PMC co-delivery with EPI only
Madagascar,MDG,n_age_203_209,206,4,raw cases,0.140983698689475,0.0108077800325543,PMC co-delivery with EPI only
Madagascar,MDG,n_age_210_216,213,4,raw cases,0.13584186042109,0.0122500468956296,PMC co-delivery with EPI only
Madagascar,MDG,n_age_217_223,220,4,raw cases,0.162794175592452,0.0115345370063811,PMC co-delivery with EPI only
Madagascar,MDG,n_age_224_230,227,4,raw cases,0.141016548632468,0.0132759737871079,PMC co-delivery with EPI only
Madagascar,MDG,n_age_231_237,234,4,raw cases,0.157658523409454,0.0125488373696237,PMC co-delivery with EPI only
Madagascar,MDG,n_age_238_244,241,4,raw cases,0.162019161486568,0.00880684389569823,PMC co-delivery with EPI only
Madagascar,MDG,n_age_245_251,248,4,raw cases,0.158852656470718,0.012594558388555,PMC co-delivery with EPI only
Madagascar,MDG,n_age_252_258,255,4,raw cases,0.161221696707373,0.0108854238786705,PMC co-delivery with EPI only
Madagascar,MDG,n_age_259_265,262,4,raw cases,0.149806999211388,0.0117509339762598,PMC co-delivery with EPI only
Madagascar,MDG,n_age_266_272,269,4,raw cases,0.149735449958062,0.0127990504158369,PMC co-delivery with EPI only
Madagascar,MDG,n_age_273_279,276,4,raw cases,0.0747612885054301,0.00684143203192128,PMC co-delivery with EPI only
Madagascar,MDG,n_age_280_286,283,4,raw cases,0.086158666366148,0.00758069717502437,PMC co-delivery with EPI only
Madagascar,MDG,n_age_287_293,290,4,raw cases,0.0992387268294901,0.00811575785646912,PMC co-delivery with EPI only
Madagascar,MDG,n_age_294_300,297,4,raw cases,0.108838997136678,0.00783090514915871,PMC co-delivery with EPI only
Madagascar,MDG,n_age_301_307,304,4,raw cases,0.125078643866769,0.00784823081173577,PMC co-delivery with EPI only
Madagascar,MDG,n_age_308_314,311,4,raw cases,0.134936002639312,0.0116171184582876,PMC co-delivery with EPI only
Madagascar,MDG,n_age_315_321,318,4,raw cases,0.143553362050932,0.00987296967816307,PMC co-delivery with EPI only
Madagascar,MDG,n_age_322_328,325,4,raw cases,0.147964400621106,0.0111135816416092,PMC co-delivery with EPI only
Madagascar,MDG,n_age_329_335,332,4,raw cases,0.143940844645997,0.0108366653183741,PMC co-delivery with EPI only
Madagascar,MDG,n_age_336_342,339,4,raw cases,0.181560205480362,0.0180910559616756,PMC co-delivery with EPI only
Madagascar,MDG,n_age_343_349,346,4,raw cases,0.171090124863095,0.0116723674991473,PMC co-delivery with EPI only
Madagascar,MDG,n_age_350_356,353,4,raw cases,0.176021670620415,0.0134392458502704,PMC co-delivery with EPI only
Madagascar,MDG,n_age_357_363,360,4,raw cases,0.17588867387651,0.0127841659197338,PMC co-delivery with EPI only
Madagascar,MDG,n_age_364_370,367,4,raw cases,0.165718412476398,0.0115806845199514,PMC co-delivery with EPI only
Madagascar,MDG,n_age_371_377,374,4,raw cases,0.192551048574332,0.0133125105505868,PMC co-delivery with EPI only
Madagascar,MDG,n_age_378_384,381,4,raw cases,0.183211231749743,0.0161714330412464,PMC co-delivery with EPI only
Madagascar,MDG,n_age_385_391,388,4,raw cases,0.165836114240449,0.0163830967890264,PMC co-delivery with EPI only
Madagascar,MDG,n_age_392_398,395,4,raw cases,0.183584240591464,0.0167323204751951,PMC co-delivery with EPI only
Madagascar,MDG,n_age_399_405,402,4,raw cases,0.181413326440135,0.0171137303871985,PMC co-delivery with EPI only
