"Iso code","Scenario","N doses","Admin-1 unit","age","rural","urban","merged"
"MLI","PMC co-delivery with EPI only",5,"Bamako","0-1yr",NA,102108.280585172,NA
"MLI","PMC co-delivery with EPI only",5,"Bamako","0-1yr",NA,95559.4602848255,NA
"MLI","PMC co-delivery with EPI only",5,"Bamako","0-1yr",NA,90939.3592154112,NA
"MLI","PMC co-delivery with EPI only",5,"Bamako","0-1yr",NA,98404.7427637549,NA
"MLI","PMC co-delivery with EPI only",5,"Bamako","0-1yr",NA,87825.9510970826,NA
"MLI","PMC co-delivery with EPI only",5,"Gao","0-1yr",12314.4511891027,6601.10141971347,18915.5526088162
"MLI","PMC co-delivery with EPI only",5,"Gao","0-1yr",9070.60782656509,5414.84616073408,14485.4539872992
"MLI","PMC co-delivery with EPI only",5,"Gao","0-1yr",10485.2324713161,6163.72019523041,16648.9526665465
"MLI","PMC co-delivery with EPI only",5,"Gao","0-1yr",18284.7886585379,7598.56322948133,25883.3518880193
"MLI","PMC co-delivery with EPI only",5,"Gao","0-1yr",9576.67414434682,6446.28906000536,16022.9632043522
"MLI","PMC co-delivery with EPI only",5,"Kayes","0-1yr",56357.5239529424,24628.8687611575,80986.3927140999
"MLI","PMC co-delivery with EPI only",5,"Kayes","0-1yr",52435.1945924198,22133.7621702377,74568.9567626575
"MLI","PMC co-delivery with EPI only",5,"Kayes","0-1yr",49433.8280573697,20334.7664221166,69768.5944794862
"MLI","PMC co-delivery with EPI only",5,"Kayes","0-1yr",57565.3921166054,25357.5067277828,82922.8988443882
"MLI","PMC co-delivery with EPI only",5,"Kayes","0-1yr",46724.5279574635,24951.7866201383,71676.3145776019
"MLI","PMC co-delivery with EPI only",5,"Kidal","0-1yr",542.635108729429,22.2717434273366,564.906852156766
"MLI","PMC co-delivery with EPI only",5,"Kidal","0-1yr",306.935420866286,12.597004732,319.532425598286
"MLI","PMC co-delivery with EPI only",5,"Kidal","0-1yr",530.535811055181,21.764150660145,552.299961715326
"MLI","PMC co-delivery with EPI only",5,"Kidal","0-1yr",1420.95042511318,58.2910301744263,1479.24145528761
"MLI","PMC co-delivery with EPI only",5,"Kidal","0-1yr",382.057081978329,15.6729612098734,397.730043188202
"MLI","PMC co-delivery with EPI only",5,"Koulikoro","0-1yr",66969.2918246704,106341.225220484,173310.517045155
"MLI","PMC co-delivery with EPI only",5,"Koulikoro","0-1yr",63099.4106997318,93745.9614867644,156845.372186496
"MLI","PMC co-delivery with EPI only",5,"Koulikoro","0-1yr",56361.2898415022,89642.376226085,146003.666067587
"MLI","PMC co-delivery with EPI only",5,"Koulikoro","0-1yr",65109.2349044701,82798.0602171469,147907.295121617
"MLI","PMC co-delivery with EPI only",5,"Koulikoro","0-1yr",55878.0326344655,84293.5916824812,140171.624316947
"MLI","PMC co-delivery with EPI only",5,"Mopti","0-1yr",61666.4860932676,20828.3703807879,82494.8564740555
"MLI","PMC co-delivery with EPI only",5,"Mopti","0-1yr",58658.9182970529,19915.873625293,78574.7919223459
"MLI","PMC co-delivery with EPI only",5,"Mopti","0-1yr",54764.442877305,18181.3886096993,72945.8314870043
"MLI","PMC co-delivery with EPI only",5,"Mopti","0-1yr",64577.247657575,18179.1835721112,82756.4312296862
"MLI","PMC co-delivery with EPI only",5,"Mopti","0-1yr",56997.8623709069,19649.5587139731,76647.42108488
"MLI","PMC co-delivery with EPI only",5,"Segou","0-1yr",60180.3798940745,56326.0814683506,116506.461362425
"MLI","PMC co-delivery with EPI only",5,"Segou","0-1yr",53854.0347302339,52588.7721259832,106442.806856217
"MLI","PMC co-delivery with EPI only",5,"Segou","0-1yr",48756.6988207695,43620.9337286868,92377.6325494563
"MLI","PMC co-delivery with EPI only",5,"Segou","0-1yr",56826.4758569689,54235.03998528,111061.515842249
"MLI","PMC co-delivery with EPI only",5,"Segou","0-1yr",53377.8163901411,48330.41869656,101708.235086701
"MLI","PMC co-delivery with EPI only",5,"Sikasso","0-1yr",78602.9348813183,52698.2213836471,131301.156264965
"MLI","PMC co-delivery with EPI only",5,"Sikasso","0-1yr",68548.4483332005,42077.0548081356,110625.503141336
"MLI","PMC co-delivery with EPI only",5,"Sikasso","0-1yr",61545.7240662124,35202.4839040271,96748.2079702395
"MLI","PMC co-delivery with EPI only",5,"Sikasso","0-1yr",62237.8187418292,40800.3363208998,103038.155062729
"MLI","PMC co-delivery with EPI only",5,"Sikasso","0-1yr",62647.7107647112,42188.0612751767,104835.772039888
"MLI","PMC co-delivery with EPI only",5,"Timbuktu","0-1yr",21028.5671533404,10435.8477676967,31464.4149210371
"MLI","PMC co-delivery with EPI only",5,"Timbuktu","0-1yr",17602.7468394583,9281.560541568,26884.3073810263
"MLI","PMC co-delivery with EPI only",5,"Timbuktu","0-1yr",15446.3758316871,7878.55339400572,23324.9292256928
"MLI","PMC co-delivery with EPI only",5,"Timbuktu","0-1yr",15535.9505244934,8624.36263379522,24160.3131582886
"MLI","PMC co-delivery with EPI only",5,"Timbuktu","0-1yr",18434.1544928951,8970.01157610764,27404.1660690027
