Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,Scenario
Mali,rural/urban merged,MLI,Bamako,n_age_0_6,3,clinical,ppy,0.0757513658598847,5,PMC co-delivery with EPI only
Mali,rural/urban merged,MLI,Bamako,n_age_7_13,10,clinical,ppy,0.0520752869511169,5,PMC co-delivery with EPI only
Mali,rural/urban merged,MLI,Bamako,n_age_14_20,17,clinical,ppy,0.0670760339353451,5,PMC co-delivery with EPI only
Mali,rural/urban merged,MLI,Bamako,n_age_21_27,24,clinical,ppy,0.0921282109861405,5,PMC co-delivery with EPI only
Mali,rural/urban merged,MLI,Bamako,n_age_28_34,31,clinical,ppy,0.0901059734041415,5,PMC co-delivery with EPI only
Mali,rural/urban merged,MLI,Bamako,n_age_35_41,38,clinical,ppy,0.0618189015282731,5,PMC co-delivery with EPI only
Mali,rural/urban merged,MLI,Bamako,n_age_42_48,45,clinical,ppy,0.0129088725911628,5,PMC co-delivery with EPI only
Mali,rural/urban merged,MLI,Bamako,n_age_49_55,52,clinical,ppy,0.0119241109088608,5,PMC co-delivery with EPI only
Mali,rural/urban merged,MLI,Bamako,n_age_56_62,59,clinical,ppy,0.018296508187623,5,PMC co-delivery with EPI only
Mali,rural/urban merged,MLI,Bamako,n_age_63_69,66,clinical,ppy,0.0298670091136775,5,PMC co-delivery with EPI only
Mali,rural/urban merged,MLI,Bamako,n_age_70_76,73,clinical,ppy,0.0255106292552397,5,PMC co-delivery with EPI only
Mali,rural/urban merged,MLI,Bamako,n_age_77_83,80,clinical,ppy,0.017735440345439,5,PMC co-delivery with EPI only
Mali,rural/urban merged,MLI,Bamako,n_age_84_90,87,clinical,ppy,0.0221596543204238,5,PMC co-delivery with EPI only
Mali,rural/urban merged,MLI,Bamako,n_age_91_97,94,clinical,ppy,0.0295781899569379,5,PMC co-delivery with EPI only
Mali,rural/urban merged,MLI,Bamako,n_age_98_104,101,clinical,ppy,0.0272425162529041,5,PMC co-delivery with EPI only
Mali,rural/urban merged,MLI,Bamako,n_age_105_111,108,clinical,ppy,0.0156760642752157,5,PMC co-delivery with EPI only
Mali,rural/urban merged,MLI,Bamako,n_age_112_118,115,clinical,ppy,0.0360493046864398,5,PMC co-delivery with EPI only
Mali,rural/urban merged,MLI,Bamako,n_age_119_125,122,clinical,ppy,0.0364516473438007,5,PMC co-delivery with EPI only
