Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Mali,rural/urban merged,MLI,Bamako,n_age_0_6,3,clinical,ppy,0.0757513658598847
Mali,rural/urban merged,MLI,Bamako,n_age_7_13,10,clinical,ppy,0.0520752869511169
Mali,rural/urban merged,MLI,Bamako,n_age_14_20,17,clinical,ppy,0.0670760339353451
Mali,rural/urban merged,MLI,Bamako,n_age_21_27,24,clinical,ppy,0.0921282109861405
Mali,rural/urban merged,MLI,Bamako,n_age_28_34,31,clinical,ppy,0.0901059734041415
Mali,rural/urban merged,MLI,Bamako,n_age_35_41,38,clinical,ppy,0.0618189015282731
Mali,rural/urban merged,MLI,Bamako,n_age_42_48,45,clinical,ppy,0.074848436752534
Mali,rural/urban merged,MLI,Bamako,n_age_49_55,52,clinical,ppy,0.0613249983854569
Mali,rural/urban merged,MLI,Bamako,n_age_56_62,59,clinical,ppy,0.0703576173596754
Mali,rural/urban merged,MLI,Bamako,n_age_63_69,66,clinical,ppy,0.0785735527698231
Mali,rural/urban merged,MLI,Bamako,n_age_70_76,73,clinical,ppy,0.114924463990241
Mali,rural/urban merged,MLI,Bamako,n_age_77_83,80,clinical,ppy,0.073094512706925
Mali,rural/urban merged,MLI,Bamako,n_age_84_90,87,clinical,ppy,0.0728167962977737
Mali,rural/urban merged,MLI,Bamako,n_age_91_97,94,clinical,ppy,0.0708964977720999
Mali,rural/urban merged,MLI,Bamako,n_age_98_104,101,clinical,ppy,0.10631566372903101
Mali,rural/urban merged,MLI,Bamako,n_age_105_111,108,clinical,ppy,0.0567990496341659
Mali,rural/urban merged,MLI,Bamako,n_age_112_118,115,clinical,ppy,0.107623151016108
Mali,rural/urban merged,MLI,Bamako,n_age_119_125,122,clinical,ppy,0.0823079575848886
Mali,rural/urban merged,MLI,Bamako,n_age_126_132,129,clinical,ppy,0.112710387169067
Mali,rural/urban merged,MLI,Bamako,n_age_133_139,136,clinical,ppy,0.108913643665449
Mali,rural/urban merged,MLI,Bamako,n_age_140_146,143,clinical,ppy,0.113207112509672
Mali,rural/urban merged,MLI,Bamako,n_age_147_153,150,clinical,ppy,0.103625064336598
Mali,rural/urban merged,MLI,Bamako,n_age_154_160,157,clinical,ppy,0.137457713080796
Mali,rural/urban merged,MLI,Bamako,n_age_161_167,164,clinical,ppy,0.114084145165982
Mali,rural/urban merged,MLI,Bamako,n_age_168_174,171,clinical,ppy,0.143070800112083
Mali,rural/urban merged,MLI,Bamako,n_age_175_181,178,clinical,ppy,0.109342775369101
Mali,rural/urban merged,MLI,Bamako,n_age_182_188,185,clinical,ppy,0.112454227937874
Mali,rural/urban merged,MLI,Bamako,n_age_189_195,192,clinical,ppy,0.14112289380224
Mali,rural/urban merged,MLI,Bamako,n_age_196_202,199,clinical,ppy,0.134402543022901
Mali,rural/urban merged,MLI,Bamako,n_age_203_209,206,clinical,ppy,0.0927788927593595
Mali,rural/urban merged,MLI,Bamako,n_age_210_216,213,clinical,ppy,0.0990148285464817
Mali,rural/urban merged,MLI,Bamako,n_age_217_223,220,clinical,ppy,0.113050217913657
Mali,rural/urban merged,MLI,Bamako,n_age_224_230,227,clinical,ppy,0.103346724381226
Mali,rural/urban merged,MLI,Bamako,n_age_231_237,234,clinical,ppy,0.112380238132415
Mali,rural/urban merged,MLI,Bamako,n_age_238_244,241,clinical,ppy,0.141654530909398
Mali,rural/urban merged,MLI,Bamako,n_age_245_251,248,clinical,ppy,0.101167990805232
Mali,rural/urban merged,MLI,Bamako,n_age_252_258,255,clinical,ppy,0.109894175163367
Mali,rural/urban merged,MLI,Bamako,n_age_259_265,262,clinical,ppy,0.105978027803676
Mali,rural/urban merged,MLI,Bamako,n_age_266_272,269,clinical,ppy,0.144907148582422
Mali,rural/urban merged,MLI,Bamako,n_age_273_279,276,clinical,ppy,0.121105920190049
Mali,rural/urban merged,MLI,Bamako,n_age_280_286,283,clinical,ppy,0.130669188565267
Mali,rural/urban merged,MLI,Bamako,n_age_287_293,290,clinical,ppy,0.136660267728322
Mali,rural/urban merged,MLI,Bamako,n_age_294_300,297,clinical,ppy,0.122821181098383
Mali,rural/urban merged,MLI,Bamako,n_age_301_307,304,clinical,ppy,0.106584636477913
Mali,rural/urban merged,MLI,Bamako,n_age_308_314,311,clinical,ppy,0.129079040034257
Mali,rural/urban merged,MLI,Bamako,n_age_315_321,318,clinical,ppy,0.0996935145767571
Mali,rural/urban merged,MLI,Bamako,n_age_322_328,325,clinical,ppy,0.142452146367312
Mali,rural/urban merged,MLI,Bamako,n_age_329_335,332,clinical,ppy,0.152903662484462
Mali,rural/urban merged,MLI,Bamako,n_age_336_342,339,clinical,ppy,0.129782813029794
Mali,rural/urban merged,MLI,Bamako,n_age_343_349,346,clinical,ppy,0.149496419656057
Mali,rural/urban merged,MLI,Bamako,n_age_350_356,353,clinical,ppy,0.136514398199863
Mali,rural/urban merged,MLI,Bamako,n_age_357_363,360,clinical,ppy,0.118834008375202
Mali,rural/urban merged,MLI,Bamako,n_age_364_370,367,clinical,ppy,0.154133178951661
Mali,rural/urban merged,MLI,Bamako,n_age_371_377,374,clinical,ppy,0.148563914842692
Mali,rural/urban merged,MLI,Bamako,n_age_378_384,381,clinical,ppy,0.179151075509069
Mali,rural/urban merged,MLI,Bamako,n_age_385_391,388,clinical,ppy,0.16861918085428
Mali,rural/urban merged,MLI,Bamako,n_age_392_398,395,clinical,ppy,0.136951028392935
Mali,rural/urban merged,MLI,Bamako,n_age_399_405,402,clinical,ppy,0.110228364641014
Mali,rural/urban merged,MLI,Bamako,n_age_406_412,409,clinical,ppy,0.126922689477562
Mali,rural/urban merged,MLI,Bamako,n_age_413_419,416,clinical,ppy,0.158773736529809
Mali,rural/urban merged,MLI,Bamako,n_age_420_426,423,clinical,ppy,0.129646515158154
Mali,rural/urban merged,MLI,Bamako,n_age_427_433,430,clinical,ppy,0.150782122297764
Mali,rural/urban merged,MLI,Bamako,n_age_434_440,437,clinical,ppy,0.164247948342349
Mali,rural/urban merged,MLI,Bamako,n_age_441_447,444,clinical,ppy,0.147216453973146
Mali,rural/urban merged,MLI,Bamako,n_age_448_454,451,clinical,ppy,0.0768145295854484
Mali,rural/urban merged,MLI,Bamako,n_age_455_461,458,clinical,ppy,0.130998807973793
Mali,rural/urban merged,MLI,Bamako,n_age_462_468,465,clinical,ppy,0.141086167329871
Mali,rural/urban merged,MLI,Bamako,n_age_469_475,472,clinical,ppy,0.12866580381261
Mali,rural/urban merged,MLI,Bamako,n_age_476_482,479,clinical,ppy,0.144093970076061
