Country,Iso code,Age group,age_in_days_midpoint,units,clinical,severe
Mali,MLI,n_age_0_6,3,ppy,0.061571715374828,0.00529661998592057
Mali,MLI,n_age_7_13,10,ppy,0.0635902696578803,0.00470860288512638
Mali,MLI,n_age_14_20,17,ppy,0.0777926220688279,0.00749733726067469
Mali,MLI,n_age_21_27,24,ppy,0.0932008589052137,0.00582519301819686
Mali,MLI,n_age_28_34,31,ppy,0.100107971794049,0.00750366739327328
Mali,MLI,n_age_35_41,38,ppy,0.109408963339659,0.00963687006509849
Mali,MLI,n_age_42_48,45,ppy,0.134656131474416,0.00885119718370111
Mali,MLI,n_age_49_55,52,ppy,0.145753557547637,0.0087105606829359
Mali,MLI,n_age_56_62,59,ppy,0.169868943399548,0.00954032597885644
Mali,MLI,n_age_63_69,66,ppy,0.19145746336747901,0.0120321472161413
Mali,MLI,n_age_70_76,73,ppy,0.213007541031748,0.0110022285543178
Mali,MLI,n_age_77_83,80,ppy,0.238473905052735,0.0160379209401517
Mali,MLI,n_age_84_90,87,ppy,0.274641396734418,0.0134528548932096
Mali,MLI,n_age_91_97,94,ppy,0.303313507274101,0.0183443770374348
Mali,MLI,n_age_98_104,101,ppy,0.324717564317488,0.0185411060744469
Mali,MLI,n_age_105_111,108,ppy,0.360076324367844,0.0202961483868423
Mali,MLI,n_age_112_118,115,ppy,0.382948071274738,0.0184111919453882
Mali,MLI,n_age_119_125,122,ppy,0.419671092112848,0.024941823397865
Mali,MLI,n_age_126_132,129,ppy,0.44300082076752,0.0225951524752266
Mali,MLI,n_age_133_139,136,ppy,0.484082540423905,0.0241798790314398
Mali,MLI,n_age_140_146,143,ppy,0.499575343050097,0.0318079933333151
Mali,MLI,n_age_147_153,150,ppy,0.542333106376519,0.0294557848979866
Mali,MLI,n_age_154_160,157,ppy,0.550798196443021,0.0275135915035361
Mali,MLI,n_age_161_167,164,ppy,0.568063600606939,0.0310954534797114
Mali,MLI,n_age_168_174,171,ppy,0.598702651999016,0.0387151585659178
Mali,MLI,n_age_175_181,178,ppy,0.644735192233497,0.0348775680344336
Mali,MLI,n_age_182_188,185,ppy,0.6603858414991,0.0357705342872978
Mali,MLI,n_age_189_195,192,ppy,0.666583854947051,0.0379289765218258
Mali,MLI,n_age_196_202,199,ppy,0.68482184863533,0.0392086779956141
Mali,MLI,n_age_203_209,206,ppy,0.689075934923268,0.0454582563032301
Mali,MLI,n_age_210_216,213,ppy,0.704632338168985,0.0395005133963227
Mali,MLI,n_age_217_223,220,ppy,0.725133745204524,0.0482636405499598
Mali,MLI,n_age_224_230,227,ppy,0.757883345386969,0.0426908916539495
Mali,MLI,n_age_231_237,234,ppy,0.724242932711147,0.0390266231649324
Mali,MLI,n_age_238_244,241,ppy,0.756113014430983,0.0468523755810914
Mali,MLI,n_age_245_251,248,ppy,0.747155855695158,0.0459602030232425
Mali,MLI,n_age_252_258,255,ppy,0.764756853489312,0.0396505227632578
Mali,MLI,n_age_259_265,262,ppy,0.752598719423031,0.0477930855699817
Mali,MLI,n_age_266_272,269,ppy,0.798092241037461,0.0479284523702046
Mali,MLI,n_age_273_279,276,ppy,0.764661280240012,0.0430259352691724
Mali,MLI,n_age_280_286,283,ppy,0.770458346806522,0.0503464719927068
Mali,MLI,n_age_287_293,290,ppy,0.785159136190822,0.0405220090214391
Mali,MLI,n_age_294_300,297,ppy,0.7796088006611,0.0453296474965493
Mali,MLI,n_age_301_307,304,ppy,0.795160237585936,0.040314199455347
Mali,MLI,n_age_308_314,311,ppy,0.786757926258918,0.0429555086698028
