Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
Mali,MLI,0-6mo,91,Bamako,raw cases,5,2741.0970537086,208.143605923306,1793.042037658,127.534593342719,90.4326966181682,6.86525564917751,59.3471340581723,4.2195066613553,948.055016050603,80.6090125805864,31.0855625599959,2.64574898782221,34.5867000501832,38.7275949328409,PMC co-delivery with EPI only
Mali,MLI,6-12mo,273.5,Bamako,raw cases,5,3629.76819442411,333.298849222683,2555.82204931852,241.759025797984,122.64421679015,11.2667388642579,86.5265674500817,8.18724260421154,1073.94614510559,91.5398234246983,36.1176493400678,3.07949626004639,29.5871826403497,27.4647883238082,PMC co-delivery with EPI only
Mali,MLI,12-18mo,456,Bamako,raw cases,5,4083.05752468796,394.555866496933,4083.05752468796,394.555866496933,141.755028101947,13.679538909044,141.755028101947,13.679538909044,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,18-24mo,638.5,Bamako,raw cases,5,4548.30146752108,369.587890123499,4548.30146752108,369.587890123499,161.949309672633,13.1409697817484,161.949309672633,13.1409697817484,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,24-30mo,821,Bamako,raw cases,5,5141.26624959868,390.812655712426,5141.26624959868,390.812655712426,180.635040584487,13.7285739587009,180.635040584487,13.7285739587009,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,0-6mo,91,Gao,raw cases,5,793.580205550408,61.721133685377,643.865296095234,51.5138471071156,83.9122764343224,6.51230887156099,68.1515916705292,5.43748719859166,149.714909455175,10.2072865782615,15.7606847637933,1.07482167296932,18.865756530726,16.5377496633374,PMC co-delivery with EPI only
Mali,MLI,6-12mo,273.5,Gao,raw cases,5,1309.62406693794,106.021885592752,1060.85100363995,88.5699200497544,142.049030387492,11.5112390038982,115.233190039977,9.62707751778942,248.773063297993,17.4519655429981,26.8158403475151,1.88416148610878,18.9957614233262,16.4607198272571,PMC co-delivery with EPI only
Mali,MLI,12-18mo,456,Gao,raw cases,5,1537.89930721816,122.573016366051,1537.89930721816,122.573016366051,171.455783367719,13.6627240872024,171.455783367719,13.6627240872024,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,18-24mo,638.5,Gao,raw cases,5,1702.49948983148,130.928724903537,1702.49948983148,130.928724903537,194.589087359366,14.9482159994132,194.589087359366,14.9482159994132,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,24-30mo,821,Gao,raw cases,5,1913.17009834329,134.650430235778,1913.17009834329,134.650430235778,215.746823059158,15.1809100763359,215.746823059158,15.1809100763359,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,0-6mo,91,Kayes,raw cases,5,5156.53825555748,351.517146359278,3715.01957677683,259.866070776414,167.153866812458,11.3893513830803,120.633097629146,8.43245102398812,1441.51867878065,91.6510755828644,46.5207691833124,2.9569003590922,27.9551630830441,26.0730028483987,PMC co-delivery with EPI only
Mali,MLI,6-12mo,273.5,Kayes,raw cases,5,9683.71901547616,771.606887366001,7413.42708186901,586.784056476794,321.928607750001,25.6551337995321,246.82371342212,19.5399471694067,2270.29193360715,184.822830889207,75.1048943278814,6.11518663012536,23.4444218174737,23.952978377387,PMC co-delivery with EPI only
Mali,MLI,12-18mo,456,Kayes,raw cases,5,11485.2370483044,877.546950963433,11485.2370483044,877.546950963433,392.492327755663,29.993672952312,392.492327755663,29.993672952312,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,18-24mo,638.5,Kayes,raw cases,5,12139.4503077007,825.927525762724,12139.4503077007,825.927525762724,425.353782130243,28.9239390884516,425.353782130243,28.9239390884516,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,24-30mo,821,Kayes,raw cases,5,13576.0677334965,687.779230595201,13576.0677334965,687.779230595201,469.376935632816,23.7871218371407,469.376935632816,23.7871218371407,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,0-6mo,91,Kidal,raw cases,5,288.951377886096,25.7766154761702,275.83459087168,24.653426052155,215.707645663693,19.2142013883272,205.957102792773,18.3793396104988,13.1167870144158,1.12318942401526,9.75054287091984,0.834861777828404,4.53944435578583,4.35739682369712,PMC co-delivery with EPI only
Mali,MLI,6-12mo,273.5,Kidal,raw cases,5,417.330076549724,32.7452737243974,390.253342569638,30.5644705047426,319.746785807246,25.0864585337498,299.177156794505,23.4288696133291,27.0767339800865,2.18080321965481,20.5696290127408,1.65758892042062,6.48808593043265,6.65990224424345,PMC co-delivery with EPI only
Mali,MLI,12-18mo,456,Kidal,raw cases,5,476.262106098346,31.5037957454477,476.262106098346,31.5037957454477,375.092916058316,24.8031120232761,375.092916058316,24.8031120232761,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,18-24mo,638.5,Kidal,raw cases,5,522.696206648547,36.9053782864208,522.696206648547,36.9053782864208,422.176637402708,29.8048160108305,422.176637402708,29.8048160108305,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,24-30mo,821,Kidal,raw cases,5,583.497583489842,41.4102178373676,583.497583489842,41.4102178373676,465.135313222338,33.0159649410379,465.135313222338,33.0159649410379,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,0-6mo,91,Koulikoro,raw cases,5,20758.5074660268,1311.53496465378,14213.1361032668,937.725742418156,368.684615193527,23.3306778435671,252.956918382933,16.7200023944766,6545.37136275996,373.809222235627,115.727696810594,6.61067544909052,31.5310307037828,28.5016589195016,PMC co-delivery with EPI only
Mali,MLI,6-12mo,273.5,Koulikoro,raw cases,5,43032.4135877378,2747.07024255022,32188.8394816333,2048.9620535813,783.601077624798,49.9891227119378,586.982229031621,37.3373034845526,10843.5741061045,698.108188968919,196.618848593176,12.6518192273852,25.1986193709441,25.4128262960192,PMC co-delivery with EPI only
Mali,MLI,12-18mo,456,Koulikoro,raw cases,5,47212.3700783492,2586.73249966299,47212.3700783492,2586.73249966299,883.879308892991,48.4168673012435,883.879308892991,48.4168673012435,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,18-24mo,638.5,Koulikoro,raw cases,5,50726.8436954045,2564.80573757237,50726.8436954045,2564.80573757237,973.43053712744,49.183637347302,973.43053712744,49.183637347302,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,24-30mo,821,Koulikoro,raw cases,5,53214.2011923731,2044.54116032385,53214.2011923731,2044.54116032385,1007.43526173266,38.694964909978,1007.43526173266,38.694964909978,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,0-6mo,91,Mopti,raw cases,5,10899.5574599413,579.339031229754,8203.10493132912,422.766277596862,368.187698460131,19.5473266813011,277.555487197521,14.2883630132464,2696.45252861214,156.572753632892,90.6322112626106,5.25896366805472,24.7391010004058,27.0261013314669,PMC co-delivery with EPI only
Mali,MLI,6-12mo,273.5,Mopti,raw cases,5,36232.0794727961,1972.93050859402,26821.8810292167,1460.6104153777,1252.97858697679,68.2118139212255,928.960731873064,50.5704798645128,9410.1984435794,512.320093216328,324.017855103724,17.6413340567128,25.9720076255761,25.9674677331349,PMC co-delivery with EPI only
Mali,MLI,12-18mo,456,Mopti,raw cases,5,40716.9753619271,2052.39893398619,40716.9753619271,2052.39893398619,1447.07170177654,72.9675275040763,1447.07170177654,72.9675275040763,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,18-24mo,638.5,Mopti,raw cases,5,42901.7081697773,1884.00174565266,42901.7081697773,1884.00174565266,1562.66515556919,68.5848404082003,1562.66515556919,68.5848404082003,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,24-30mo,821,Mopti,raw cases,5,40692.1318802595,886.122127840594,40692.1318802595,886.122127840594,1463.17283045112,31.8794487301517,1463.17283045112,31.8794487301517,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,0-6mo,91,Segou,raw cases,5,30639.5311381917,1554.22690003287,21265.3419586418,1083.51775596666,858.624566590999,43.5299418349344,597.234633294734,30.407734581587,9374.18917954991,470.709144066213,261.389933296264,13.1222072533474,30.5950803792331,30.2857416800763,PMC co-delivery with EPI only
Mali,MLI,6-12mo,273.5,Segou,raw cases,5,75359.1693253954,3329.0202285375,54569.9337219604,2336.41118759593,2164.36362036811,95.5243353667853,1569.91326327684,67.1463273741865,20789.235603435,992.60904094157,594.450357091266,28.3780079925988,27.586869374407,29.8168521907012,PMC co-delivery with EPI only
Mali,MLI,12-18mo,456,Segou,raw cases,5,81140.9516139227,3013.20157093696,81140.9516139227,3013.20157093696,2395.4066763557,88.9721075731636,2395.4066763557,88.9721075731636,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,18-24mo,638.5,Segou,raw cases,5,83997.4860403837,3010.94747297876,83997.4860403837,3010.94747297876,2540.30441513422,90.9710950071827,2540.30441513422,90.9710950071827,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,24-30mo,821,Segou,raw cases,5,81048.0834319247,2023.66256441469,81048.0834319247,2023.66256441469,2418.90016098517,60.4113979361773,2418.90016098517,60.4113979361773,0,0,0,0,0,0,PMC co-delivery with EPI only
Mali,MLI,0-6mo,91,Sikasso,raw cases,5,3889.62145812587,235.820072928052,2888.06606197501,175.355003035903,90.9522147137427,5.52020971648486,67.6576355371779,4.11587592513029,1001.55539615086,60.4650698921493,23.2945791765648,1.40433379135457,25.7494310676041,25.6403405958563,PMC co-delivery with EPI only
