Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,Scenario
Mali,MLI,n_age_0_6,3,5,raw cases,0.061571715374828,0.00529661998592057,PMC co-delivery with EPI only
Mali,MLI,n_age_7_13,10,5,raw cases,0.0635902696578803,0.00470860288512638,PMC co-delivery with EPI only
Mali,MLI,n_age_14_20,17,5,raw cases,0.0777926220688279,0.00749733726067469,PMC co-delivery with EPI only
Mali,MLI,n_age_21_27,24,5,raw cases,0.0932008589052137,0.00582519301819686,PMC co-delivery with EPI only
Mali,MLI,n_age_28_34,31,5,raw cases,0.100107971794049,0.00750366739327328,PMC co-delivery with EPI only
Mali,MLI,n_age_35_41,38,5,raw cases,0.109408963339659,0.00963687006509849,PMC co-delivery with EPI only
Mali,MLI,n_age_42_48,45,5,raw cases,0.0339270706846424,0.00225616825658924,PMC co-delivery with EPI only
Mali,MLI,n_age_49_55,52,5,raw cases,0.0394930962788924,0.00257946029669981,PMC co-delivery with EPI only
Mali,MLI,n_age_56_62,59,5,raw cases,0.0551625130689834,0.00310039083568776,PMC co-delivery with EPI only
Mali,MLI,n_age_63_69,66,5,raw cases,0.0829393985156251,0.00525889656475689,PMC co-delivery with EPI only
Mali,MLI,n_age_70_76,73,5,raw cases,0.0668319310373191,0.00349301855482494,PMC co-delivery with EPI only
Mali,MLI,n_age_77_83,80,5,raw cases,0.0796853465427048,0.00545846167161486,PMC co-delivery with EPI only
Mali,MLI,n_age_84_90,87,5,raw cases,0.105641623951215,0.00540541669167394,PMC co-delivery with EPI only
Mali,MLI,n_age_91_97,94,5,raw cases,0.14596753037426,0.00876151296273559,PMC co-delivery with EPI only
Mali,MLI,n_age_98_104,101,5,raw cases,0.123129045611056,0.00688785539530961,PMC co-delivery with EPI only
Mali,MLI,n_age_105_111,108,5,raw cases,0.142136879454687,0.00798236677953065,PMC co-delivery with EPI only
Mali,MLI,n_age_112_118,115,5,raw cases,0.167887098322627,0.00801413152690028,PMC co-delivery with EPI only
Mali,MLI,n_age_119_125,122,5,raw cases,0.220967388627465,0.012987072648954,PMC co-delivery with EPI only
Mali,MLI,n_age_126_132,129,5,raw cases,0.292111433556625,0.0148693905170554,PMC co-delivery with EPI only
Mali,MLI,n_age_133_139,136,5,raw cases,0.379600062740054,0.0190734051705819,PMC co-delivery with EPI only
Mali,MLI,n_age_140_146,143,5,raw cases,0.420015239662269,0.0267029671182393,PMC co-delivery with EPI only
Mali,MLI,n_age_147_153,150,5,raw cases,0.475122269647994,0.0258222727052575,PMC co-delivery with EPI only
Mali,MLI,n_age_154_160,157,5,raw cases,0.513430394912936,0.0256439458614039,PMC co-delivery with EPI only
Mali,MLI,n_age_161_167,164,5,raw cases,0.559036924006887,0.030592461718003,PMC co-delivery with EPI only
Mali,MLI,n_age_168_174,171,5,raw cases,0.598307458935973,0.0386896124583536,PMC co-delivery with EPI only
Mali,MLI,n_age_175_181,178,5,raw cases,0.644734533784068,0.0348775321168543,PMC co-delivery with EPI only
Mali,MLI,n_age_182_188,185,5,raw cases,0.191539545818374,0.0110136613611667,PMC co-delivery with EPI only
Mali,MLI,n_age_189_195,192,5,raw cases,0.203069723190351,0.0120352355241785,PMC co-delivery with EPI only
