"Iso code","Scenario","N doses","Admin-1 unit","age","rural","urban","merged"
"MOZ","PMC co-delivery with EPI only",6,"Cabo_Delgado","0-1yr",44988.8098840988,23112.2492926215,68101.0591767203
"MOZ","PMC co-delivery with EPI only",6,"Cabo_Delgado","0-1yr",35999.1541001494,20407.8903205513,56407.0444207007
"MOZ","PMC co-delivery with EPI only",6,"Cabo_Delgado","0-1yr",41829.6840059123,23018.800096996,64848.4841029083
"MOZ","PMC co-delivery with EPI only",6,"Cabo_Delgado","0-1yr",42231.3273418005,23148.8576319553,65380.1849737557
"MOZ","PMC co-delivery with EPI only",6,"Cabo_Delgado","0-1yr",38873.2335850018,20133.3585494043,59006.5921344061
"MOZ","PMC co-delivery with EPI only",6,"Cabo_Delgado","1-2yr",15126.2161617199,10771.4520138924,25897.6681756123
"MOZ","PMC co-delivery with EPI only",6,"Gaza","0-1yr",31653.6109650187,26451.7800905332,58105.3910555519
"MOZ","PMC co-delivery with EPI only",6,"Gaza","0-1yr",28481.3528504556,24603.6931373873,53085.0459878429
"MOZ","PMC co-delivery with EPI only",6,"Gaza","0-1yr",28606.3315147381,25355.0080228142,53961.3395375523
"MOZ","PMC co-delivery with EPI only",6,"Gaza","0-1yr",30173.0825943961,25597.8056372597,55770.8882316558
"MOZ","PMC co-delivery with EPI only",6,"Gaza","0-1yr",28849.5988120509,24741.4518890126,53591.0507010635
"MOZ","PMC co-delivery with EPI only",6,"Gaza","1-2yr",17567.3905409898,17169.2598786498,34736.6504196396
"MOZ","PMC co-delivery with EPI only",6,"Inhambane","0-1yr",41875.4812229685,13187.4776021617,55062.9588251303
"MOZ","PMC co-delivery with EPI only",6,"Inhambane","0-1yr",39533.0211411798,12764.1452094247,52297.1663506044
"MOZ","PMC co-delivery with EPI only",6,"Inhambane","0-1yr",38646.2888670086,11759.1408656499,50405.4297326585
"MOZ","PMC co-delivery with EPI only",6,"Inhambane","0-1yr",38750.8010664687,12663.6901630076,51414.4912294763
"MOZ","PMC co-delivery with EPI only",6,"Inhambane","0-1yr",37603.8915852431,11646.0082144241,49249.8997996672
"MOZ","PMC co-delivery with EPI only",6,"Inhambane","1-2yr",23385.3963882751,8712.669895416,32098.0662836911
"MOZ","PMC co-delivery with EPI only",6,"Manica","0-1yr",48667.312791929,29620.0893546147,78287.4021465437
"MOZ","PMC co-delivery with EPI only",6,"Manica","0-1yr",46060.2702225124,28435.6374513112,74495.9076738235
"MOZ","PMC co-delivery with EPI only",6,"Manica","0-1yr",46361.5571031525,27259.0596107663,73620.6167139188
"MOZ","PMC co-delivery with EPI only",6,"Manica","0-1yr",48904.737994204,29498.1109077708,78402.8489019748
"MOZ","PMC co-delivery with EPI only",6,"Manica","0-1yr",41273.2234482624,27206.0737843624,68479.2972326248
"MOZ","PMC co-delivery with EPI only",6,"Manica","1-2yr",21112.6050005062,17486.2881398254,38598.8931403316
"MOZ","PMC co-delivery with EPI only",6,"Maputo","0-1yr",14614.7810216782,26039.9392447844,40654.7202664627
"MOZ","PMC co-delivery with EPI only",6,"Maputo","0-1yr",14297.3055690137,25683.3536347179,39980.6592037317
"MOZ","PMC co-delivery with EPI only",6,"Maputo","0-1yr",14121.8086063396,24421.6660365853,38543.4746429249
"MOZ","PMC co-delivery with EPI only",6,"Maputo","0-1yr",13985.2799817302,25318.3309803049,39303.6109620351
"MOZ","PMC co-delivery with EPI only",6,"Maputo","0-1yr",13336.6661628798,24053.0371152783,37389.7032781581
"MOZ","PMC co-delivery with EPI only",6,"Maputo","1-2yr",9684.33732481009,18385.367450184,28069.7047749941
"MOZ","PMC co-delivery with EPI only",6,"Maputo_City","0-1yr",858.633931694536,93483.7552249459,94342.3891566404
"MOZ","PMC co-delivery with EPI only",6,"Maputo_City","0-1yr",825.672089941375,89919.3632708606,90745.0353608019
"MOZ","PMC co-delivery with EPI only",6,"Maputo_City","0-1yr",788.28478532663,85864.0472127611,86652.3319980878
"MOZ","PMC co-delivery with EPI only",6,"Maputo_City","0-1yr",815.211898478134,88797.0873500082,89612.2992484863
"MOZ","PMC co-delivery with EPI only",6,"Maputo_City","0-1yr",829.129173581114,90313.0287822915,91142.1579558727
"MOZ","PMC co-delivery with EPI only",6,"Maputo_City","1-2yr",607.8645243,66211.74121968,66819.60574398
"MOZ","PMC co-delivery with EPI only",6,"Nampula","0-1yr",91310.6504080369,88661.9872416725,179972.637649709
