Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,Scenario
Mozambique,rural/urban merged,MOZ,Cabo_Delgado,n_age_0_6,3,clinical,ppy,0.0567594807420798,6,PMC co-delivery with EPI only
Mozambique,rural/urban merged,MOZ,Cabo_Delgado,n_age_7_13,10,clinical,ppy,0.0665233192781937,6,PMC co-delivery with EPI only
Mozambique,rural/urban merged,MOZ,Cabo_Delgado,n_age_14_20,17,clinical,ppy,0.102483392604179,6,PMC co-delivery with EPI only
Mozambique,rural/urban merged,MOZ,Cabo_Delgado,n_age_21_27,24,clinical,ppy,0.101903460303367,6,PMC co-delivery with EPI only
Mozambique,rural/urban merged,MOZ,Cabo_Delgado,n_age_28_34,31,clinical,ppy,0.12544148958496,6,PMC co-delivery with EPI only
Mozambique,rural/urban merged,MOZ,Cabo_Delgado,n_age_35_41,38,clinical,ppy,0.127896643778725,6,PMC co-delivery with EPI only
Mozambique,rural/urban merged,MOZ,Cabo_Delgado,n_age_42_48,45,clinical,ppy,0.15023328992136,6,PMC co-delivery with EPI only
Mozambique,rural/urban merged,MOZ,Cabo_Delgado,n_age_49_55,52,clinical,ppy,0.17766306707993,6,PMC co-delivery with EPI only
Mozambique,rural/urban merged,MOZ,Cabo_Delgado,n_age_56_62,59,clinical,ppy,0.246024152228564,6,PMC co-delivery with EPI only
Mozambique,rural/urban merged,MOZ,Cabo_Delgado,n_age_63_69,66,clinical,ppy,0.0773184660005102,6,PMC co-delivery with EPI only
Mozambique,rural/urban merged,MOZ,Cabo_Delgado,n_age_70_76,73,clinical,ppy,0.120409814640906,6,PMC co-delivery with EPI only
Mozambique,rural/urban merged,MOZ,Cabo_Delgado,n_age_77_83,80,clinical,ppy,0.164397597289378,6,PMC co-delivery with EPI only
Mozambique,rural/urban merged,MOZ,Cabo_Delgado,n_age_84_90,87,clinical,ppy,0.28389952925072,6,PMC co-delivery with EPI only
Mozambique,rural/urban merged,MOZ,Cabo_Delgado,n_age_91_97,94,clinical,ppy,0.14966119638208,6,PMC co-delivery with EPI only
Mozambique,rural/urban merged,MOZ,Cabo_Delgado,n_age_98_104,101,clinical,ppy,0.204000039784625,6,PMC co-delivery with EPI only
Mozambique,rural/urban merged,MOZ,Cabo_Delgado,n_age_105_111,108,clinical,ppy,0.305323332174811,6,PMC co-delivery with EPI only
Mozambique,rural/urban merged,MOZ,Cabo_Delgado,n_age_112_118,115,clinical,ppy,0.40233477807105,6,PMC co-delivery with EPI only
Mozambique,rural/urban merged,MOZ,Cabo_Delgado,n_age_119_125,122,clinical,ppy,0.17441015000716,6,PMC co-delivery with EPI only
