Country,Iso code,Age group,age_in_days_midpoint,units,clinical,severe
Mozambique,MOZ,n_age_0_6,3,ppy,0.0465835472811663,0.00264589549338434
Mozambique,MOZ,n_age_7_13,10,ppy,0.0477106650577757,0.00546084931327653
Mozambique,MOZ,n_age_14_20,17,ppy,0.0685277897057445,0.00568206971830634
Mozambique,MOZ,n_age_21_27,24,ppy,0.0723725712539628,0.00435995886341577
Mozambique,MOZ,n_age_28_34,31,ppy,0.0942849353414435,0.00773849262821467
Mozambique,MOZ,n_age_35_41,38,ppy,0.103503327220663,0.00590530187493491
Mozambique,MOZ,n_age_42_48,45,ppy,0.113983725865146,0.00948078451509398
Mozambique,MOZ,n_age_49_55,52,ppy,0.132646872995977,0.00906098662431548
Mozambique,MOZ,n_age_56_62,59,ppy,0.150499359614413,0.0088094168800078
Mozambique,MOZ,n_age_63_69,66,ppy,0.167802249716384,0.0150916975825577
Mozambique,MOZ,n_age_70_76,73,ppy,0.196000829747428,0.00818335946894849
Mozambique,MOZ,n_age_77_83,80,ppy,0.206700156528416,0.0109544785590739
Mozambique,MOZ,n_age_84_90,87,ppy,0.262188407390758,0.0143005473619578
Mozambique,MOZ,n_age_91_97,94,ppy,0.276190785383817,0.014045392825701
Mozambique,MOZ,n_age_98_104,101,ppy,0.321019709731642,0.0167663422034544
Mozambique,MOZ,n_age_105_111,108,ppy,0.354625648306989,0.0206149243384742
Mozambique,MOZ,n_age_112_118,115,ppy,0.393333354976532,0.0188066117137726
Mozambique,MOZ,n_age_119_125,122,ppy,0.440332211502358,0.020502650000381598
Mozambique,MOZ,n_age_126_132,129,ppy,0.471559670145053,0.0248307104687142
Mozambique,MOZ,n_age_133_139,136,ppy,0.511282332551851,0.0281107046398671
Mozambique,MOZ,n_age_140_146,143,ppy,0.568592330277728,0.0318456668817155
Mozambique,MOZ,n_age_147_153,150,ppy,0.614246971963769,0.031389514025666
Mozambique,MOZ,n_age_154_160,157,ppy,0.635422910127792,0.0302030705694926
Mozambique,MOZ,n_age_161_167,164,ppy,0.681623391387259,0.0333864931600562
Mozambique,MOZ,n_age_168_174,171,ppy,0.695456256406741,0.0359153408440951
Mozambique,MOZ,n_age_175_181,178,ppy,0.758141101790705,0.0409257657304416
Mozambique,MOZ,n_age_182_188,185,ppy,0.825797297932466,0.0424358397542986
Mozambique,MOZ,n_age_189_195,192,ppy,0.861531549974371,0.0389741476905503
