,,,,
, Population ,,Proportion (%) ,
Admin-1, Rural  , Urban  ,Rural,Urban
Cabo Delgado," 1,694,836 "," 749,887 ",0.69,0.31
Nassa," 1,595,579 "," 814,982 ",0.66,0.34
Nampula," 3,879,389 "," 2,848,986 ",0.58,0.42
Tete," 2,864,368 "," 1,024,437 ",0.74,0.26
Zambezia," 4,774,449 "," 1,595,415 ",0.75,0.25
Manica," 1,716,789 "," 899,107 ",0.66,0.34
Sofala," 1,632,441 "," 957,683 ",0.63,0.37
Inhambane," 1,268,821 "," 384,092 ",0.77,0.23
Gaza," 950,493 "," 766,179 ",0.55,0.45
Maputo," 443,752 "," 759,458 ",0.37,0.63
Maputo City," 25,634 "," 2,726,770 ",0.01,0.99
