Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,Scenario
Mozambique,MOZ,n_age_0_6,3,6,raw cases,0.0465835472811663,0.00264589549338434,PMC co-delivery with EPI only
Mozambique,MOZ,n_age_7_13,10,6,raw cases,0.0477106650577757,0.00546084931327653,PMC co-delivery with EPI only
Mozambique,MOZ,n_age_14_20,17,6,raw cases,0.0685277897057445,0.00568206971830634,PMC co-delivery with EPI only
Mozambique,MOZ,n_age_21_27,24,6,raw cases,0.0723725712539628,0.00435995886341577,PMC co-delivery with EPI only
Mozambique,MOZ,n_age_28_34,31,6,raw cases,0.0942849353414435,0.00773849262821467,PMC co-delivery with EPI only
Mozambique,MOZ,n_age_35_41,38,6,raw cases,0.103503327220663,0.00590530187493491,PMC co-delivery with EPI only
Mozambique,MOZ,n_age_42_48,45,6,raw cases,0.113983725865146,0.00948078451509398,PMC co-delivery with EPI only
Mozambique,MOZ,n_age_49_55,52,6,raw cases,0.132646872995977,0.00906098662431548,PMC co-delivery with EPI only
Mozambique,MOZ,n_age_56_62,59,6,raw cases,0.150499359614413,0.0088094168800078,PMC co-delivery with EPI only
Mozambique,MOZ,n_age_63_69,66,6,raw cases,0.0639055082793855,0.00553923293046566,PMC co-delivery with EPI only
Mozambique,MOZ,n_age_70_76,73,6,raw cases,0.102648496755528,0.00398298135324261,PMC co-delivery with EPI only
Mozambique,MOZ,n_age_77_83,80,6,raw cases,0.150989735275145,0.00792424937566213,PMC co-delivery with EPI only
Mozambique,MOZ,n_age_84_90,87,6,raw cases,0.226895092793314,0.0122739876309023,PMC co-delivery with EPI only
Mozambique,MOZ,n_age_91_97,94,6,raw cases,0.132474475902335,0.00664850391836137,PMC co-delivery with EPI only
Mozambique,MOZ,n_age_98_104,101,6,raw cases,0.184010389774703,0.00964650013552255,PMC co-delivery with EPI only
Mozambique,MOZ,n_age_105_111,108,6,raw cases,0.260285748013891,0.0149343943091888,PMC co-delivery with EPI only
Mozambique,MOZ,n_age_112_118,115,6,raw cases,0.342167093661152,0.0162370393909713,PMC co-delivery with EPI only
