Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Malawi,rural/urban merged,MWI,Balaka,n_age_0_6,3,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_7_13,10,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_14_20,17,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_21_27,24,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_28_34,31,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_35_41,38,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_42_48,45,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_49_55,52,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_56_62,59,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_63_69,66,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_70_76,73,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_77_83,80,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_84_90,87,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_91_97,94,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_98_104,101,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_105_111,108,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_112_118,115,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_119_125,122,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_126_132,129,clinical,ppy,0.00308571715450112
Malawi,rural/urban merged,MWI,Balaka,n_age_133_139,136,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_140_146,143,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_147_153,150,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_154_160,157,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_161_167,164,clinical,ppy,0.00325651330696428
Malawi,rural/urban merged,MWI,Balaka,n_age_168_174,171,clinical,ppy,0
Malawi,rural/urban merged,MWI,Balaka,n_age_175_181,178,clinical,ppy,0.00340739423238348
