Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,Scenario
Malawi,MWI,n_age_0_6,3,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_7_13,10,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_14_20,17,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_21_27,24,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_28_34,31,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_35_41,38,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_42_48,45,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_49_55,52,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_56_62,59,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_63_69,66,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_70_76,73,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_77_83,80,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_84_90,87,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_91_97,94,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_98_104,101,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_105_111,108,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_112_118,115,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_119_125,122,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_126_132,129,Balaka,raw cases,6,0.531743261048951,0,3.08571715450112,0,0.0919893855756064,0,0.53381630928941,0,0.439753875473344,0,2.55190084521171,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_133_139,136,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_140_146,143,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_147_153,150,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_154_160,157,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_161_167,164,Balaka,raw cases,6,0.559550095760804,0,3.25651330696428,0,0.00658529854586487,0,0.0383256343040799,0,0.552964797214939,0,3.2181876726602,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_168_174,171,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_175_181,178,Balaka,raw cases,6,0.584808176560851,0,3.40739423238348,0,4.44089308770934e-7,0,2.58749349013598e-6,0,0.584807732471542,0,3.40739164488999,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_182_188,185,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_189_195,192,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_196_202,199,Balaka,raw cases,6,0.503918008258995,0,2.9417170206244,0,0.1904650786411,0,1.11187604826601,0,0.313452929617895,0,1.82984097235839,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_203_209,206,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_210_216,213,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_217_223,220,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_224_230,227,Balaka,raw cases,6,0.575617563191468,0,3.36837826789054,0,0.0523337062667367,0,0.30624451048657,0,0.523283856924731,0,3.06213375740397,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_231_237,234,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_238_244,241,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_245_251,248,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_252_258,255,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_259_265,262,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_266_272,269,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_273_279,276,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_280_286,283,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_287_293,290,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_294_300,297,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_301_307,304,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_308_314,311,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_315_321,318,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_322_328,325,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
Malawi,MWI,n_age_329_335,332,Balaka,raw cases,6,0,0,0,0,0,0,0,0,0,0,0,0,PMC co-delivery with EPI only
