Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,Scenario
Malawi,MWI,n_age_0_6,3,6,raw cases,0.115962794466985,0.00764450301933805,PMC co-delivery with EPI only
Malawi,MWI,n_age_7_13,10,6,raw cases,0.115917683932009,0.00810287455178151,PMC co-delivery with EPI only
Malawi,MWI,n_age_14_20,17,6,raw cases,0.131802135532889,0.00781856686032176,PMC co-delivery with EPI only
Malawi,MWI,n_age_21_27,24,6,raw cases,0.142002818122837,0.00876306548916447,PMC co-delivery with EPI only
Malawi,MWI,n_age_28_34,31,6,raw cases,0.165790546792142,0.0119367735640462,PMC co-delivery with EPI only
Malawi,MWI,n_age_35_41,38,6,raw cases,0.182887493154615,0.0124508158158603,PMC co-delivery with EPI only
Malawi,MWI,n_age_42_48,45,6,raw cases,0.0301733661853935,0.00151014233152525,PMC co-delivery with EPI only
Malawi,MWI,n_age_49_55,52,6,raw cases,0.0601764020358416,0.00333014080843854,PMC co-delivery with EPI only
Malawi,MWI,n_age_56_62,59,6,raw cases,0.122046896986407,0.00777095667922974,PMC co-delivery with EPI only
Malawi,MWI,n_age_63_69,66,6,raw cases,0.190449121861814,0.0104279056910649,PMC co-delivery with EPI only
Malawi,MWI,n_age_70_76,73,6,raw cases,0.0500310533623368,0.00245082011211039,PMC co-delivery with EPI only
Malawi,MWI,n_age_77_83,80,6,raw cases,0.0889621514202441,0.00516175004957394,PMC co-delivery with EPI only
Malawi,MWI,n_age_84_90,87,6,raw cases,0.18523748939448,0.00951458893483009,PMC co-delivery with EPI only
Malawi,MWI,n_age_91_97,94,6,raw cases,0.271613881142681,0.0157011114251867,PMC co-delivery with EPI only
Malawi,MWI,n_age_98_104,101,6,raw cases,0.0792459767286544,0.00486219552870575,PMC co-delivery with EPI only
Malawi,MWI,n_age_105_111,108,6,raw cases,0.131375362870099,0.00909549798394754,PMC co-delivery with EPI only
Malawi,MWI,n_age_112_118,115,6,raw cases,0.239937069103765,0.0147133881641799,PMC co-delivery with EPI only
Malawi,MWI,n_age_119_125,122,6,raw cases,0.346915698262522,0.01944573992302,PMC co-delivery with EPI only
Malawi,MWI,n_age_126_132,129,6,raw cases,0.424546412711495,0.0261064790728817,PMC co-delivery with EPI only
Malawi,MWI,n_age_133_139,136,6,raw cases,0.447001910846101,0.0247156527146451,PMC co-delivery with EPI only
Malawi,MWI,n_age_140_146,143,6,raw cases,0.497805484292432,0.0285460859946416,PMC co-delivery with EPI only
Malawi,MWI,n_age_147_153,150,6,raw cases,0.529330469851737,0.0306281523159163,PMC co-delivery with EPI only
Malawi,MWI,n_age_154_160,157,6,raw cases,0.560414176191562,0.0303909939690799,PMC co-delivery with EPI only
Malawi,MWI,n_age_161_167,164,6,raw cases,0.615241393919829,0.0381277673119338,PMC co-delivery with EPI only
Malawi,MWI,n_age_168_174,171,6,raw cases,0.624910852939473,0.0381192407883535,PMC co-delivery with EPI only
Malawi,MWI,n_age_175_181,178,6,raw cases,0.64813909723882,0.0408136199043378,PMC co-delivery with EPI only
Malawi,MWI,n_age_182_188,185,6,raw cases,0.219038877889742,0.0133384576299133,PMC co-delivery with EPI only
Malawi,MWI,n_age_189_195,192,6,raw cases,0.286178402388271,0.0169687018944114,PMC co-delivery with EPI only
Malawi,MWI,n_age_196_202,199,6,raw cases,0.420821893186123,0.0249060440165254,PMC co-delivery with EPI only
Malawi,MWI,n_age_203_209,206,6,raw cases,0.549643285623346,0.0316388012608246,PMC co-delivery with EPI only
Malawi,MWI,n_age_210_216,213,6,raw cases,0.61456710681269,0.0390234795951448,PMC co-delivery with EPI only
Malawi,MWI,n_age_217_223,220,6,raw cases,0.653624404631334,0.0362558185802655,PMC co-delivery with EPI only
Malawi,MWI,n_age_224_230,227,6,raw cases,0.652046660517145,0.0430669423655112,PMC co-delivery with EPI only
Malawi,MWI,n_age_231_237,234,6,raw cases,0.675366068734227,0.0443870361418622,PMC co-delivery with EPI only
Malawi,MWI,n_age_238_244,241,6,raw cases,0.735334739876243,0.0457052933143603,PMC co-delivery with EPI only
Malawi,MWI,n_age_245_251,248,6,raw cases,0.75405780637274,0.0491826500824632,PMC co-delivery with EPI only
Malawi,MWI,n_age_252_258,255,6,raw cases,0.767284785668291,0.0493553708870177,PMC co-delivery with EPI only
Malawi,MWI,n_age_259_265,262,6,raw cases,0.779933313151877,0.0447746000260451,PMC co-delivery with EPI only
Malawi,MWI,n_age_266_272,269,6,raw cases,0.779605393603225,0.0488810503891622,PMC co-delivery with EPI only
Malawi,MWI,n_age_273_279,276,6,raw cases,0.158641869817831,0.00935113068228554,PMC co-delivery with EPI only
Malawi,MWI,n_age_280_286,283,6,raw cases,0.242133258361108,0.0158435094102457,PMC co-delivery with EPI only
Malawi,MWI,n_age_287_293,290,6,raw cases,0.422832453291663,0.0244750715001988,PMC co-delivery with EPI only
Malawi,MWI,n_age_294_300,297,6,raw cases,0.572730823628031,0.0332538072971107,PMC co-delivery with EPI only
Malawi,MWI,n_age_301_307,304,6,raw cases,0.650048371744981,0.0375266768336677,PMC co-delivery with EPI only
Malawi,MWI,n_age_308_314,311,6,raw cases,0.688029404008448,0.0358843247285765,PMC co-delivery with EPI only
Malawi,MWI,n_age_315_321,318,6,raw cases,0.716621207252582,0.0429546235821277,PMC co-delivery with EPI only
Malawi,MWI,n_age_322_328,325,6,raw cases,0.746024267952081,0.0490347600521383,PMC co-delivery with EPI only
Malawi,MWI,n_age_329_335,332,6,raw cases,0.760317903352124,0.0433796455412359,PMC co-delivery with EPI only
Malawi,MWI,n_age_336_342,339,6,raw cases,0.786848915005729,0.04195053349797,PMC co-delivery with EPI only
Malawi,MWI,n_age_343_349,346,6,raw cases,0.836520985354692,0.0459952243112193,PMC co-delivery with EPI only
Malawi,MWI,n_age_350_356,353,6,raw cases,0.831281157448894,0.0392066057697662,PMC co-delivery with EPI only
Malawi,MWI,n_age_357_363,360,6,raw cases,0.822106000797932,0.0467248445386084,PMC co-delivery with EPI only
Malawi,MWI,n_age_364_370,367,6,raw cases,0.810531683714974,0.0423280702220024,PMC co-delivery with EPI only
Malawi,MWI,n_age_371_377,374,6,raw cases,0.840052177961693,0.0402928250724306,PMC co-delivery with EPI only
Malawi,MWI,n_age_378_384,381,6,raw cases,0.847250439162103,0.0402278917784079,PMC co-delivery with EPI only
Malawi,MWI,n_age_385_391,388,6,raw cases,0.825641066403531,0.0410876542823391,PMC co-delivery with EPI only
Malawi,MWI,n_age_392_398,395,6,raw cases,0.848622998424583,0.0417757076684208,PMC co-delivery with EPI only
Malawi,MWI,n_age_399_405,402,6,raw cases,0.850067712512581,0.0399420253188515,PMC co-delivery with EPI only
Malawi,MWI,n_age_406_412,409,6,raw cases,0.826213001661132,0.0401492432275872,PMC co-delivery with EPI only
Malawi,MWI,n_age_413_419,416,6,raw cases,0.838009092970689,0.0384831062987871,PMC co-delivery with EPI only
Malawi,MWI,n_age_420_426,423,6,raw cases,0.859139519855815,0.036959104611004,PMC co-delivery with EPI only
Malawi,MWI,n_age_427_433,430,6,raw cases,0.835597849751913,0.040990453341988,PMC co-delivery with EPI only
Malawi,MWI,n_age_434_440,437,6,raw cases,0.863611885079665,0.0373749069678005,PMC co-delivery with EPI only
Malawi,MWI,n_age_441_447,444,6,raw cases,0.84808289415540306,0.0349481869695067,PMC co-delivery with EPI only
Malawi,MWI,n_age_448_454,451,6,raw cases,0.839393575594299,0.0441756920524246,PMC co-delivery with EPI only
Malawi,MWI,n_age_455_461,458,6,raw cases,0.691985433492815,0.0310451280655652,PMC co-delivery with EPI only
Malawi,MWI,n_age_462_468,465,6,raw cases,0.725701544987664,0.0352504784687005,PMC co-delivery with EPI only
Malawi,MWI,n_age_469_475,472,6,raw cases,0.743856909834508,0.0333946279442805,PMC co-delivery with EPI only
Malawi,MWI,n_age_476_482,479,6,raw cases,0.796892411921929,0.0345526703236283,PMC co-delivery with EPI only
Malawi,MWI,n_age_483_489,486,6,raw cases,0.830688374281794,0.0419980051018117,PMC co-delivery with EPI only
Malawi,MWI,n_age_490_496,493,6,raw cases,0.843518574086183,0.0403056203355052,PMC co-delivery with EPI only
Malawi,MWI,n_age_497_503,500,6,raw cases,0.858335909029206,0.03548679774642,PMC co-delivery with EPI only
Malawi,MWI,n_age_504_510,507,6,raw cases,0.876027224319989,0.0380912123629655,PMC co-delivery with EPI only
Malawi,MWI,n_age_511_517,514,6,raw cases,0.881574252685124,0.0371948110324974,PMC co-delivery with EPI only
Malawi,MWI,n_age_518_524,521,6,raw cases,0.877608126612151,0.0333665820768272,PMC co-delivery with EPI only
Malawi,MWI,n_age_525_531,528,6,raw cases,0.902476177035884,0.0396193471882192,PMC co-delivery with EPI only
Malawi,MWI,n_age_532_538,535,6,raw cases,0.903653826050058,0.0374555127187463,PMC co-delivery with EPI only
Malawi,MWI,n_age_539_545,542,6,raw cases,0.924676630052805,0.0415488472552642,PMC co-delivery with EPI only
Malawi,MWI,n_age_546_552,549,6,raw cases,0.90014738529432,0.0370685343610203,PMC co-delivery with EPI only
Malawi,MWI,n_age_553_559,556,6,raw cases,0.897413089543969,0.0391533789557031,PMC co-delivery with EPI only
Malawi,MWI,n_age_560_566,563,6,raw cases,0.921708960494371,0.0427807144916304,PMC co-delivery with EPI only
Malawi,MWI,n_age_567_573,570,6,raw cases,0.918352999857589,0.0349333762307023,PMC co-delivery with EPI only
Malawi,MWI,n_age_574_580,577,6,raw cases,0.921552599301382,0.0359954149953111,PMC co-delivery with EPI only
Malawi,MWI,n_age_581_587,584,6,raw cases,0.941805512399811,0.0365875925882903,PMC co-delivery with EPI only
Malawi,MWI,n_age_588_594,591,6,raw cases,0.927812226790924,0.0351421396333357,PMC co-delivery with EPI only
Malawi,MWI,n_age_595_601,598,6,raw cases,0.931956675147213,0.0330407748430075,PMC co-delivery with EPI only
Malawi,MWI,n_age_602_608,605,6,raw cases,0.939513872017637,0.037558621088423,PMC co-delivery with EPI only
Malawi,MWI,n_age_609_615,612,6,raw cases,0.943290533974604,0.0338043643742883,PMC co-delivery with EPI only
Malawi,MWI,n_age_616_622,619,6,raw cases,0.93114730683658,0.0354933636018189,PMC co-delivery with EPI only
Malawi,MWI,n_age_623_629,626,6,raw cases,0.946301885310456,0.0338951879492839,PMC co-delivery with EPI only
Malawi,MWI,n_age_630_636,633,6,raw cases,0.962281657199838,0.0374415994763933,PMC co-delivery with EPI only
Malawi,MWI,n_age_637_643,640,6,raw cases,0.941691687459365,0.0349390308414631,PMC co-delivery with EPI only
Malawi,MWI,n_age_644_650,647,6,raw cases,0.921104007891155,0.0358989130129631,PMC co-delivery with EPI only
Malawi,MWI,n_age_651_657,654,6,raw cases,0.938160952626746,0.0361973014685562,PMC co-delivery with EPI only
Malawi,MWI,n_age_658_664,661,6,raw cases,0.952215545504445,0.0393501022439249,PMC co-delivery with EPI only
Malawi,MWI,n_age_665_671,668,6,raw cases,0.925279695177767,0.0346473099384853,PMC co-delivery with EPI only
Malawi,MWI,n_age_672_678,675,6,raw cases,0.94728969067016,0.0334560518505147,PMC co-delivery with EPI only
Malawi,MWI,n_age_679_685,682,6,raw cases,0.926154532224486,0.0340330673211151,PMC co-delivery with EPI only
Malawi,MWI,n_age_686_692,689,6,raw cases,0.977033934373707,0.0408083435200944,PMC co-delivery with EPI only
Malawi,MWI,n_age_693_699,696,6,raw cases,0.932618766789346,0.0297464674731948,PMC co-delivery with EPI only
Malawi,MWI,n_age_700_706,703,6,raw cases,0.964140512650744,0.0368909472290664,PMC co-delivery with EPI only
Malawi,MWI,n_age_707_713,710,6,raw cases,0.963478077854766,0.0390507657678099,PMC co-delivery with EPI only
Malawi,MWI,n_age_714_720,717,6,raw cases,0.95206063187836,0.0316902973642216,PMC co-delivery with EPI only
Malawi,MWI,n_age_721_727,724,6,raw cases,0.956177103068976,0.0319522824158122,PMC co-delivery with EPI only
Malawi,MWI,n_age_728_734,731,6,raw cases,0.961970272223472,0.0315463786656625,PMC co-delivery with EPI only
Malawi,MWI,n_age_735_741,738,6,raw cases,0.975141092579809,0.0345916643449436,PMC co-delivery with EPI only
Malawi,MWI,n_age_742_748,745,6,raw cases,0.958979795679511,0.0303385831211852,PMC co-delivery with EPI only
Malawi,MWI,n_age_749_755,752,6,raw cases,0.96106590378808,0.0364747144791845,PMC co-delivery with EPI only
Malawi,MWI,n_age_756_762,759,6,raw cases,0.967500080304929,0.0336729970151698,PMC co-delivery with EPI only
Malawi,MWI,n_age_763_769,766,6,raw cases,0.973351674407496,0.0354307050251146,PMC co-delivery with EPI only
Malawi,MWI,n_age_770_776,773,6,raw cases,0.970799804682223,0.0373242395431059,PMC co-delivery with EPI only
Malawi,MWI,n_age_777_783,780,6,raw cases,0.967155189771103,0.0344299645844925,PMC co-delivery with EPI only
Malawi,MWI,n_age_784_790,787,6,raw cases,0.975264571514453,0.0333698291075842,PMC co-delivery with EPI only
Malawi,MWI,n_age_791_797,794,6,raw cases,0.968588190643563,0.036593401588666,PMC co-delivery with EPI only
Malawi,MWI,n_age_798_804,801,6,raw cases,0.990906965235107,0.0290044147646532,PMC co-delivery with EPI only
Malawi,MWI,n_age_805_811,808,6,raw cases,0.96467516783425,0.0354850802487748,PMC co-delivery with EPI only
Malawi,MWI,n_age_812_818,815,6,raw cases,0.962355281194221,0.0318611156820927,PMC co-delivery with EPI only
Malawi,MWI,n_age_819_825,822,6,raw cases,0.970829567838476,0.032010270295095,PMC co-delivery with EPI only
Malawi,MWI,n_age_826_832,829,6,raw cases,0.966540694969203,0.0334149639813789,PMC co-delivery with EPI only
Malawi,MWI,n_age_833_839,836,6,raw cases,0.986606558759275,0.0349214539826608,PMC co-delivery with EPI only
Malawi,MWI,n_age_840_846,843,6,raw cases,0.993720419245515,0.0340529146065292,PMC co-delivery with EPI only
Malawi,MWI,n_age_847_853,850,6,raw cases,0.965842312366946,0.0342258389407284,PMC co-delivery with EPI only
Malawi,MWI,n_age_854_860,857,6,raw cases,0.951988059960591,0.0318836419053493,PMC co-delivery with EPI only
Malawi,MWI,n_age_861_867,864,6,raw cases,0.972428977350614,0.0325728580545193,PMC co-delivery with EPI only
Malawi,MWI,n_age_868_874,871,6,raw cases,0.99163274681789,0.0306518929154977,PMC co-delivery with EPI only
Malawi,MWI,n_age_875_881,878,6,raw cases,1.00340307380419,0.0318469563789822,PMC co-delivery with EPI only
Malawi,MWI,n_age_882_888,885,6,raw cases,0.995174528541084,0.0298872025910843,PMC co-delivery with EPI only
Malawi,MWI,n_age_889_895,892,6,raw cases,0.997796905115889,0.0305291204180105,PMC co-delivery with EPI only
Malawi,MWI,n_age_896_902,899,6,raw cases,1.00211308162467,0.0312748396553926,PMC co-delivery with EPI only
Malawi,MWI,n_age_903_909,906,6,raw cases,1.0038113029679,0.0291218001330138,PMC co-delivery with EPI only
Malawi,MWI,n_age_910_916,913,6,raw cases,1.00569532495945,0.0273365177939353,PMC co-delivery with EPI only
