Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,Scenario
Niger,rural/urban merged,NER,Agadez,n_age_0_6,3,clinical,ppy,0.0109180715291269,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_7_13,10,clinical,ppy,0.00924668545626304,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_14_20,17,clinical,ppy,0.0089855037203816,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_21_27,24,clinical,ppy,0.0140342311312117,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_28_34,31,clinical,ppy,0.0238167146704396,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_35_41,38,clinical,ppy,0.0116555835949766,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_42_48,45,clinical,ppy,0.00270114595780881,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_49_55,52,clinical,ppy,0.00607898601910276,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_56_62,59,clinical,ppy,0.00662595540859145,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_63_69,66,clinical,ppy,0.0080942660871629,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_70_76,73,clinical,ppy,0.00495194785506144,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_77_83,80,clinical,ppy,0.005180569840019,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_84_90,87,clinical,ppy,0.0117645551423631,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_91_97,94,clinical,ppy,0.0120964326881002,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_98_104,101,clinical,ppy,0.0140810303150495,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_105_111,108,clinical,ppy,0.00467420043027347,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_112_118,115,clinical,ppy,0.0114610256576198,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_119_125,122,clinical,ppy,0.0132450593418168,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_126_132,129,clinical,ppy,0.0139188731271857,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_133_139,136,clinical,ppy,0.0363194812890205,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_140_146,143,clinical,ppy,0.0319107051375077,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_147_153,150,clinical,ppy,0.0176825258645678,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_154_160,157,clinical,ppy,0.0207166395575764,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_161_167,164,clinical,ppy,0.0296735557112971,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_168_174,171,clinical,ppy,0.0172351485527477,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_175_181,178,clinical,ppy,0.0423691046421899,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_182_188,185,clinical,ppy,0.0185809302078276,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_189_195,192,clinical,ppy,0.0186173883685192,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_196_202,199,clinical,ppy,0.0157078803382938,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_203_209,206,clinical,ppy,0.0190275987849774,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_210_216,213,clinical,ppy,0.0204343744994804,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_217_223,220,clinical,ppy,0.0265785866926525,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_224_230,227,clinical,ppy,0.0272995282023021,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_231_237,234,clinical,ppy,0.0255442494652608,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_238_244,241,clinical,ppy,0.0192002037412059,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_245_251,248,clinical,ppy,0.0501523774505041,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_252_258,255,clinical,ppy,0.0321740198084855,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_259_265,262,clinical,ppy,0.0277410140729396,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_266_272,269,clinical,ppy,0.012267429117639,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_273_279,276,clinical,ppy,0.0088225528698731,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_280_286,283,clinical,ppy,0.0216327248605216,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_287_293,290,clinical,ppy,0.0142909416355641,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_294_300,297,clinical,ppy,0.0120726737755016,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_301_307,304,clinical,ppy,0.0206187625787523,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_308_314,311,clinical,ppy,0.0235501007888152,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_315_321,318,clinical,ppy,0.0291157186144376,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_322_328,325,clinical,ppy,0.0325182897328996,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_329_335,332,clinical,ppy,0.0279489539295492,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_336_342,339,clinical,ppy,0.0443789482929833,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_343_349,346,clinical,ppy,0.0283681357334877,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_350_356,353,clinical,ppy,0.0494832718895204,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_357_363,360,clinical,ppy,0.0339411654877418,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_364_370,367,clinical,ppy,0.0289909625186932,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_371_377,374,clinical,ppy,0.0130957245571269,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_378_384,381,clinical,ppy,0.0382483934134648,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_385_391,388,clinical,ppy,0.0410605524918481,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_392_398,395,clinical,ppy,0.0153008605485137,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_399_405,402,clinical,ppy,0.0484043356795096,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_406_412,409,clinical,ppy,0.0412032506858484,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_413_419,416,clinical,ppy,0.04541719636509,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_420_426,423,clinical,ppy,0.030410878812269,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_427_433,430,clinical,ppy,0.0305619827835402,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_434_440,437,clinical,ppy,0.0251028175309967,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_441_447,444,clinical,ppy,0.0357659138993357,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_448_454,451,clinical,ppy,0.0354563099962516,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_455_461,458,clinical,ppy,0.0437089382966818,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_462_468,465,clinical,ppy,0.0431353846506159,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_469_475,472,clinical,ppy,0.0355995460163357,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_476_482,479,clinical,ppy,0.0333218083766766,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_483_489,486,clinical,ppy,0.0509291765106605,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_490_496,493,clinical,ppy,0.0355676793065499,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_497_503,500,clinical,ppy,0.0426776632607739,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_504_510,507,clinical,ppy,0.0473669554112225,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_511_517,514,clinical,ppy,0.0357804464639014,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_518_524,521,clinical,ppy,0.0363779293438582,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_525_531,528,clinical,ppy,0.0495427676771953,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_532_538,535,clinical,ppy,0.0266634966835546,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_539_545,542,clinical,ppy,0.0422930751610371,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_546_552,549,clinical,ppy,0.0413529827832591,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_553_559,556,clinical,ppy,0.0365667047050339,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_560_566,563,clinical,ppy,0.0623826943390465,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_567_573,570,clinical,ppy,0.0602901848937473,5,PMC co-delivery with EPI only
Niger,rural/urban merged,NER,Agadez,n_age_574_580,577,clinical,ppy,0.038707368368325,5,PMC co-delivery with EPI only
