Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Niger,rural/urban merged,NER,Agadez,n_age_0_6,3,clinical,ppy,0.0109180715291269
Niger,rural/urban merged,NER,Agadez,n_age_7_13,10,clinical,ppy,0.00924668545626304
Niger,rural/urban merged,NER,Agadez,n_age_14_20,17,clinical,ppy,0.0089855037203816
Niger,rural/urban merged,NER,Agadez,n_age_21_27,24,clinical,ppy,0.0140342311312117
Niger,rural/urban merged,NER,Agadez,n_age_28_34,31,clinical,ppy,0.0238167146704396
Niger,rural/urban merged,NER,Agadez,n_age_35_41,38,clinical,ppy,0.0116555835949766
Niger,rural/urban merged,NER,Agadez,n_age_42_48,45,clinical,ppy,0.00699335957256998
Niger,rural/urban merged,NER,Agadez,n_age_49_55,52,clinical,ppy,0.0148033053598864
Niger,rural/urban merged,NER,Agadez,n_age_56_62,59,clinical,ppy,0.0141402234232357
Niger,rural/urban merged,NER,Agadez,n_age_63_69,66,clinical,ppy,0.0147442272464924
Niger,rural/urban merged,NER,Agadez,n_age_70_76,73,clinical,ppy,0.012448588398182
Niger,rural/urban merged,NER,Agadez,n_age_77_83,80,clinical,ppy,0.0123251826830987
Niger,rural/urban merged,NER,Agadez,n_age_84_90,87,clinical,ppy,0.0246798565608954
Niger,rural/urban merged,NER,Agadez,n_age_91_97,94,clinical,ppy,0.0217156718814878
Niger,rural/urban merged,NER,Agadez,n_age_98_104,101,clinical,ppy,0.0313046351984345
Niger,rural/urban merged,NER,Agadez,n_age_105_111,108,clinical,ppy,0.00999343987226895
Niger,rural/urban merged,NER,Agadez,n_age_112_118,115,clinical,ppy,0.0219138041781222
Niger,rural/urban merged,NER,Agadez,n_age_119_125,122,clinical,ppy,0.0222487716690804
Niger,rural/urban merged,NER,Agadez,n_age_126_132,129,clinical,ppy,0.0197055155146002
Niger,rural/urban merged,NER,Agadez,n_age_133_139,136,clinical,ppy,0.0446386857666892
Niger,rural/urban merged,NER,Agadez,n_age_140_146,143,clinical,ppy,0.0370222073002322
Niger,rural/urban merged,NER,Agadez,n_age_147_153,150,clinical,ppy,0.0198221663868154
Niger,rural/urban merged,NER,Agadez,n_age_154_160,157,clinical,ppy,0.0220200701407262
Niger,rural/urban merged,NER,Agadez,n_age_161_167,164,clinical,ppy,0.0300893024558996
Niger,rural/urban merged,NER,Agadez,n_age_168_174,171,clinical,ppy,0.0172450683652492
Niger,rural/urban merged,NER,Agadez,n_age_175_181,178,clinical,ppy,0.0423691423663113
Niger,rural/urban merged,NER,Agadez,n_age_182_188,185,clinical,ppy,0.0276369464629312
Niger,rural/urban merged,NER,Agadez,n_age_189_195,192,clinical,ppy,0.0271729366552808
Niger,rural/urban merged,NER,Agadez,n_age_196_202,199,clinical,ppy,0.0219570856251583
Niger,rural/urban merged,NER,Agadez,n_age_203_209,206,clinical,ppy,0.0250752198252264
Niger,rural/urban merged,NER,Agadez,n_age_210_216,213,clinical,ppy,0.024761861527922
Niger,rural/urban merged,NER,Agadez,n_age_217_223,220,clinical,ppy,0.0299113560565365
Niger,rural/urban merged,NER,Agadez,n_age_224_230,227,clinical,ppy,0.0297531995904856
Niger,rural/urban merged,NER,Agadez,n_age_231_237,234,clinical,ppy,0.0273013055467508
Niger,rural/urban merged,NER,Agadez,n_age_238_244,241,clinical,ppy,0.0198991775092091
Niger,rural/urban merged,NER,Agadez,n_age_245_251,248,clinical,ppy,0.0505681744056257
Niger,rural/urban merged,NER,Agadez,n_age_252_258,255,clinical,ppy,0.0321850346370801
Niger,rural/urban merged,NER,Agadez,n_age_259_265,262,clinical,ppy,0.0277410288419547
Niger,rural/urban merged,NER,Agadez,n_age_266_272,269,clinical,ppy,0.0122674291176667
Niger,rural/urban merged,NER,Agadez,n_age_273_279,276,clinical,ppy,0.0180482025373603
Niger,rural/urban merged,NER,Agadez,n_age_280_286,283,clinical,ppy,0.0425757296928687
Niger,rural/urban merged,NER,Agadez,n_age_287_293,290,clinical,ppy,0.0257114579072725
Niger,rural/urban merged,NER,Agadez,n_age_294_300,297,clinical,ppy,0.0193306997320393
Niger,rural/urban merged,NER,Agadez,n_age_301_307,304,clinical,ppy,0.0283523094087102
