Country,Iso code,Age group,age_in_days_midpoint,units,clinical,severe
Niger,NER,n_age_0_6,3,ppy,0.0440162646350113,0.00377520210975713
Niger,NER,n_age_7_13,10,ppy,0.0460196735951792,0.00672113780942289
Niger,NER,n_age_14_20,17,ppy,0.0589921778578035,0.0039208661085142
Niger,NER,n_age_21_27,24,ppy,0.0749775475663033,0.00456519690306446
Niger,NER,n_age_28_34,31,ppy,0.0702883373342108,0.00683958259959054
Niger,NER,n_age_35_41,38,ppy,0.0932014835156428,0.00585673906645424
Niger,NER,n_age_42_48,45,ppy,0.0974142899452468,0.0058395803532313
Niger,NER,n_age_49_55,52,ppy,0.115618244576576,0.00624201686163389
Niger,NER,n_age_56_62,59,ppy,0.138217090743988,0.010176509967951
Niger,NER,n_age_63_69,66,ppy,0.154167695392008,0.0079528153909688409
Niger,NER,n_age_70_76,73,ppy,0.156914784409002,0.0112184829909369
Niger,NER,n_age_77_83,80,ppy,0.168904382201388,0.0111498461157489
Niger,NER,n_age_84_90,87,ppy,0.193096737943177,0.00997047716196942
Niger,NER,n_age_91_97,94,ppy,0.204947316354195,0.0117330790075329
Niger,NER,n_age_98_104,101,ppy,0.222572547873579,0.0149913884240802
Niger,NER,n_age_105_111,108,ppy,0.234582635773495,0.0161050095159078
Niger,NER,n_age_112_118,115,ppy,0.264932698056822,0.0150360407211059
Niger,NER,n_age_119_125,122,ppy,0.273107021282929,0.0210950514882252
Niger,NER,n_age_126_132,129,ppy,0.298830180833984,0.0196952744906661
Niger,NER,n_age_133_139,136,ppy,0.312946014254406,0.0207210984197735
Niger,NER,n_age_140_146,143,ppy,0.325575559017956,0.022689719288629
Niger,NER,n_age_147_153,150,ppy,0.342348921463722,0.017668070344405
Niger,NER,n_age_154_160,157,ppy,0.379881580105119,0.0249420370136945
Niger,NER,n_age_161_167,164,ppy,0.361331154875708,0.0254488668305053
Niger,NER,n_age_168_174,171,ppy,0.370693361802489,0.0313616052679798
Niger,NER,n_age_175_181,178,ppy,0.387894853253222,0.0314648390649878
Niger,NER,n_age_182_188,185,ppy,0.394544981728133,0.0307301498129344
Niger,NER,n_age_189_195,192,ppy,0.407578496907892,0.027680564491995
Niger,NER,n_age_196_202,199,ppy,0.430954205582581,0.0314218768259562
Niger,NER,n_age_203_209,206,ppy,0.428070932168346,0.0309320300708505
Niger,NER,n_age_210_216,213,ppy,0.410272500931702,0.0283099770214091
