Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,Scenario
Niger,NER,n_age_0_6,3,5,raw cases,0.0440162646350113,0.00377520210975713,PMC co-delivery with EPI only
Niger,NER,n_age_7_13,10,5,raw cases,0.0460196735951792,0.00672113780942289,PMC co-delivery with EPI only
Niger,NER,n_age_14_20,17,5,raw cases,0.0589921778578035,0.0039208661085142,PMC co-delivery with EPI only
Niger,NER,n_age_21_27,24,5,raw cases,0.0749775475663033,0.00456519690306446,PMC co-delivery with EPI only
Niger,NER,n_age_28_34,31,5,raw cases,0.0702883373342108,0.00683958259959054,PMC co-delivery with EPI only
Niger,NER,n_age_35_41,38,5,raw cases,0.0932014835156428,0.00585673906645424,PMC co-delivery with EPI only
Niger,NER,n_age_42_48,45,5,raw cases,0.0203446905602338,0.00116079095471936,PMC co-delivery with EPI only
Niger,NER,n_age_49_55,52,5,raw cases,0.0273307313886279,0.00153581161743712,PMC co-delivery with EPI only
Niger,NER,n_age_56_62,59,5,raw cases,0.0432099386752568,0.00325501996142827,PMC co-delivery with EPI only
Niger,NER,n_age_63_69,66,5,raw cases,0.0650326812206769,0.00332515662649775,PMC co-delivery with EPI only
Niger,NER,n_age_70_76,73,5,raw cases,0.0401535840452927,0.00273386932591557,PMC co-delivery with EPI only
Niger,NER,n_age_77_83,80,5,raw cases,0.0473267971998681,0.00308808796737797,PMC co-delivery with EPI only
Niger,NER,n_age_84_90,87,5,raw cases,0.0673580841770258,0.00356693463846589,PMC co-delivery with EPI only
Niger,NER,n_age_91_97,94,5,raw cases,0.0931592735732224,0.00535578266162659,PMC co-delivery with EPI only
Niger,NER,n_age_98_104,101,5,raw cases,0.075497114014713207,0.00524993954116488,PMC co-delivery with EPI only
Niger,NER,n_age_105_111,108,5,raw cases,0.0850304419768005,0.00582003077973889,PMC co-delivery with EPI only
Niger,NER,n_age_112_118,115,5,raw cases,0.113312212372038,0.00646513918913289,PMC co-delivery with EPI only
Niger,NER,n_age_119_125,122,5,raw cases,0.141900917902046,0.0109268739896824,PMC co-delivery with EPI only
Niger,NER,n_age_126_132,129,5,raw cases,0.197185582649096,0.0130578860695867,PMC co-delivery with EPI only
Niger,NER,n_age_133_139,136,5,raw cases,0.248443601755332,0.0164990728443991,PMC co-delivery with EPI only
Niger,NER,n_age_140_146,143,5,raw cases,0.27816941516807703,0.0193975189578417,PMC co-delivery with EPI only
Niger,NER,n_age_147_153,150,5,raw cases,0.303574560529844,0.0156580761025944,PMC co-delivery with EPI only
Niger,NER,n_age_154_160,157,5,raw cases,0.356507396429514,0.023398891855157,PMC co-delivery with EPI only
Niger,NER,n_age_161_167,164,5,raw cases,0.356108925561025,0.0250831115344067,PMC co-delivery with EPI only
Niger,NER,n_age_168_174,171,5,raw cases,0.370470195936083,0.0313426348455915,PMC co-delivery with EPI only
Niger,NER,n_age_175_181,178,5,raw cases,0.387894491167543,0.0314648097786614,PMC co-delivery with EPI only
Niger,NER,n_age_182_188,185,5,raw cases,0.170521142227333,0.0135492556912227,PMC co-delivery with EPI only
Niger,NER,n_age_189_195,192,5,raw cases,0.184555152075462,0.012344329113423,PMC co-delivery with EPI only
Niger,NER,n_age_196_202,199,5,raw cases,0.218684312737477,0.0160313595062834,PMC co-delivery with EPI only
Niger,NER,n_age_203_209,206,5,raw cases,0.250517055199094,0.0180768226626446,PMC co-delivery with EPI only
Niger,NER,n_age_210_216,213,5,raw cases,0.290557374249741,0.0200814319688851,PMC co-delivery with EPI only
Niger,NER,n_age_217_223,220,5,raw cases,0.334606900078534,0.0269183988148775,PMC co-delivery with EPI only
Niger,NER,n_age_224_230,227,5,raw cases,0.392922312126129,0.0279917362795866,PMC co-delivery with EPI only
Niger,NER,n_age_231_237,234,5,raw cases,0.417644299144341,0.0247981503192387,PMC co-delivery with EPI only
Niger,NER,n_age_238_244,241,5,raw cases,0.435345275737581,0.0293557952031529,PMC co-delivery with EPI only
Niger,NER,n_age_245_251,248,5,raw cases,0.461127961233306,0.0264194006157208,PMC co-delivery with EPI only
Niger,NER,n_age_252_258,255,5,raw cases,0.482449221308919,0.030925018406159,PMC co-delivery with EPI only
Niger,NER,n_age_259_265,262,5,raw cases,0.460777561657989,0.0306820833901482,PMC co-delivery with EPI only
Niger,NER,n_age_266_272,269,5,raw cases,0.481883544989542,0.0324311114646675,PMC co-delivery with EPI only
Niger,NER,n_age_273_279,276,5,raw cases,0.158364977201593,0.0105280476526559,PMC co-delivery with EPI only
Niger,NER,n_age_280_286,283,5,raw cases,0.180209238013689,0.010784223248701,PMC co-delivery with EPI only
Niger,NER,n_age_287_293,290,5,raw cases,0.199508970459302,0.0205361345843009,PMC co-delivery with EPI only
Niger,NER,n_age_294_300,297,5,raw cases,0.259703516937688,0.0186312716387627,PMC co-delivery with EPI only
Niger,NER,n_age_301_307,304,5,raw cases,0.328119586831585,0.0243370089144745,PMC co-delivery with EPI only
Niger,NER,n_age_308_314,311,5,raw cases,0.397744441785072,0.0281105465387275,PMC co-delivery with EPI only
Niger,NER,n_age_315_321,318,5,raw cases,0.433112075573563,0.0301102125302471,PMC co-delivery with EPI only
Niger,NER,n_age_322_328,325,5,raw cases,0.437948481338853,0.0316723026632416,PMC co-delivery with EPI only
Niger,NER,n_age_329_335,332,5,raw cases,0.468943482295807,0.0367951879724407,PMC co-delivery with EPI only
Niger,NER,n_age_336_342,339,5,raw cases,0.507716137753632,0.0360381353612617,PMC co-delivery with EPI only
Niger,NER,n_age_343_349,346,5,raw cases,0.502761435005516,0.0306439458263654,PMC co-delivery with EPI only
Niger,NER,n_age_350_356,353,5,raw cases,0.508113257801183,0.0301952281556668,PMC co-delivery with EPI only
Niger,NER,n_age_357_363,360,5,raw cases,0.512879101715892,0.0275195198564401,PMC co-delivery with EPI only
Niger,NER,n_age_364_370,367,5,raw cases,0.4976150571347,0.0328735678032113,PMC co-delivery with EPI only
Niger,NER,n_age_371_377,374,5,raw cases,0.505507241529983,0.0365293921730165,PMC co-delivery with EPI only
Niger,NER,n_age_378_384,381,5,raw cases,0.510688856930596,0.0294015285020212,PMC co-delivery with EPI only
Niger,NER,n_age_385_391,388,5,raw cases,0.52140146004826,0.0397004568693795,PMC co-delivery with EPI only
Niger,NER,n_age_392_398,395,5,raw cases,0.52600699648396,0.0324527679633865,PMC co-delivery with EPI only
Niger,NER,n_age_399_405,402,5,raw cases,0.539633234951198,0.032238498247158,PMC co-delivery with EPI only
Niger,NER,n_age_406_412,409,5,raw cases,0.513624489285275,0.0309971816732087,PMC co-delivery with EPI only
Niger,NER,n_age_413_419,416,5,raw cases,0.536635982268325,0.0282215543204615,PMC co-delivery with EPI only
Niger,NER,n_age_420_426,423,5,raw cases,0.506823854857501,0.0355485543185969,PMC co-delivery with EPI only
Niger,NER,n_age_427_433,430,5,raw cases,0.547103154004529,0.0354253012834816,PMC co-delivery with EPI only
Niger,NER,n_age_434_440,437,5,raw cases,0.528847170001861,0.0310451555386291,PMC co-delivery with EPI only
Niger,NER,n_age_441_447,444,5,raw cases,0.505766751962805,0.033505412717487,PMC co-delivery with EPI only
Niger,NER,n_age_448_454,451,5,raw cases,0.559520423685891,0.0394305536979874,PMC co-delivery with EPI only
Niger,NER,n_age_455_461,458,5,raw cases,0.536488519812644,0.0433894318141629,PMC co-delivery with EPI only
