"Iso code","Scenario","N doses","Admin-1 unit","age","rural","urban","merged"
"NGA","PMC co-delivery with EPI only",6,"Abia","0-1yr",23973.6007932856,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Abia","0-1yr",22075.53334848,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Abia","0-1yr",18179.0281131618,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Abia","0-1yr",21917.9666396788,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Abia","0-1yr",19593.3338142583,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Abia","1-2yr",9974.7881236224,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Adamawa","0-1yr",68703.3848322878,48093.7982138089,116797.183046097
"NGA","PMC co-delivery with EPI only",6,"Adamawa","0-1yr",63298.5576760818,36938.5397318991,100237.097407981
"NGA","PMC co-delivery with EPI only",6,"Adamawa","0-1yr",55952.53206384,32004.9960110233,87957.5280748634
"NGA","PMC co-delivery with EPI only",6,"Adamawa","0-1yr",55941.1592935568,40065.5069215842,96006.666215141
"NGA","PMC co-delivery with EPI only",6,"Adamawa","0-1yr",61346.57571719,41731.7985027692,103078.374219959
"NGA","PMC co-delivery with EPI only",6,"Adamawa","1-2yr",10710.4294167205,10375.938972,21086.3683887205
"NGA","PMC co-delivery with EPI only",6,"Akwa_Ibom","0-1yr",19187.8448824579,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Akwa_Ibom","0-1yr",15976.0474237261,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Akwa_Ibom","0-1yr",14785.8278324091,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Akwa_Ibom","0-1yr",12534.8139871507,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Akwa_Ibom","0-1yr",15095.2428158057,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Akwa_Ibom","1-2yr",3552.8123080145,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Anambra","0-1yr",16252.2576780686,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Anambra","0-1yr",16531.5501807429,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Anambra","0-1yr",15726.1080478344,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Anambra","0-1yr",17008.8525648242,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Anambra","0-1yr",15315.1744492591,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Anambra","1-2yr",1505.99215417714,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Bauchi","0-1yr",110198.356376001,40339.4666449097,150537.82302091
"NGA","PMC co-delivery with EPI only",6,"Bauchi","0-1yr",100413.132896125,35013.4421668614,135426.575062987
"NGA","PMC co-delivery with EPI only",6,"Bauchi","0-1yr",77984.0608807204,29416.6143484013,107400.675229122
"NGA","PMC co-delivery with EPI only",6,"Bauchi","0-1yr",37885.2750305176,31603.1803446857,69488.4553752033
"NGA","PMC co-delivery with EPI only",6,"Bauchi","0-1yr",62114.1987022826,32367.5292945931,94481.7279968757
"NGA","PMC co-delivery with EPI only",6,"Bauchi","1-2yr",11822.2582024815,6167.65498761175,17989.9131900933
"NGA","PMC co-delivery with EPI only",6,"Bayelsa","0-1yr",43500.1046701892,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Bayelsa","0-1yr",39587.8339607165,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Bayelsa","0-1yr",32250.1287870795,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Bayelsa","0-1yr",32241.4135468986,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Bayelsa","0-1yr",42896.2472644272,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Bayelsa","1-2yr",17221.0559330315,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Benue","0-1yr",114957.746594137,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Benue","0-1yr",102468.645263067,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Benue","0-1yr",80027.8944676742,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Benue","0-1yr",90178.704658356,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Benue","0-1yr",100821.346613295,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Benue","1-2yr",29041.7521066065,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Borno","0-1yr",111361.811529964,45152.1476372432,156513.959167207
"NGA","PMC co-delivery with EPI only",6,"Borno","0-1yr",97304.3835975615,38286.5398494221,135590.923446984
"NGA","PMC co-delivery with EPI only",6,"Borno","0-1yr",66758.173451433,25019.8415146043,91778.0149660373
"NGA","PMC co-delivery with EPI only",6,"Borno","0-1yr",21607.9093658581,17531.1464149356,39139.0557807938
"NGA","PMC co-delivery with EPI only",6,"Borno","0-1yr",72325.7068607848,31728.3272682705,104054.034129055
"NGA","PMC co-delivery with EPI only",6,"Borno","1-2yr",21858.4358512594,16122.1010021464,37980.5368534058
"NGA","PMC co-delivery with EPI only",6,"Cross_River","0-1yr",76535.1471514106,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Cross_River","0-1yr",68304.5615613371,NA,NA
"NGA","PMC co-delivery with EPI only",6,"Cross_River","0-1yr",58870.5581744116,NA,NA
