Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,Scenario
Nigeria,rural/urban merged,NGA,Abia,n_age_0_6,3,clinical,ppy,0.0767784740354507,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_7_13,10,clinical,ppy,0.102414290000761,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_14_20,17,clinical,ppy,0.11241673142628,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_21_27,24,clinical,ppy,0.118668085815654,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_28_34,31,clinical,ppy,0.148850107928594,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_35_41,38,clinical,ppy,0.131878491158203,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_42_48,45,clinical,ppy,0.0193377256551931,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_49_55,52,clinical,ppy,0.028464794458918,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_56_62,59,clinical,ppy,0.0443781861656624,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_63_69,66,clinical,ppy,0.0810533797316724,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_70_76,73,clinical,ppy,0.0317646339153891,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_77_83,80,clinical,ppy,0.0383499304140052,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_84_90,87,clinical,ppy,0.068523384675672,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_91_97,94,clinical,ppy,0.0873195704592351,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_98_104,101,clinical,ppy,0.0517770708507845,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_105_111,108,clinical,ppy,0.0642557577396733,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_112_118,115,clinical,ppy,0.0812222156228218,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_119_125,122,clinical,ppy,0.109872046871366,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_126_132,129,clinical,ppy,0.158320373509441,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_133_139,136,clinical,ppy,0.230804408243162,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_140_146,143,clinical,ppy,0.223645937559782,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_147_153,150,clinical,ppy,0.220629080128517,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_154_160,157,clinical,ppy,0.253982551356958,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_161_167,164,clinical,ppy,0.262201174517468,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_168_174,171,clinical,ppy,0.308547359820036,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_175_181,178,clinical,ppy,0.235581894652422,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_182_188,185,clinical,ppy,0.0599212707450698,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_189_195,192,clinical,ppy,0.0768645347788953,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_196_202,199,clinical,ppy,0.102244892990282,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_203_209,206,clinical,ppy,0.152413560044101,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_210_216,213,clinical,ppy,0.193706430119867,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_217_223,220,clinical,ppy,0.289482543769767,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_224_230,227,clinical,ppy,0.265721103440162,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_231_237,234,clinical,ppy,0.2726769541354,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_238_244,241,clinical,ppy,0.362932457520132,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_245_251,248,clinical,ppy,0.306365155378194,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_252_258,255,clinical,ppy,0.313053577009717,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_259_265,262,clinical,ppy,0.354723360438647,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_266_272,269,clinical,ppy,0.300392771820366,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_273_279,276,clinical,ppy,0.06518567985757,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_280_286,283,clinical,ppy,0.0744575139905047,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_287_293,290,clinical,ppy,0.100521698737802,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_294_300,297,clinical,ppy,0.144875059151149,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_301_307,304,clinical,ppy,0.24894127979341,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_308_314,311,clinical,ppy,0.276686253950803,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_315_321,318,clinical,ppy,0.295338205109448,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_322_328,325,clinical,ppy,0.348406597520369,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_329_335,332,clinical,ppy,0.347904159128109,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_336_342,339,clinical,ppy,0.325743911306628,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_343_349,346,clinical,ppy,0.369385110106035,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_350_356,353,clinical,ppy,0.329085737337967,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_357_363,360,clinical,ppy,0.330328428845777,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_364_370,367,clinical,ppy,0.380698672354421,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_371_377,374,clinical,ppy,0.370243210354036,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_378_384,381,clinical,ppy,0.333112888324212,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_385_391,388,clinical,ppy,0.305850276050817,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_392_398,395,clinical,ppy,0.393753537950015,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_399_405,402,clinical,ppy,0.384687808737977,6,PMC co-delivery with EPI only
Nigeria,rural/urban merged,NGA,Abia,n_age_406_412,409,clinical,ppy,0.374002181193939,6,PMC co-delivery with EPI only
