Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Nigeria,rural/urban merged,NGA,Abia,n_age_0_6,3,clinical,ppy,0.0767784740354507
Nigeria,rural/urban merged,NGA,Abia,n_age_7_13,10,clinical,ppy,0.102414290000761
Nigeria,rural/urban merged,NGA,Abia,n_age_14_20,17,clinical,ppy,0.11241673142628
Nigeria,rural/urban merged,NGA,Abia,n_age_21_27,24,clinical,ppy,0.118668085815654
Nigeria,rural/urban merged,NGA,Abia,n_age_28_34,31,clinical,ppy,0.148850107928594
Nigeria,rural/urban merged,NGA,Abia,n_age_35_41,38,clinical,ppy,0.131878491158203
Nigeria,rural/urban merged,NGA,Abia,n_age_42_48,45,clinical,ppy,0.128632097094507
Nigeria,rural/urban merged,NGA,Abia,n_age_49_55,52,clinical,ppy,0.146131935688591
Nigeria,rural/urban merged,NGA,Abia,n_age_56_62,59,clinical,ppy,0.149092673056438
Nigeria,rural/urban merged,NGA,Abia,n_age_63_69,66,clinical,ppy,0.1860461208221
Nigeria,rural/urban merged,NGA,Abia,n_age_70_76,73,clinical,ppy,0.166865421408268
Nigeria,rural/urban merged,NGA,Abia,n_age_77_83,80,clinical,ppy,0.166450654709218
Nigeria,rural/urban merged,NGA,Abia,n_age_84_90,87,clinical,ppy,0.209238996312506
Nigeria,rural/urban merged,NGA,Abia,n_age_91_97,94,clinical,ppy,0.188378116912156
Nigeria,rural/urban merged,NGA,Abia,n_age_98_104,101,clinical,ppy,0.201039294777273
Nigeria,rural/urban merged,NGA,Abia,n_age_105_111,108,clinical,ppy,0.218143900973767
Nigeria,rural/urban merged,NGA,Abia,n_age_112_118,115,clinical,ppy,0.217415568989577
Nigeria,rural/urban merged,NGA,Abia,n_age_119_125,122,clinical,ppy,0.219374320426272
Nigeria,rural/urban merged,NGA,Abia,n_age_126_132,129,clinical,ppy,0.233807542107175
Nigeria,rural/urban merged,NGA,Abia,n_age_133_139,136,clinical,ppy,0.276577517261081
Nigeria,rural/urban merged,NGA,Abia,n_age_140_146,143,clinical,ppy,0.248623356253908
Nigeria,rural/urban merged,NGA,Abia,n_age_147_153,150,clinical,ppy,0.238656720303425
Nigeria,rural/urban merged,NGA,Abia,n_age_154_160,157,clinical,ppy,0.265040568837593
Nigeria,rural/urban merged,NGA,Abia,n_age_161_167,164,clinical,ppy,0.264774835237786
Nigeria,rural/urban merged,NGA,Abia,n_age_168_174,171,clinical,ppy,0.308672581588351
Nigeria,rural/urban merged,NGA,Abia,n_age_175_181,178,clinical,ppy,0.235582042036976
Nigeria,rural/urban merged,NGA,Abia,n_age_182_188,185,clinical,ppy,0.288197662532344
Nigeria,rural/urban merged,NGA,Abia,n_age_189_195,192,clinical,ppy,0.311483146928675
Nigeria,rural/urban merged,NGA,Abia,n_age_196_202,199,clinical,ppy,0.301383020080952
Nigeria,rural/urban merged,NGA,Abia,n_age_203_209,206,clinical,ppy,0.322668046411543
Nigeria,rural/urban merged,NGA,Abia,n_age_210_216,213,clinical,ppy,0.295608375256442
Nigeria,rural/urban merged,NGA,Abia,n_age_217_223,220,clinical,ppy,0.351195458537011
Nigeria,rural/urban merged,NGA,Abia,n_age_224_230,227,clinical,ppy,0.297340096622353
Nigeria,rural/urban merged,NGA,Abia,n_age_231_237,234,clinical,ppy,0.296624229589031
Nigeria,rural/urban merged,NGA,Abia,n_age_238_244,241,clinical,ppy,0.379759997767702
Nigeria,rural/urban merged,NGA,Abia,n_age_245_251,248,clinical,ppy,0.309563196300195
Nigeria,rural/urban merged,NGA,Abia,n_age_252_258,255,clinical,ppy,0.313188464478015
Nigeria,rural/urban merged,NGA,Abia,n_age_259_265,262,clinical,ppy,0.354723597045762
Nigeria,rural/urban merged,NGA,Abia,n_age_266_272,269,clinical,ppy,0.300392771821216
Nigeria,rural/urban merged,NGA,Abia,n_age_273_279,276,clinical,ppy,0.3191731117673
Nigeria,rural/urban merged,NGA,Abia,n_age_280_286,283,clinical,ppy,0.300029472486778
Nigeria,rural/urban merged,NGA,Abia,n_age_287_293,290,clinical,ppy,0.296526908817426
Nigeria,rural/urban merged,NGA,Abia,n_age_294_300,297,clinical,ppy,0.303314920579352
Nigeria,rural/urban merged,NGA,Abia,n_age_301_307,304,clinical,ppy,0.380906610338876
Nigeria,rural/urban merged,NGA,Abia,n_age_308_314,311,clinical,ppy,0.33557660325973
Nigeria,rural/urban merged,NGA,Abia,n_age_315_321,318,clinical,ppy,0.330420215700169
Nigeria,rural/urban merged,NGA,Abia,n_age_322_328,325,clinical,ppy,0.379044789114001
Nigeria,rural/urban merged,NGA,Abia,n_age_329_335,332,clinical,ppy,0.36401439195919
Nigeria,rural/urban merged,NGA,Abia,n_age_336_342,339,clinical,ppy,0.329139134570659
Nigeria,rural/urban merged,NGA,Abia,n_age_343_349,346,clinical,ppy,0.369545395004116
Nigeria,rural/urban merged,NGA,Abia,n_age_350_356,353,clinical,ppy,0.329085956721551
Nigeria,rural/urban merged,NGA,Abia,n_age_357_363,360,clinical,ppy,0.330328428846715
Nigeria,rural/urban merged,NGA,Abia,n_age_364_370,367,clinical,ppy,0.380698672354421
Nigeria,rural/urban merged,NGA,Abia,n_age_371_377,374,clinical,ppy,0.370243210354036
Nigeria,rural/urban merged,NGA,Abia,n_age_378_384,381,clinical,ppy,0.333112888324212
Nigeria,rural/urban merged,NGA,Abia,n_age_385_391,388,clinical,ppy,0.305850276050817
