Country,Iso code,Age group,age_in_days_midpoint,units,clinical,severe
Nigeria,NGA,n_age_0_6,3,ppy,0.0786502684016754,0.00431857333930174
Nigeria,NGA,n_age_7_13,10,ppy,0.0909879450986877,0.00601227060645354
Nigeria,NGA,n_age_14_20,17,ppy,0.100210984594933,0.00687035631161218
Nigeria,NGA,n_age_21_27,24,ppy,0.11481139215726,0.00632497348852986
Nigeria,NGA,n_age_28_34,31,ppy,0.13100008968283,0.00839126961551476
Nigeria,NGA,n_age_35_41,38,ppy,0.147519436236983,0.0108466629899446
Nigeria,NGA,n_age_42_48,45,ppy,0.168790509625895,0.0127208600241819
Nigeria,NGA,n_age_49_55,52,ppy,0.184789633040954,0.0101865670621619
Nigeria,NGA,n_age_56_62,59,ppy,0.206087240586738,0.0138361246411415
Nigeria,NGA,n_age_63_69,66,ppy,0.222879057081996,0.0125321501834045
Nigeria,NGA,n_age_70_76,73,ppy,0.246497140169892,0.0147130195167171
Nigeria,NGA,n_age_77_83,80,ppy,0.283412341146366,0.0191355816822856
Nigeria,NGA,n_age_84_90,87,ppy,0.301033545539571,0.0197923442444351
Nigeria,NGA,n_age_91_97,94,ppy,0.333429820985457,0.0192624472930139
Nigeria,NGA,n_age_98_104,101,ppy,0.362798559522206,0.0195851224784504
Nigeria,NGA,n_age_105_111,108,ppy,0.398574252797513,0.0207475679710575
Nigeria,NGA,n_age_112_118,115,ppy,0.431315499637905,0.0262908403247355
Nigeria,NGA,n_age_119_125,122,ppy,0.469084032515798,0.0265575178255062
Nigeria,NGA,n_age_126_132,129,ppy,0.493510278244815,0.0252889700783592
Nigeria,NGA,n_age_133_139,136,ppy,0.534052841354149,0.0340395504238104
Nigeria,NGA,n_age_140_146,143,ppy,0.555455592691356,0.0311488355189487
Nigeria,NGA,n_age_147_153,150,ppy,0.58385262008381,0.0338273848938862
Nigeria,NGA,n_age_154_160,157,ppy,0.632477610101446,0.0363200381176681
Nigeria,NGA,n_age_161_167,164,ppy,0.645828927901057,0.0368904081341168
