Country,Iso code,Age group,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
Nigeria,NGA,0-30mo,Abia,raw cases,6,74906.2256625578,4993.62221269461,362.093738839149,24.1389727135676,7508.98865722991,586.210391390105,36.2981548429054,2.83371789844304,67397.2370053278,4407.41182130451,325.795583996243,21.3052548151245,10.0245187777273,11.7391818287707,PMC co-delivery with EPI only
Nigeria,NGA,0-30mo,Adamawa,raw cases,6,81716.8932910016,5319.54062326683,379.81714528156,24.7250311700357,5189.39527811419,378.569480658,24.1201203434392,1.75957716505699,76527.4980128874,4940.97114260883,355.697024938121,22.9654540049787,6.35045590834476,7.11658219136813,PMC co-delivery with EPI only
Nigeria,NGA,0-30mo,Akwa_Ibom,raw cases,6,135452.809928489,8079.79722406562,445.082829759674,26.5493127405039,9758.99026000945,678.41921442563,32.0669538181988,2.22920989146927,125693.81966848,7401.37800963999,413.015875941476,24.3201028490347,7.20471599309133,8.39648812478813,PMC co-delivery with EPI only
Nigeria,NGA,0-30mo,Anambra,raw cases,6,73785.5584857607,5055.20739012417,247.108534810405,16.9299374697744,6531.577336773,496.861806754158,21.8743144161781,1.6639949007632,67253.9811489877,4558.34558337001,225.234220394227,15.2659425690112,8.8521080151931,9.82871262066964,PMC co-delivery with EPI only
Nigeria,NGA,0-30mo,Bauchi,raw cases,6,156779.693672194,10216.431025474,474.294657971108,30.9070552787539,5412.13066318998,391.797992347352,16.3729409189929,1.18527910357254,151367.563009004,9824.63303312661,457.921717052115,29.7217761751813,3.45206100128378,3.8349790780208,PMC co-delivery with EPI only
Nigeria,NGA,0-30mo,Bayelsa,raw cases,6,72566.4018678769,4032.59298542055,578.60695893892,32.1538109079856,4869.28833788581,313.823881994218,38.8251869303174,2.50226933304049,67697.1135299911,3718.76910342633,539.781772008602,29.6515415749451,6.71011406456589,7.78218588210658,PMC co-delivery with EPI only
Nigeria,NGA,0-30mo,Benue,raw cases,6,108219.632860722,6796.42469441913,369.248484570942,23.1895955713007,7551.51340664107,495.583857906834,25.7659798680707,1.69094630680767,100668.119454081,6300.8408365123,343.482504702872,21.498649264493,6.97795141881491,7.29183181141964,PMC co-delivery with EPI only
Nigeria,NGA,0-30mo,Borno,raw cases,6,392482.917707228,18190.8924170491,1287.63511713543,59.6796212814989,16544.5541752934,885.168919451138,54.2784105812946,2.90401068138287,375938.363531934,17305.723497598,1233.35670655413,56.775610600116,4.21535649804633,4.86600051914729,PMC co-delivery with EPI only
Nigeria,NGA,0-30mo,Cross_River,raw cases,6,104441.822332892,5837.35523038506,527.056094951157,29.4576787712802,7998.34279097698,533.239094768872,40.3629046614732,2.69094227471805,96443.4795419154,5304.11613561619,486.693190289683,26.7667364965621,7.65818003968132,9.13494337286882,PMC co-delivery with EPI only
Nigeria,NGA,0-30mo,Delta,raw cases,6,102509.826685815,6698.02069285592,332.98249021924,21.7571688681412,7647.4794758232,564.838105107148,24.8412941674841,1.83476262608218,94862.3472099919,6133.18258774878,308.141196051756,19.922406242059,7.46024037213735,8.43291072106723,PMC co-delivery with EPI only
