Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,Scenario
Nigeria,NGA,n_age_0_6,3,6,raw cases,0.0786502684016754,0.00431857333930174,PMC co-delivery with EPI only
Nigeria,NGA,n_age_7_13,10,6,raw cases,0.0909879450986877,0.00601227060645354,PMC co-delivery with EPI only
Nigeria,NGA,n_age_14_20,17,6,raw cases,0.100210984594933,0.00687035631161218,PMC co-delivery with EPI only
Nigeria,NGA,n_age_21_27,24,6,raw cases,0.11481139215726,0.00632497348852986,PMC co-delivery with EPI only
Nigeria,NGA,n_age_28_34,31,6,raw cases,0.13100008968283,0.00839126961551476,PMC co-delivery with EPI only
Nigeria,NGA,n_age_35_41,38,6,raw cases,0.147519436236983,0.0108466629899446,PMC co-delivery with EPI only
Nigeria,NGA,n_age_42_48,45,6,raw cases,0.0597882631233239,0.00440589290839194,PMC co-delivery with EPI only
Nigeria,NGA,n_age_49_55,52,6,raw cases,0.0716489571515084,0.00377966141934904,PMC co-delivery with EPI only
Nigeria,NGA,n_age_56_62,59,6,raw cases,0.0937504769055997,0.00633606794028345,PMC co-delivery with EPI only
Nigeria,NGA,n_age_63_69,66,6,raw cases,0.12513206541683,0.00692971061609277,PMC co-delivery with EPI only
Nigeria,NGA,n_age_70_76,73,6,raw cases,0.107932130889679,0.00642865653144712,PMC co-delivery with EPI only
Nigeria,NGA,n_age_77_83,80,6,raw cases,0.131905805280814,0.00878106190735599,PMC co-delivery with EPI only
Nigeria,NGA,n_age_84_90,87,6,raw cases,0.160342313166681,0.0104047261296984,PMC co-delivery with EPI only
Nigeria,NGA,n_age_91_97,94,6,raw cases,0.208332604272305,0.0116137507519626,PMC co-delivery with EPI only
Nigeria,NGA,n_age_98_104,101,6,raw cases,0.20692846094804,0.0105839092999511,PMC co-delivery with EPI only
Nigeria,NGA,n_age_105_111,108,6,raw cases,0.237141550211677,0.0119460641029529,PMC co-delivery with EPI only
Nigeria,NGA,n_age_112_118,115,6,raw cases,0.278424242743212,0.0161130654833262,PMC co-delivery with EPI only
Nigeria,NGA,n_age_119_125,122,6,raw cases,0.336265134258349,0.0188728334524503,PMC co-delivery with EPI only
Nigeria,NGA,n_age_126_132,129,6,raw cases,0.398739255300066,0.0202177424110948,PMC co-delivery with EPI only
Nigeria,NGA,n_age_133_139,136,6,raw cases,0.478581486896509,0.0302769364894925,PMC co-delivery with EPI only
Nigeria,NGA,n_age_140_146,143,6,raw cases,0.518455228877216,0.0289702406954678,PMC co-delivery with EPI only
Nigeria,NGA,n_age_147_153,150,6,raw cases,0.554155271315274,0.0320364335736901,PMC co-delivery with EPI only
Nigeria,NGA,n_age_154_160,157,6,raw cases,0.615063568479099,0.0352631988405668,PMC co-delivery with EPI only
Nigeria,NGA,n_age_161_167,164,6,raw cases,0.641688051449847,0.0366380190898912,PMC co-delivery with EPI only
Nigeria,NGA,n_age_168_174,171,6,raw cases,0.679838522131851,0.0370296989022365,PMC co-delivery with EPI only
Nigeria,NGA,n_age_175_181,178,6,raw cases,0.698745660145604,0.035095095083176,PMC co-delivery with EPI only
Nigeria,NGA,n_age_182_188,185,6,raw cases,0.434589632784734,0.022997041175348,PMC co-delivery with EPI only
Nigeria,NGA,n_age_189_195,192,6,raw cases,0.465734157935202,0.027030114331558,PMC co-delivery with EPI only
Nigeria,NGA,n_age_196_202,199,6,raw cases,0.505607809493487,0.0263329883111885,PMC co-delivery with EPI only
Nigeria,NGA,n_age_203_209,206,6,raw cases,0.575285572444446,0.0295921534593501,PMC co-delivery with EPI only
Nigeria,NGA,n_age_210_216,213,6,raw cases,0.653436699004821,0.0377018554778276,PMC co-delivery with EPI only
Nigeria,NGA,n_age_217_223,220,6,raw cases,0.739575299119268,0.0404386182829896,PMC co-delivery with EPI only
Nigeria,NGA,n_age_224_230,227,6,raw cases,0.765669932444175,0.0403891068047633,PMC co-delivery with EPI only
Nigeria,NGA,n_age_231_237,234,6,raw cases,0.813712216434787,0.0460857288281356,PMC co-delivery with EPI only
Nigeria,NGA,n_age_238_244,241,6,raw cases,0.839768310610884,0.0465384486648785,PMC co-delivery with EPI only
Nigeria,NGA,n_age_245_251,248,6,raw cases,0.856655973887391,0.0477721878600379,PMC co-delivery with EPI only
Nigeria,NGA,n_age_252_258,255,6,raw cases,0.876117344920781,0.0477018504896053,PMC co-delivery with EPI only
Nigeria,NGA,n_age_259_265,262,6,raw cases,0.885625068935267,0.0476407334541021,PMC co-delivery with EPI only
