"Iso code","Scenario","N doses","Admin-1 unit","age","rural","urban","merged"
"SLE","PMC co-delivery with EPI only",6,"Eastern","0-1yr",35039.6311918055,21776.4883332561,56816.1195250616
"SLE","PMC co-delivery with EPI only",6,"Eastern","0-1yr",32818.9610052745,21216.7961568461,54035.7571621206
"SLE","PMC co-delivery with EPI only",6,"Eastern","0-1yr",29232.7023238729,18493.4454018249,47726.1477256978
"SLE","PMC co-delivery with EPI only",6,"Eastern","0-1yr",32195.9001154393,20363.6225590232,52559.5226744625
"SLE","PMC co-delivery with EPI only",6,"Eastern","0-1yr",29999.6496971262,17907.5950525961,47907.2447497223
"SLE","PMC co-delivery with EPI only",6,"Eastern","1-2yr",21427.5582312391,12615.6737989691,34043.2320302082
"SLE","PMC co-delivery with EPI only",6,"Northern","0-1yr",64028.6099672896,21811.5461776749,85840.1561449645
"SLE","PMC co-delivery with EPI only",6,"Northern","0-1yr",55444.0009261338,19865.9301958284,75309.9311219622
"SLE","PMC co-delivery with EPI only",6,"Northern","0-1yr",48195.0431129359,18477.40281284,66672.4459257759
"SLE","PMC co-delivery with EPI only",6,"Northern","0-1yr",54949.8725655274,18813.0100934367,73762.8826589641
"SLE","PMC co-delivery with EPI only",6,"Northern","0-1yr",50431.0684261161,18258.3746088151,68689.4430349312
"SLE","PMC co-delivery with EPI only",6,"Northern","1-2yr",32415.4029358745,12865.7774748102,45281.1804106847
"SLE","PMC co-delivery with EPI only",6,"Southern","0-1yr",41155.5616333516,18728.5069300374,59884.068563389
"SLE","PMC co-delivery with EPI only",6,"Southern","0-1yr",38058.6911083842,17176.9971535677,55235.6882619519
"SLE","PMC co-delivery with EPI only",6,"Southern","0-1yr",34266.6263037166,16977.872640099,51244.4989438156
"SLE","PMC co-delivery with EPI only",6,"Southern","0-1yr",38499.6934374789,18156.4467097371,56656.140147216
"SLE","PMC co-delivery with EPI only",6,"Southern","0-1yr",35856.3301827135,16878.9721657886,52735.302348502
"SLE","PMC co-delivery with EPI only",6,"Southern","1-2yr",23082.0338309861,12368.1280101778,35450.161841164
"SLE","PMC co-delivery with EPI only",6,"Western","0-1yr",2060.111466864,58198.5411087922,60258.6525756562
"SLE","PMC co-delivery with EPI only",6,"Western","0-1yr",1942.06156056973,50503.4933631329,52445.5549237027
"SLE","PMC co-delivery with EPI only",6,"Western","0-1yr",1935.74382288324,49066.3898664764,51002.1336893597
"SLE","PMC co-delivery with EPI only",6,"Western","0-1yr",1713.56930560568,50931.063502533,52644.6328081387
"SLE","PMC co-delivery with EPI only",6,"Western","0-1yr",1891.76098553333,46229.6978039764,48121.4587895097
"SLE","PMC co-delivery with EPI only",6,"Western","1-2yr",1770.6882824592,31229.5626110456,33000.2508935048
