"Country","Rurality","Iso code","Admin-1 unit","Age group","age_in_days_midpoint","infection_class","units","value","Scenario","doses"
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_0_6",3,"clinical","ppy",0.107313980252819,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_7_13",10,"clinical","ppy",0.137979763746115,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_14_20",17,"clinical","ppy",0.17461154332868,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_21_27",24,"clinical","ppy",0.187419861424877,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_28_34",31,"clinical","ppy",0.213554251580929,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_35_41",38,"clinical","ppy",0.265975120168467,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_42_48",45,"clinical","ppy",0.0504719020658119,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_49_55",52,"clinical","ppy",0.0642300182702767,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_56_62",59,"clinical","ppy",0.0822429889085149,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_63_69",66,"clinical","ppy",0.0978844444476464,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_70_76",73,"clinical","ppy",0.0504965081319738,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_77_83",80,"clinical","ppy",0.0647244066663065,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_84_90",87,"clinical","ppy",0.116904666465894,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_91_97",94,"clinical","ppy",0.0827788296931601,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_98_104",101,"clinical","ppy",0.0956600472406792,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_105_111",108,"clinical","ppy",0.140549454161634,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_112_118",115,"clinical","ppy",0.214831319168357,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_119_125",122,"clinical","ppy",0.374243240852359,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_126_132",129,"clinical","ppy",0.639554223296804,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_133_139",136,"clinical","ppy",0.848168629132596,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_140_146",143,"clinical","ppy",1.11638143052991,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_147_153",150,"clinical","ppy",1.32532115092732,"PMC co-delivery with EPI only",6
