"Iso code","Admin-1 unit","Rurality","Age group","age_in_days_midpoint","infection_class","units","value"
"SLE","Eastern","rural/urban merged","n_age_0_6",3,"clinical","ppy",0.0929713378221294
"SLE","Eastern","rural/urban merged","n_age_7_13",10,"clinical","ppy",0.14703928091489
"SLE","Eastern","rural/urban merged","n_age_14_20",17,"clinical","ppy",0.132252320350561
"SLE","Eastern","rural/urban merged","n_age_21_27",24,"clinical","ppy",0.166466640944422
"SLE","Eastern","rural/urban merged","n_age_28_34",31,"clinical","ppy",0.225792470762519
"SLE","Eastern","rural/urban merged","n_age_35_41",38,"clinical","ppy",0.238187521548631
"SLE","Eastern","rural/urban merged","n_age_42_48",45,"clinical","ppy",0.273854430774454
"SLE","Eastern","rural/urban merged","n_age_49_55",52,"clinical","ppy",0.346828738692496
"SLE","Eastern","rural/urban merged","n_age_56_62",59,"clinical","ppy",0.355958924833049
"SLE","Eastern","rural/urban merged","n_age_63_69",66,"clinical","ppy",0.456104135393343
"SLE","Eastern","rural/urban merged","n_age_70_76",73,"clinical","ppy",0.571448197866566
"SLE","Eastern","rural/urban merged","n_age_77_83",80,"clinical","ppy",0.583702221205422
"SLE","Eastern","rural/urban merged","n_age_84_90",87,"clinical","ppy",0.712448412187786
"SLE","Eastern","rural/urban merged","n_age_91_97",94,"clinical","ppy",0.716154587008082
"SLE","Eastern","rural/urban merged","n_age_98_104",101,"clinical","ppy",0.737927844407912
"SLE","Eastern","rural/urban merged","n_age_105_111",108,"clinical","ppy",0.910880588061426
"SLE","Eastern","rural/urban merged","n_age_112_118",115,"clinical","ppy",1.0472576415015
"SLE","Eastern","rural/urban merged","n_age_119_125",122,"clinical","ppy",1.1255928240012
"SLE","Eastern","rural/urban merged","n_age_126_132",129,"clinical","ppy",1.20436160257227
"SLE","Eastern","rural/urban merged","n_age_133_139",136,"clinical","ppy",1.32657706185075
"SLE","Eastern","rural/urban merged","n_age_140_146",143,"clinical","ppy",1.37673447612779
"SLE","Eastern","rural/urban merged","n_age_147_153",150,"clinical","ppy",1.48602321731465
"SLE","Eastern","rural/urban merged","n_age_154_160",157,"clinical","ppy",1.52864354435267
"SLE","Eastern","rural/urban merged","n_age_161_167",164,"clinical","ppy",1.6419492147591
"SLE","Eastern","rural/urban merged","n_age_168_174",171,"clinical","ppy",1.87346193128302
"SLE","Eastern","rural/urban merged","n_age_175_181",178,"clinical","ppy",1.85023592900836
"SLE","Eastern","rural/urban merged","n_age_182_188",185,"clinical","ppy",1.9256041063446
"SLE","Eastern","rural/urban merged","n_age_189_195",192,"clinical","ppy",2.14083319553774
"SLE","Eastern","rural/urban merged","n_age_196_202",199,"clinical","ppy",2.03142625938255
"SLE","Eastern","rural/urban merged","n_age_203_209",206,"clinical","ppy",2.18761404306949
"SLE","Eastern","rural/urban merged","n_age_210_216",213,"clinical","ppy",2.17598781897602
"SLE","Eastern","rural/urban merged","n_age_217_223",220,"clinical","ppy",2.26301729205246
"SLE","Eastern","rural/urban merged","n_age_224_230",227,"clinical","ppy",2.27779037048546
"SLE","Eastern","rural/urban merged","n_age_231_237",234,"clinical","ppy",2.4010451969641
"SLE","Eastern","rural/urban merged","n_age_238_244",241,"clinical","ppy",2.46411934082934
"SLE","Eastern","rural/urban merged","n_age_245_251",248,"clinical","ppy",2.44365267990062
"SLE","Eastern","rural/urban merged","n_age_252_258",255,"clinical","ppy",2.56400033768339
"SLE","Eastern","rural/urban merged","n_age_259_265",262,"clinical","ppy",2.54902325176207
"SLE","Eastern","rural/urban merged","n_age_266_272",269,"clinical","ppy",2.56442701279814
"SLE","Eastern","rural/urban merged","n_age_273_279",276,"clinical","ppy",2.57979393961444
