"Country","Iso code","Age group","age_in_days_midpoint","units","clinical","severe"
"Sierra Leone","SLE","n_age_0_6",3,"ppy",0.10894218916714,0.00891536949582316
"Sierra Leone","SLE","n_age_7_13",10,"ppy",0.154038971445287,0.0085059745758062
"Sierra Leone","SLE","n_age_14_20",17,"ppy",0.159876962880841,0.00874468077259318
"Sierra Leone","SLE","n_age_21_27",24,"ppy",0.194404635386687,0.00695587719197118
"Sierra Leone","SLE","n_age_28_34",31,"ppy",0.218288317299523,0.0155929505293527
"Sierra Leone","SLE","n_age_35_41",38,"ppy",0.261112758880929,0.0154579336215564
"Sierra Leone","SLE","n_age_42_48",45,"ppy",0.301568685589128,0.0195009098547627
"Sierra Leone","SLE","n_age_49_55",52,"ppy",0.352713885829748,0.02514060469726
"Sierra Leone","SLE","n_age_56_62",59,"ppy",0.400551804999035,0.0270597536864702
"Sierra Leone","SLE","n_age_63_69",66,"ppy",0.490057386379906,0.0343337405196186
"Sierra Leone","SLE","n_age_70_76",73,"ppy",0.528061491960761,0.0321271941741557
"Sierra Leone","SLE","n_age_77_83",80,"ppy",0.611148634229259,0.0342284194230111
"Sierra Leone","SLE","n_age_84_90",87,"ppy",0.695842816959133,0.0295228601390864
"Sierra Leone","SLE","n_age_91_97",94,"ppy",0.75574234274478,0.0293706722627525
"Sierra Leone","SLE","n_age_98_104",101,"ppy",0.8765996732186,0.0436455813708227
"Sierra Leone","SLE","n_age_105_111",108,"ppy",0.970122072299541,0.0408114734580827
"Sierra Leone","SLE","n_age_112_118",115,"ppy",1.09553093915638,0.0482627633730376
"Sierra Leone","SLE","n_age_119_125",122,"ppy",1.13872557561832,0.0544985752506054
"Sierra Leone","SLE","n_age_126_132",129,"ppy",1.28631460364805,0.0519826610570931
"Sierra Leone","SLE","n_age_133_139",136,"ppy",1.38831492239323,0.0655805862362263
"Sierra Leone","SLE","n_age_140_146",143,"ppy",1.49386228024662,0.0647793919406498
"Sierra Leone","SLE","n_age_147_153",150,"ppy",1.57670126526763,0.0719969544332459
"Sierra Leone","SLE","n_age_154_160",157,"ppy",1.71998413228077,0.0799480590309669
"Sierra Leone","SLE","n_age_161_167",164,"ppy",1.80834955613199,0.078558616758341
"Sierra Leone","SLE","n_age_168_174",171,"ppy",1.98268375681356,0.0835086904844018
"Sierra Leone","SLE","n_age_175_181",178,"ppy",1.99527348619318,0.0901183272757191
"Sierra Leone","SLE","n_age_182_188",185,"ppy",2.06118446352752,0.0893757963364423
"Sierra Leone","SLE","n_age_189_195",192,"ppy",2.22769337726002,0.10039861277237
"Sierra Leone","SLE","n_age_196_202",199,"ppy",2.29219147375418,0.1018273088149
"Sierra Leone","SLE","n_age_203_209",206,"ppy",2.39277207968662,0.0963656215012699
"Sierra Leone","SLE","n_age_210_216",213,"ppy",2.36612672291139,0.112211294137783
"Sierra Leone","SLE","n_age_217_223",220,"ppy",2.51367307158409,0.110252786165847
"Sierra Leone","SLE","n_age_224_230",227,"ppy",2.48915148768641,0.1101773195853
"Sierra Leone","SLE","n_age_231_237",234,"ppy",2.52350957831981,0.0861509302368029
"Sierra Leone","SLE","n_age_238_244",241,"ppy",2.59317697855573,0.108302576730254
"Sierra Leone","SLE","n_age_245_251",248,"ppy",2.70180355272032,0.121933230545907
"Sierra Leone","SLE","n_age_252_258",255,"ppy",2.65625092471377,0.0946385731339643
"Sierra Leone","SLE","n_age_259_265",262,"ppy",2.78721320897116,0.100867120239315
"Sierra Leone","SLE","n_age_266_272",269,"ppy",2.76940395030656,0.104654090780088
"Sierra Leone","SLE","n_age_273_279",276,"ppy",2.82731043332478,0.104191442203131
"Sierra Leone","SLE","n_age_280_286",283,"ppy",2.82221505108426,0.12103526818151
"Sierra Leone","SLE","n_age_287_293",290,"ppy",2.81954142529184,0.111969701298261
"Sierra Leone","SLE","n_age_294_300",297,"ppy",2.79199404886218,0.107428350989747
"Sierra Leone","SLE","n_age_301_307",304,"ppy",2.82456082461193,0.0961898846281274
"Sierra Leone","SLE","n_age_308_314",311,"ppy",2.87482062355485,0.102485067577573
"Sierra Leone","SLE","n_age_315_321",318,"ppy",2.93446875808159,0.105927546648518
"Sierra Leone","SLE","n_age_322_328",325,"ppy",2.94063239225787,0.104254834064855
"Sierra Leone","SLE","n_age_329_335",332,"ppy",2.89663611750027,0.0979079969676867
"Sierra Leone","SLE","n_age_336_342",339,"ppy",2.87614690980728,0.107143221500429
"Sierra Leone","SLE","n_age_343_349",346,"ppy",2.91150690566475,0.0967585781929622
"Sierra Leone","SLE","n_age_350_356",353,"ppy",2.90066122227389,0.0995669015919936
"Sierra Leone","SLE","n_age_357_363",360,"ppy",2.93315328915491,0.108421854632331
"Sierra Leone","SLE","n_age_364_370",367,"ppy",2.94518325500131,0.105104680614571
"Sierra Leone","SLE","n_age_371_377",374,"ppy",2.89489047422664,0.0896249876753578
"Sierra Leone","SLE","n_age_378_384",381,"ppy",2.99129380478041,0.107981825181837
"Sierra Leone","SLE","n_age_385_391",388,"ppy",2.91661438294168,0.110037763000893
"Sierra Leone","SLE","n_age_392_398",395,"ppy",2.88542879066972,0.0901925286036066
"Sierra Leone","SLE","n_age_399_405",402,"ppy",2.89506444473701,0.0938112551950652
"Sierra Leone","SLE","n_age_406_412",409,"ppy",2.92017776645592,0.0970925342886729
"Sierra Leone","SLE","n_age_413_419",416,"ppy",2.94781130284328,0.0866759430900459
"Sierra Leone","SLE","n_age_420_426",423,"ppy",2.87918787749083,0.0923311356514869
"Sierra Leone","SLE","n_age_427_433",430,"ppy",2.97637479803744,0.0949925468569321
"Sierra Leone","SLE","n_age_434_440",437,"ppy",2.84644590373559,0.081659598620499
