"Country","Iso code","Age group","age_in_days_midpoint","Admin-1 unit","units","N doses","clinical_cases_no_PMC","severe_cases_no_PMC","clinical_cases_no_PMC_per1000","severe_cases_no_PMC_per1000","clinical_cases_averted_with_PMC","severe_cases_averted_with_PMC","clinical_cases_averted_with_PMC_per1000","severe_cases_averted_with_PMC_per1000","clinical_cases_with_PMC","severe_cases_with_PMC","clinical_cases_with_PMC_per1000","severe_cases_with_PMC_per1000"
"Sierra Leone","SLE","n_age_0_6",3,"Eastern","raw cases",6,51.9244961994557,6.00752318132998,92.9713378221294,10.7565312722583,-8.01036641859778,1.64780652588389,-14.3426424306896,2.950414320728,59.9348626180535,4.35971665544608,107.313980252819,7.8061169515303
"Sierra Leone","SLE","n_age_7_13",10,"Eastern","raw cases",6,95.7253077778862,4.1378979711313,147.03928091489,6.35603641605512,5.89791424375913,-1.44465177466635,9.05951716877499,-2.21906372567895,89.8273935341271,5.58254974579766,137.979763746115,8.57510014173407
"Sierra Leone","SLE","n_age_14_20",17,"Eastern","raw cases",6,86.0208017305494,6.34620118213412,132.252320350561,9.75694035470309,-27.5516853814161,-0.207163038221028,-42.359222978119,-0.31850194306981,113.572487111965,6.55336422035515,174.61154332868,10.0754422977729
"Sierra Leone","SLE","n_age_21_27",24,"Eastern","raw cases",6,108.181706042521,4.49998539143907,166.466640944422,6.92443741012365,-13.6168731813211,-5.65465334600095,-20.953220480455,-8.70120450720135,121.798579223842,10.15463873744,187.419861424877,15.625641917325
"Sierra Leone","SLE","n_age_28_34",31,"Eastern","raw cases",6,146.605095836398,9.82550848125814,225.792470762519,15.1326652312079,7.94616972800171,2.05987111062369,12.23821918159,3.1724912757404,138.658926108396,7.76563737063445,213.554251580929,11.9601739554675
"Sierra Leone","SLE","n_age_35_41",38,"Eastern","raw cases",6,154.512068967495,9.11115174633173,238.187521548631,14.04526304912,-18.0257946615921,1.74406879035782,-27.787598619836,2.688562941145,172.537863629087,7.36708295597391,265.975120168467,11.356700107975
"Sierra Leone","SLE","n_age_42_48",45,"Eastern","raw cases",6,177.507007192318,1.48024742664332,273.854430774454,2.28369754434291,144.792121924003,-1.09051801483715,223.382528708642,-1.68243042867008,32.7148852683153,2.57076544148047,50.4719020658119,3.96612797301299
"Sierra Leone","SLE","n_age_49_55",52,"Eastern","raw cases",6,224.617012287842,14.1478026586439,346.828738692496,21.8454715490551,183.019666988685,11.1728370757169,282.598720422219,17.251858846835,41.5973452991577,2.97496558292703,64.2300182702767,4.59361270222013
"Sierra Leone","SLE","n_age_56_62",59,"Eastern","raw cases",6,230.304381825824,22.0726695572578,355.958924833049,34.115563331916,177.093408877281,18.0676800320878,273.715935924534,27.9254433088184,53.2109729485424,4.00498952517002,82.2429889085149,6.19012002309759
"Sierra Leone","SLE","n_age_63_69",66,"Eastern","raw cases",6,294.841146153013,19.1361995532507,456.104135393343,29.6027195180563,231.565329180632,15.1303549843745,358.219690945697,23.4058833659569,63.2758169723804,4.0058445688762,97.8844444476464,6.19683615209935
"Sierra Leone","SLE","n_age_70_76",73,"Eastern","raw cases",6,369.066215209498,18.0996507398193,571.448197866566,28.0248160656289,336.453363848446,16.7997846068828,520.951689734592,26.0121524065815,32.6128513610518,1.29986613293645,50.4965081319738,2.01266365904738
