Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,Scenario
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_0_6,3,clinical,ppy,0.0514690464628743,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_7_13,10,clinical,ppy,0.0672457007865018,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_14_20,17,clinical,ppy,0.135266287307706,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_21_27,24,clinical,ppy,0.1076899839416,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_28_34,31,clinical,ppy,0.0937762237054169,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_35_41,38,clinical,ppy,0.15953289150971,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_42_48,45,clinical,ppy,0.0322118543719098,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_49_55,52,clinical,ppy,0.0465102450212857,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_56_62,59,clinical,ppy,0.0736793342444884,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_63_69,66,clinical,ppy,0.127773948611085,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_70_76,73,clinical,ppy,0.0579362546574816,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_77_83,80,clinical,ppy,0.0802788940609096,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_84_90,87,clinical,ppy,0.112757045016734,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_91_97,94,clinical,ppy,0.207049425306728,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_98_104,101,clinical,ppy,0.0334072792190746,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_105_111,108,clinical,ppy,0.0580649973694329,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_112_118,115,clinical,ppy,0.15111255925112899,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_119_125,122,clinical,ppy,0.22499223709343,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_126_132,129,clinical,ppy,0.299515390715209,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_133_139,136,clinical,ppy,0.334428744424334,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_140_146,143,clinical,ppy,0.386290696755539,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_147_153,150,clinical,ppy,0.469761183218238,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_154_160,157,clinical,ppy,0.456313276932364,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_161_167,164,clinical,ppy,0.50819226754518,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_168_174,171,clinical,ppy,0.492708351175434,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_175_181,178,clinical,ppy,0.536581459774412,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_182_188,185,clinical,ppy,0.524610734257261,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_189_195,192,clinical,ppy,0.486701617191323,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_196_202,199,clinical,ppy,0.536179892950309,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_203_209,206,clinical,ppy,0.471716587388456,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_210_216,213,clinical,ppy,0.625531891313255,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_217_223,220,clinical,ppy,0.582131135081834,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_224_230,227,clinical,ppy,0.542159269887053,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_231_237,234,clinical,ppy,0.481783837642816,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_238_244,241,clinical,ppy,0.566120663534471,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_245_251,248,clinical,ppy,0.631909586385729,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_252_258,255,clinical,ppy,0.663390412558518,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_259_265,262,clinical,ppy,0.673720070896028,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_266_272,269,clinical,ppy,0.596617226515805,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_273_279,276,clinical,ppy,0.35543496475834,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_280_286,283,clinical,ppy,0.419628092009058,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_287_293,290,clinical,ppy,0.452839693165544,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_294_300,297,clinical,ppy,0.50956680584648,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_301_307,304,clinical,ppy,0.567106634928458,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_308_314,311,clinical,ppy,0.555493805953144,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_315_321,318,clinical,ppy,0.605586440439051,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_322_328,325,clinical,ppy,0.629186650640283,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_329_335,332,clinical,ppy,0.668711175837071,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_336_342,339,clinical,ppy,0.6699205321989,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_343_349,346,clinical,ppy,0.724989474020133,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_350_356,353,clinical,ppy,0.746593457977025,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_357_363,360,clinical,ppy,0.750811722651621,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_364_370,367,clinical,ppy,0.679962319035179,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_371_377,374,clinical,ppy,0.714286388514436,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_378_384,381,clinical,ppy,0.681230122226312,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_385_391,388,clinical,ppy,0.69249662348969,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_392_398,395,clinical,ppy,0.729963936412072,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_399_405,402,clinical,ppy,0.734038272776214,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_406_412,409,clinical,ppy,0.723712676478366,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_413_419,416,clinical,ppy,0.739228562900849,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_420_426,423,clinical,ppy,0.713812568927775,6,PMC co-delivery with EPI only
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_427_433,430,clinical,ppy,0.76767846071741,6,PMC co-delivery with EPI only
