Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_0_6,3,clinical,ppy,0.0514690464628743
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_7_13,10,clinical,ppy,0.0672457007865018
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_14_20,17,clinical,ppy,0.135266287307706
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_21_27,24,clinical,ppy,0.1076899839416
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_28_34,31,clinical,ppy,0.0937762237054169
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_35_41,38,clinical,ppy,0.15953289150971
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_42_48,45,clinical,ppy,0.15584098770452
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_49_55,52,clinical,ppy,0.154301291388445
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_56_62,59,clinical,ppy,0.147554012852271
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_63_69,66,clinical,ppy,0.194633700582853
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_70_76,73,clinical,ppy,0.254130226952491
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_77_83,80,clinical,ppy,0.250682396783149
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_84_90,87,clinical,ppy,0.21990062095317
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_91_97,94,clinical,ppy,0.311050249483105
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_98_104,101,clinical,ppy,0.320026827019104
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_105_111,108,clinical,ppy,0.275207296894229
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_112_118,115,clinical,ppy,0.347826727813213
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_119_125,122,clinical,ppy,0.367643472043096
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_126_132,129,clinical,ppy,0.404353598174322
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_133_139,136,clinical,ppy,0.407478742753548
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_140_146,143,clinical,ppy,0.450738534180933
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_147_153,150,clinical,ppy,0.52933750432466
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_154_160,157,clinical,ppy,0.486226721358251
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_161_167,164,clinical,ppy,0.515626891565485
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_168_174,171,clinical,ppy,0.493003984242488
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_175_181,178,clinical,ppy,0.536581958980536
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_182_188,185,clinical,ppy,0.617661784409163
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_189_195,192,clinical,ppy,0.568152099293756
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_196_202,199,clinical,ppy,0.594354060355895
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_203_209,206,clinical,ppy,0.506258929139948
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_210_216,213,clinical,ppy,0.654941938950565
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_217_223,220,clinical,ppy,0.601063705924986
South Sudan,rural/urban merged,SSD,Central_Equatoria,n_age_224_230,227,clinical,ppy,0.556052339641501
