Country,Iso code,Age group,age_in_days_midpoint,units,clinical,severe
South Sudan,SSD,n_age_0_6,3,ppy,0.045736030508657,0.00543095225992346
South Sudan,SSD,n_age_7_13,10,ppy,0.0616600156200047,0.00419546106892115
South Sudan,SSD,n_age_14_20,17,ppy,0.0737071827010846,0.00741998180651754
South Sudan,SSD,n_age_21_27,24,ppy,0.0853022536485532,0.00645438165393028
South Sudan,SSD,n_age_28_34,31,ppy,0.10396003806104,0.00511939362466507
South Sudan,SSD,n_age_35_41,38,ppy,0.121659990451594,0.00548904705481609
South Sudan,SSD,n_age_42_48,45,ppy,0.135104028994278,0.0138439673518224
South Sudan,SSD,n_age_49_55,52,ppy,0.141527128419872,0.0087913051085282
South Sudan,SSD,n_age_56_62,59,ppy,0.174663263026182,0.0140289753457966
South Sudan,SSD,n_age_63_69,66,ppy,0.171168066430857,0.0106183798957102
South Sudan,SSD,n_age_70_76,73,ppy,0.212344539772818,0.0131725149474997
South Sudan,SSD,n_age_77_83,80,ppy,0.239721590713213,0.015229794765334
South Sudan,SSD,n_age_84_90,87,ppy,0.230520492296527,0.0130385029506271
South Sudan,SSD,n_age_91_97,94,ppy,0.266034018412862,0.01420821935395
South Sudan,SSD,n_age_98_104,101,ppy,0.29357297861755,0.0165370681164554
South Sudan,SSD,n_age_105_111,108,ppy,0.302876114081214,0.018863292738991
South Sudan,SSD,n_age_112_118,115,ppy,0.33002239555728,0.0211138862475942
South Sudan,SSD,n_age_119_125,122,ppy,0.358804531251701,0.0202594663987876
South Sudan,SSD,n_age_126_132,129,ppy,0.385891820604931,0.0243446287835781
South Sudan,SSD,n_age_133_139,136,ppy,0.420313909201283,0.0219331915317717
South Sudan,SSD,n_age_140_146,143,ppy,0.417466687674944,0.0276866522539312
South Sudan,SSD,n_age_147_153,150,ppy,0.471321493804363,0.0314875260615255
South Sudan,SSD,n_age_154_160,157,ppy,0.485805084315911,0.0298283803578548
South Sudan,SSD,n_age_161_167,164,ppy,0.470869007146388,0.0292774124578977
South Sudan,SSD,n_age_168_174,171,ppy,0.51398358799964,0.0327994186937153
South Sudan,SSD,n_age_175_181,178,ppy,0.527220208630624,0.0239765113418278
South Sudan,SSD,n_age_182_188,185,ppy,0.515456650472905,0.029399509160874
South Sudan,SSD,n_age_189_195,192,ppy,0.546630602358331,0.0297112236962081
South Sudan,SSD,n_age_196_202,199,ppy,0.55835160400058,0.0368908713533322
South Sudan,SSD,n_age_203_209,206,ppy,0.568473702232856,0.0291303422192029
South Sudan,SSD,n_age_210_216,213,ppy,0.59515787057454,0.0310645655601707
South Sudan,SSD,n_age_217_223,220,ppy,0.577442172728516,0.0300689557234661
South Sudan,SSD,n_age_224_230,227,ppy,0.575769641710571,0.0438777598596541
South Sudan,SSD,n_age_231_237,234,ppy,0.60058905329225,0.0279713546887701
South Sudan,SSD,n_age_238_244,241,ppy,0.613494933857346,0.0376566549550767
South Sudan,SSD,n_age_245_251,248,ppy,0.607478240316586,0.0344472264248218
South Sudan,SSD,n_age_252_258,255,ppy,0.653946328735947,0.0414551234543831
South Sudan,SSD,n_age_259_265,262,ppy,0.619111007808052,0.0374746164588656
South Sudan,SSD,n_age_266_272,269,ppy,0.629139107479939,0.0296999323408348
South Sudan,SSD,n_age_273_279,276,ppy,0.616166268765707,0.0346521754086848
South Sudan,SSD,n_age_280_286,283,ppy,0.664638837487988,0.0440164464157384
South Sudan,SSD,n_age_287_293,290,ppy,0.692599737938208,0.0463046513678743
South Sudan,SSD,n_age_294_300,297,ppy,0.680389947115471,0.0428491670019093
South Sudan,SSD,n_age_301_307,304,ppy,0.645804499061481,0.0377589078004833
South Sudan,SSD,n_age_308_314,311,ppy,0.673052684451496,0.0296144910369522
South Sudan,SSD,n_age_315_321,318,ppy,0.677034895026133,0.0316447088149719
South Sudan,SSD,n_age_322_328,325,ppy,0.671399797781097,0.0348359084073166
South Sudan,SSD,n_age_329_335,332,ppy,0.698443778303235,0.0406676906296801
South Sudan,SSD,n_age_336_342,339,ppy,0.67916481588078,0.0423176179110827
South Sudan,SSD,n_age_343_349,346,ppy,0.674849368970227,0.0284199659405635
South Sudan,SSD,n_age_350_356,353,ppy,0.74006085540653,0.0360286655842578
South Sudan,SSD,n_age_357_363,360,ppy,0.716952356976276,0.0380858665531005
South Sudan,SSD,n_age_364_370,367,ppy,0.68216593419066,0.0336018882299728
South Sudan,SSD,n_age_371_377,374,ppy,0.689321469610293,0.0363317605924013
South Sudan,SSD,n_age_378_384,381,ppy,0.71223300261085,0.0384454711798952
South Sudan,SSD,n_age_385_391,388,ppy,0.699325756820005,0.0361468009478258
South Sudan,SSD,n_age_392_398,395,ppy,0.743018480552023,0.0295253512600333
South Sudan,SSD,n_age_399_405,402,ppy,0.700373131853922,0.0319298892557618
South Sudan,SSD,n_age_406_412,409,ppy,0.713302327157654,0.0395285041932981
South Sudan,SSD,n_age_413_419,416,ppy,0.736156996282699,0.029942511021014
South Sudan,SSD,n_age_420_426,423,ppy,0.745260525616885,0.0327413291868802
South Sudan,SSD,n_age_427_433,430,ppy,0.745820982660898,0.0516940257218748
South Sudan,SSD,n_age_434_440,437,ppy,0.756987838592813,0.0404731885663734
South Sudan,SSD,n_age_441_447,444,ppy,0.731907602349005,0.0460892563900722
South Sudan,SSD,n_age_448_454,451,ppy,0.711371187510109,0.0354827515255015
South Sudan,SSD,n_age_455_461,458,ppy,0.759213289447032,0.0353717605768923
South Sudan,SSD,n_age_462_468,465,ppy,0.783959279800331,0.0355562003774898
South Sudan,SSD,n_age_469_475,472,ppy,0.761501113201052,0.0346591304253847
South Sudan,SSD,n_age_476_482,479,ppy,0.711636170964257,0.0295473363164182
South Sudan,SSD,n_age_483_489,486,ppy,0.788875427309726,0.0331364984408019
South Sudan,SSD,n_age_490_496,493,ppy,0.730702479099872,0.0386547505920346
South Sudan,SSD,n_age_497_503,500,ppy,0.773145003390435,0.0258369312827516
South Sudan,SSD,n_age_504_510,507,ppy,0.737867522566247,0.0380916896893998
South Sudan,SSD,n_age_511_517,514,ppy,0.749207316889771,0.0429730767623221
South Sudan,SSD,n_age_518_524,521,ppy,0.766700430274135,0.0388850056169626
South Sudan,SSD,n_age_525_531,528,ppy,0.747672859153403,0.0425870595793412
South Sudan,SSD,n_age_532_538,535,ppy,0.806026340661988,0.0358756145353507
South Sudan,SSD,n_age_539_545,542,ppy,0.738363242005746,0.033563683134608
South Sudan,SSD,n_age_546_552,549,ppy,0.791190923689572,0.0291533920943331
South Sudan,SSD,n_age_553_559,556,ppy,0.828793035276357,0.0386453952914843
South Sudan,SSD,n_age_560_566,563,ppy,0.793183964104751,0.0480210694837354
South Sudan,SSD,n_age_567_573,570,ppy,0.776207515400579,0.038417516758222
South Sudan,SSD,n_age_574_580,577,ppy,0.798689980209443,0.0324371670272667
South Sudan,SSD,n_age_581_587,584,ppy,0.757016631392161,0.0270844538167127
South Sudan,SSD,n_age_588_594,591,ppy,0.82820804579801,0.0282827242630198
South Sudan,SSD,n_age_595_601,598,ppy,0.777089379304167,0.0319356366118201
South Sudan,SSD,n_age_602_608,605,ppy,0.76510663977073,0.0312039425865273
South Sudan,SSD,n_age_609_615,612,ppy,0.815239456397525,0.0362968429836385
South Sudan,SSD,n_age_616_622,619,ppy,0.823571029542466,0.0387009108656454
South Sudan,SSD,n_age_623_629,626,ppy,0.816982927802377,0.0345596059335883
