Country,Iso code,Age group,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
South Sudan,SSD,0-30mo,Central_Equatoria,raw cases,6,35851.0603528259,1880.40034464325,672.692768209608,35.2829651544926,2304.2660204113,142.695766908778,43.2361852817453,2.6774775838978,33546.7943324146,1737.70457773447,629.456582927863,32.6054875705948,6.42733017582748,7.5885843839201,PMC co-delivery with EPI only
South Sudan,SSD,0-30mo,Eastern_Equatoria,raw cases,6,215818.672984912,8607.40315260945,1212.41371355582,48.354173788553,14748.4960331381,724.577507126604,82.8532517487506,4.0704897960141,201070.176951774,7882.82564548284,1129.56046180707,44.2836839925389,6.83374419328819,8.41807330596498,PMC co-delivery with EPI only
South Sudan,SSD,0-30mo,Jungoli,raw cases,6,7527.77523665,571.774017917066,131.875833441038,10.0166613351623,600.251306443315,60.0293788722629,10.5155426168796,1.05162868455282,6927.52393020668,511.744639044803,121.360290824159,8.96503265060948,7.97382078467101,10.4987944522114,PMC co-delivery with EPI only
South Sudan,SSD,0-30mo,Lakes,raw cases,6,4525.15314685238,385.516194115286,181.633475789754,15.4740942544903,328.256967958753,33.2406079583885,13.1757870082312,1.33423266901946,4196.89617889363,352.275586156898,168.457688781523,14.1398615854708,7.25405212389512,8.62236359089187,PMC co-delivery with EPI only
South Sudan,SSD,0-30mo,North_Bahr_al_Ghazal,raw cases,6,4531.41913261571,341.997396355203,190.180243387959,14.3533727897151,358.159790260523,29.6172862437427,15.0316962722025,1.2430151662167,4173.25934235519,312.38011011146,175.148547115756,13.1103576234984,7.90392104059858,8.66009114671208,PMC co-delivery with EPI only
South Sudan,SSD,0-30mo,Unity,raw cases,6,1994.42452104496,173.217123929083,75.5002686886377,6.55724960264062,157.188604299796,15.019623632313,5.95047931581215,0.568577856858531,1837.23591674517,158.19750029677,69.5497893728255,5.98867174578209,7.88140150911497,8.67098084278449,PMC co-delivery with EPI only
South Sudan,SSD,0-30mo,Upper_Nile,raw cases,6,4039.94971144228,335.652885584718,93.2200133979978,7.74503860844186,364.192425798656,36.8682924360722,8.4035755980437,0.850719182250656,3675.75728564362,298.784593148645,84.8164377999541,6.8943194261912,9.01477621781182,10.9840534729342,PMC co-delivery with EPI only
South Sudan,SSD,0-30mo,Warap,raw cases,6,3471.1243761882,246.929851623447,119.707928942927,8.51581733423447,291.413694225206,20.1601538826852,10.049922163727,0.695258944053497,3179.71068196299,226.769697740762,109.6580067792,7.82055839018097,8.3953688385324,8.16432430106837,PMC co-delivery with EPI only
South Sudan,SSD,0-30mo,West_Bahr_al_Ghazal,raw cases,6,3241.23878000458,227.743263183049,347.106685089574,24.3891963846116,260.438842088382,20.9830534456569,27.8905903827725,2.24709088682724,2980.7999379162,206.760209737392,319.216094706802,22.1421054977843,8.03516370639045,9.21346833815747,PMC co-delivery with EPI only
South Sudan,SSD,0-30mo,West_Equatoria,raw cases,6,26104.7953395375,1194.12492758073,996.558525861339,45.5860834013807,1674.08319396331,86.5013354813514,63.9086366411206,3.30221487091192,24430.7121455742,1107.62359209938,932.649889220219,42.2838685304688,6.41293360928134,7.24391003683351,PMC co-delivery with EPI only
