Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
South Sudan,SSD,0-6mo,91,Central_Equatoria,raw cases,6,3089.51616789114,208.462652322553,2201.21421641378,146.279040730778,286.043303067834,19.2764150062469,204.020983787623,13.5340321627672,888.301951477362,62.183611591775,82.0223192802104,5.74238284347975,28.7521379790579,29.8296173913967,PMC co-delivery with EPI only
South Sudan,SSD,6-12mo,273.5,Central_Equatoria,raw cases,6,6778.18670617782,421.591084717118,6169.54249812199,383.016180337975,635.423634442797,39.5184857838209,578.40162984723,35.9037988029424,608.644208055828,38.5749043791426,57.0220045955674,3.61468698087847,8.9794547485848,9.14983873651546,PMC co-delivery with EPI only
South Sudan,SSD,12-18mo,456,Central_Equatoria,raw cases,6,7820.62742314179,456.04957824218,7820.62742314179,456.04957824218,741.328573484495,43.2350943373751,741.328573484495,43.2350943373751,0,0,0,0,0,0,PMC co-delivery with EPI only
South Sudan,SSD,18-24mo,638.5,Central_Equatoria,raw cases,6,8739.25074235312,438.885415433251,7931.93088147501,396.948164495391,833.407171397931,41.8545309825066,756.605361354013,37.864905533991,807.31986087811,41.9372509378599,76.8018100439181,3.98962544851557,9.23786128444155,9.55539862186147,PMC co-delivery with EPI only
South Sudan,SSD,24-30mo,821,Central_Equatoria,raw cases,6,9423.47931326202,355.411613928148,9423.47931326202,355.411613928148,871.660098528222,32.8704209599228,871.660098528222,32.8704209599228,0,0,0,0,0,0,PMC co-delivery with EPI only
South Sudan,SSD,0-6mo,91,Eastern_Equatoria,raw cases,6,17593.5878450552,1014.43170801146,12605.849563729,725.854717610453,487.630381606035,28.1363806197974,349.749013371819,20.1607251905763,4987.73828132622,288.576990401002,137.881368234217,7.97565542922115,28.3497506321773,28.4471579626278,PMC co-delivery with EPI only
South Sudan,SSD,6-12mo,273.5,Eastern_Equatoria,raw cases,6,43047.6534003067,2166.95684245505,38432.1327912367,1926.17333332408,1207.98740137109,60.7982676662225,1078.58489629588,54.0470498024975,4615.52060906998,240.783509130971,129.402505075206,6.751217863725,10.7218866639479,11.1115968907888,PMC co-delivery with EPI only
South Sudan,SSD,12-18mo,456,Eastern_Equatoria,raw cases,6,48983.157371383,2162.91031707092,48983.157371383,2162.91031707092,1389.7426425269,61.3622550317334,1389.7426425269,61.3622550317334,0,0,0,0,0,0,PMC co-delivery with EPI only
South Sudan,SSD,18-24mo,638.5,Eastern_Equatoria,raw cases,6,51936.3291549916,1743.8559875123,46791.0920122497,1548.63897991767,1483.01318555653,49.7879607152006,1336.46907855808,44.2279099636875,5145.23714274187,195.217007594631,146.544106998445,5.5600507515131,9.90681710944017,11.1945601582111,PMC co-delivery with EPI only
South Sudan,SSD,24-30mo,821,Eastern_Equatoria,raw cases,6,54257.9452131757,1519.24829755973,54257.9452131757,1519.24829755973,1503.17883442826,42.0716575466184,1503.17883442826,42.0716575466184,0,0,0,0,0,0,PMC co-delivery with EPI only
South Sudan,SSD,0-6mo,91,Jungoli,raw cases,6,925.893717219329,84.9514394884087,626.448206563672,55.5677105936282,80.0764926485103,7.36285418805346,54.2692230285267,4.82999879499715,299.445510655657,29.3837288947805,25.8072696199836,2.53285539305631,32.3412401538873,34.5888534340726,PMC co-delivery with EPI only
South Sudan,SSD,6-12mo,273.5,Jungoli,raw cases,6,1248.86399557333,125.714332487154,1134.09770877586,115.134393189279,109.320815199926,10.9998370290901,99.2755593836211,10.0734372996109,114.766286797462,10.5799392978742,10.045255816305,0.926399729479195,9.18965453438146,8.41585767394925,PMC co-delivery with EPI only
South Sudan,SSD,12-18mo,456,Jungoli,raw cases,6,1619.04321361081,101.587257581386,1619.04321361081,101.587257581386,143.285131755016,8.98812161999518,143.285131755016,8.98812161999518,0,0,0,0,0,0,PMC co-delivery with EPI only
South Sudan,SSD,18-24mo,638.5,Jungoli,raw cases,6,1784.19439253503,157.628130734313,1598.15488354484,137.562420054705,158.885085355341,14.0365844837558,142.359251628649,12.2540886342329,186.039508990196,20.0657106796081,16.5258337266912,1.78249584952294,10.4270874165155,12.7297777282086,PMC co-delivery with EPI only
South Sudan,SSD,24-30mo,821,Jungoli,raw cases,6,1949.77991771149,101.892857625804,1949.77991771149,101.892857625804,168.389523970836,8.79733653835428,168.389523970836,8.79733653835428,0,0,0,0,0,0,PMC co-delivery with EPI only
South Sudan,SSD,0-6mo,91,Lakes,raw cases,6,427.962534204845,37.8330437647668,278.294342313944,22.0728385599263,84.7433071426327,7.4790048750913,55.1850237917591,4.3678602402526,149.668191890901,15.7602052048405,29.5582833508735,3.1111446348387,34.9722650766579,41.6572488928785,PMC co-delivery with EPI only
South Sudan,SSD,6-12mo,273.5,Lakes,raw cases,6,766.119949654427,82.1283278238869,699.989576934526,73.7267243210406,153.585614462579,16.4745350120844,140.328114206111,14.7893174383399,66.1303727199012,8.40160350284623,13.2575002564682,1.68521757374455,8.63185624519118,10.2298484888945,PMC co-delivery with EPI only
South Sudan,SSD,12-18mo,456,Lakes,raw cases,6,971.67608217794,79.5397396381744,971.67608217794,79.5397396381744,196.981757509566,16.1233401197738,196.981757509566,16.1233401197738,0,0,0,0,0,0,PMC co-delivery with EPI only
South Sudan,SSD,18-24mo,638.5,Lakes,raw cases,6,1117.09975393725,94.0057209068752,1004.6413505893,84.9269216561735,227.943955033764,19.1831319039781,205.058658190962,17.3357570235685,112.458403347951,9.07879925070172,22.8852968428022,1.84737488040956,10.0669974146523,9.65770930015572,PMC co-delivery with EPI only
South Sudan,SSD,24-30mo,821,Lakes,raw cases,6,1242.29482687792,92.0093619815831,1242.29482687792,92.0093619815831,245.872425528498,18.205783315182,245.872425528498,18.205783315182,0,0,0,0,0,0,PMC co-delivery with EPI only
South Sudan,SSD,0-6mo,91,North_Bahr_al_Ghazal,raw cases,6,444.392165311947,31.8705643906022,277.640062516815,17.7595962176299,92.0538267477153,6.61637237640163,57.6277498704961,3.70324912407634,166.752102795132,14.1109681729723,34.4260768772192,2.91312325232528,37.5236369610789,44.2758653409138,PMC co-delivery with EPI only
