Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,Scenario
South Sudan,SSD,n_age_0_6,3,Central_Equatoria,raw cases,6,18.515977596491,0,51.4690464628743,0,0,0,0,0,18.515977596491,0,51.4690464628743,0,PMC co-delivery with EPI only
South Sudan,SSD,n_age_7_13,10,Central_Equatoria,raw cases,6,28.2093005569982,3.00980687089414,67.2457007865018,7.17481710885927,0,0,0,0,28.2093005569982,3.00980687089414,67.2457007865018,7.17481710885927,PMC co-delivery with EPI only
South Sudan,SSD,n_age_14_20,17,Central_Equatoria,raw cases,6,56.7107515811266,4.79977668183049,135.266287307706,11.4484106374175,0,0,0,0,56.7107515811266,4.79977668183049,135.266287307706,11.4484106374175,PMC co-delivery with EPI only
South Sudan,SSD,n_age_21_27,24,Central_Equatoria,raw cases,6,45.1248571094084,1.03201034014135,107.6899839416,2.46288152642626,0,0,0,0,45.1248571094084,1.03201034014135,107.6899839416,2.46288152642626,PMC co-delivery with EPI only
South Sudan,SSD,n_age_28_34,31,Central_Equatoria,raw cases,6,39.2739676462284,3.72207795005333,93.7762237054169,8.88737337763531,0,0,0,0,39.2739676462284,3.72207795005333,93.7762237054169,8.88737337763531,PMC co-delivery with EPI only
South Sudan,SSD,n_age_35_41,38,Central_Equatoria,raw cases,6,66.777297416495,8.79305990156193,159.53289150971,21.0068739764205,0,0,0,0,66.777297416495,8.79305990156193,159.53289150971,21.0068739764205,PMC co-delivery with EPI only
South Sudan,SSD,n_age_42_48,45,Central_Equatoria,raw cases,6,65.1963735445701,5.35202635412335,155.84098770452,12.7931206584215,51.7204830158461,4.24861708622483,123.62913333261,10.1556060114746,13.4758905287239,1.1034092678985301,32.2118543719098,2.63751464694694,PMC co-delivery with EPI only
South Sudan,SSD,n_age_49_55,52,Central_Equatoria,raw cases,6,64.5112814599827,4.3764903753332,154.301291388445,10.4679073393064,45.0659775332159,3.05506383212635,107.791046367159,7.30725361367444,19.4453039267668,1.32142654320685,46.5102450212857,3.16065372563196,PMC co-delivery with EPI only
South Sudan,SSD,n_age_56_62,59,Central_Equatoria,raw cases,6,61.6518141970699,5.30143338775096,147.554012852271,12.6881549297351,30.8667170167386,2.65127866608849,73.8746786077826,6.34542245781254,30.7850971803312,2.65015472166247,73.6793342444884,6.34273247192256,PMC co-delivery with EPI only
South Sudan,SSD,n_age_63_69,66,Central_Equatoria,raw cases,6,81.2767827480001,5.58806357345058,194.633700582853,13.381748829369,27.9198593014539,1.92091212796904,66.859751971768,4.60001273820471,53.3569234465462,3.66715144548154,127.773948611085,8.78173609116429,PMC co-delivery with EPI only
South Sudan,SSD,n_age_70_76,73,Central_Equatoria,raw cases,6,106.06520739503,9.04492294923951,254.130226952491,21.6714639825023,81.8846093621724,6.99248911781343,196.193972295009,16.7538714166132,24.1805980328576,2.05243383142608,57.9362546574816,4.91759256588906,PMC co-delivery with EPI only
South Sudan,SSD,n_age_77_83,80,Central_Equatoria,raw cases,6,104.570704443491,0.990297755321929,250.682396783149,2.37399390349546,71.0828304977367,0.665210525507883,170.403502722239,1.59467768518101,33.4878739457546,0.325087229814047,80.2788940609096,0.77931621831445,PMC co-delivery with EPI only
South Sudan,SSD,n_age_84_90,87,Central_Equatoria,raw cases,6,91.6711054921524,7.16232855878718,219.90062095317,17.1809916449928,44.6654948489988,3.49764143526443,107.143575936436,8.39014124850962,47.0056106431535,3.66468712352275,112.757045016734,8.79085039648318,PMC co-delivery with EPI only
South Sudan,SSD,n_age_91_97,94,Central_Equatoria,raw cases,6,129.590481243654,3.9237368531167,311.050249483105,9.41797048174609,43.3290662108451,1.31295136205965,104.000824176377,3.15141856723242,86.2614150328089,2.61078549105706,207.049425306728,6.26655191451367,PMC co-delivery with EPI only
South Sudan,SSD,n_age_98_104,101,Central_Equatoria,raw cases,6,133.243956075704,5.0003877372335,320.026827019104,12.0099873085641,119.334753255624,4.47840228089729,286.619547800029,10.7562767894432,13.9092028200793,0.521985456336208,33.4072792190746,1.25371051912092,PMC co-delivery with EPI only
South Sudan,SSD,n_age_105_111,108,Central_Equatoria,raw cases,6,114.523238817739,14.36339730157,275.207296894229,34.5162413008064,90.3603927168714,11.3329157847506,217.142299524796,27.2337837389914,24.1628461008672,3.03048151681937,58.0649973694329,7.28245756181496,PMC co-delivery with EPI only
South Sudan,SSD,n_age_112_118,115,Central_Equatoria,raw cases,6,144.668428312404,10.8195656532952,347.826727813213,26.0135135319171,81.8175468330901,6.11902907827663,196.714168562084,14.7119996153879,62.850881479314,4.70053657501859,151.112559251129,11.3015139165292,PMC co-delivery with EPI only
South Sudan,SSD,n_age_119_125,122,Central_Equatoria,raw cases,6,152.83511902733,15.9520234461829,367.643472043096,38.3724455687364,59.3023408025374,6.18962668342248,142.651234949666,14.8890900142991,93.5327782247926,9.76239676276046,224.99223709343,23.4833555544373,PMC co-delivery with EPI only
South Sudan,SSD,n_age_126_132,129,Central_Equatoria,raw cases,6,168.00309555637,13.8580671206043,404.353598174322,33.3539050896683,43.5587650641324,3.59303075904837,104.838207459113,8.6477865836987,124.444330492237,10.265036361556,299.515390715209,24.7061185059696,PMC co-delivery with EPI only
South Sudan,SSD,n_age_133_139,136,Central_Equatoria,raw cases,6,169.207116549648,8.94334830836507,407.478742753548,21.5370629735328,30.3342930178786,1.60330223502921,73.049998329214,3.861017150493,138.872823531769,7.34004607333586,334.428744424334,17.6760458230398,PMC co-delivery with EPI only
South Sudan,SSD,n_age_140_146,143,Central_Equatoria,raw cases,6,187.058575885053,15.5921921871602,450.738534180933,37.5711288181017,26.7461505361917,2.22941459622405,64.447837425394,5.37202350883449,160.312425348861,13.3627775909361,386.290696755539,32.1991053092672,PMC co-delivery with EPI only
South Sudan,SSD,n_age_147_153,150,Central_Equatoria,raw cases,6,219.554877400241,13.3678545399839,529.33750432466,32.2293307448171,24.7106463638279,1.50453649717129,59.576321106422,3.6273737300137,194.844231036414,11.8633180428126,469.761183218238,28.6019570148034,PMC co-delivery with EPI only
South Sudan,SSD,n_age_154_160,157,Central_Equatoria,raw cases,6,201.548843753522,9.57476297693941,486.226721358251,23.0986470741203,12.3996067511077,0.589054709707494,29.913444425887,1.4210656576724,189.149237002414,8.98570826723191,456.313276932364,21.6775814164479,PMC co-delivery with EPI only
South Sudan,SSD,n_age_161_167,164,Central_Equatoria,raw cases,6,213.600132144228,13.3215079555677,515.626891565485,32.1578815010106,3.07981740121889,0.192077652762526,7.43462402030502,0.463672011992301,210.520314743009,13.1294303028052,508.19226754518,31.6942094890183,PMC co-delivery with EPI only
South Sudan,SSD,n_age_168_174,171,Central_Equatoria,raw cases,6,204.107490965137,13.4189877737472,493.003984242488,32.4124039038262,0.122394393334218,0.00804678387821589,0.295633067053984,0.0194363102184028,203.985096571803,13.4109409898689,492.708351175434,32.3929675936078,PMC co-delivery with EPI only
South Sudan,SSD,n_age_175_181,178,Central_Equatoria,raw cases,6,222.019390973066,11.154525770299,536.581958980536,26.9585339509918,2.0655453982954e-4,1.03775527389161e-5,4.9920612400455e-4,2.50807262993646e-5,222.019184418526,11.1545153927463,536.581459774412,26.9585088702655,PMC co-delivery with EPI only
South Sudan,SSD,n_age_182_188,185,Central_Equatoria,raw cases,6,255.418015956334,9.52654124865305,617.661784409163,23.0374527218021,38.4788491248279,1.4253944564752,93.0510501519019,3.4469443362363,216.939166831506,8.10114679217786,524.610734257261,19.5905083855658,PMC co-delivery with EPI only
South Sudan,SSD,n_age_189_195,192,Central_Equatoria,raw cases,6,234.817507555404,16.2854308628882,568.152099293756,39.4033725550475,33.6635193643639,2.34628965217781,81.450482102433,5.6769591216341,201.15398819104,13.9391412107104,486.701617191323,33.7264134334134,PMC co-delivery with EPI only
South Sudan,SSD,n_age_196_202,199,Central_Equatoria,raw cases,6,245.485967986575,15.1558917774288,594.354060355895,36.6944224556327,24.0276675973612,1.59615731597831,58.174167405586,3.8645083851406,221.458300389214,13.5597344614505,536.179892950309,32.8299140704921,PMC co-delivery with EPI only
South Sudan,SSD,n_age_203_209,206,Central_Equatoria,raw cases,6,208.978087038235,16.340680975521,506.258929139948,39.5860435384846,14.2586966580737,1.11741701684492,34.542341751492,2.70699359137669,194.719390380161,15.2232639586761,471.716587388456,36.8790499471079,PMC co-delivery with EPI only
South Sudan,SSD,n_age_210_216,213,Central_Equatoria,raw cases,6,270.198747049086,13.2879698094666,654.941938950565,32.2090639086036,12.1332251756363,0.520528265925755,29.4100476373098,1.26172232657339,258.06552187345,12.7674415435408,625.531891313255,30.9473415820302,PMC co-delivery with EPI only
South Sudan,SSD,n_age_217_223,220,Central_Equatoria,raw cases,6,247.825643518321,13.1915004098266,601.063705924986,31.9939938840718,7.80612189092307,0.385575312634037,18.932570843152,0.935154744419599,240.019521627398,12.8059250971925,582.131135081834,31.0588391396522,PMC co-delivery with EPI only
South Sudan,SSD,n_age_224_230,227,Central_Equatoria,raw cases,6,229.132930153316,23.3045589525145,556.052339641501,56.55474540996,5.72492831108934,0.525707199474144,13.893069754448,1.2757691268487,223.408001842227,22.7788517530403,542.159269887053,55.2789762831113,PMC co-delivery with EPI only
South Sudan,SSD,n_age_231_237,234,Central_Equatoria,raw cases,6,202.594416538072,7.90577742059373,491.947326656964,19.1971039166087,4.18554185628943,0.202375335908104,10.163489014148,0.491415346891301,198.408874681783,7.70340208468563,481.783837642816,18.7056885697174,PMC co-delivery with EPI only
South Sudan,SSD,n_age_238_244,241,Central_Equatoria,raw cases,6,235.539219954192,16.7258628369008,572.310480891865,40.6403086729238,2.5474716970891498,0.173516241590736,6.18981735739396,0.421607763185499,232.991748257103,16.5523465953101,566.120663534471,40.2187009097383,PMC co-delivery with EPI only
South Sudan,SSD,n_age_245_251,248,Central_Equatoria,raw cases,6,260.593753773055,19.7859481862993,633.566590242048,48.1044366781582,0.681546125671844,0.0486083275514204,1.65700385631897,0.118178628221997,259.912207647383,19.7373398587478,631.909586385729,47.9862580499362,PMC co-delivery with EPI only
South Sudan,SSD,n_age_252_258,255,Central_Equatoria,raw cases,6,272.720885179738,19.4997198582571,663.459985401239,47.4378185006298,0.0285985103379289,0.00186174377907733,0.0695728427209588,0.00452914524560555,272.6922866694,19.497858114478,663.390412558518,47.4332893553842,PMC co-delivery with EPI only
South Sudan,SSD,n_age_259_265,262,Central_Equatoria,raw cases,6,276.767050079887,17.1143478507576,673.720177968175,41.6606004092378,4.39856831349061e-5,2.53273428540979e-6,1.0707214698868e-4,6.16530830654938e-6,276.767006094204,17.1143453180233,673.720070896028,41.6605942439295,PMC co-delivery with EPI only
South Sudan,SSD,n_age_266_272,269,Central_Equatoria,raw cases,6,244.947761162227,13.8561789102499,596.617226516232,33.7493798364254,1.75305103766732e-10,1.0016876217378e-11,4.2700776248239e-10,2.4400037546001798e-11,244.947761162052,13.8561789102399,596.617226515805,33.749379836401,PMC co-delivery with EPI only
South Sudan,SSD,n_age_273_279,276,Central_Equatoria,raw cases,6,266.460353925608,14.7380995923194,649.399445676187,35.9187157285122,120.618950552639,7.0103692888893,293.964480917847,17.0852055967061,145.841403372969,7.72773030343008,355.43496475834,18.8335101318061,PMC co-delivery with EPI only
South Sudan,SSD,n_age_280_286,283,Central_Equatoria,raw cases,6,285.837194240657,17.4894167198114,697.059714628593,42.6507399084952,113.763964462433,6.99210649191217,277.431622619535,17.0513699900143,172.073229778224,10.4973102278992,419.628092009058,25.5993699184809,PMC co-delivery with EPI only
South Sudan,SSD,n_age_287_293,290,Central_Equatoria,raw cases,6,260.941594533414,23.2290339995527,636.739295376247,56.682564416736,75.3637411470985,6.67319215316876,183.899602210703,16.2836579469697,185.577853386316,16.5558418463839,452.839693165544,40.3989064697663,PMC co-delivery with EPI only
South Sudan,SSD,n_age_294_300,297,Central_Equatoria,raw cases,6,260.020015486336,15.4304435999406,634.874737949225,37.6755567013932,51.3212583495838,3.13229222016372,125.307932102745,7.6479235597974,208.698757136752,12.2981513797769,509.56680584648,30.0276331415958,PMC co-delivery with EPI only
South Sudan,SSD,n_age_301_307,304,Central_Equatoria,raw cases,6,267.531076192402,17.4360845802061,653.63720112626,42.6001856898683,35.4166125467576,2.2558677616046,86.530566197802,5.5115806013719,232.114463645645,15.1802168186015,567.106634928458,37.0886050884964,PMC co-delivery with EPI only
South Sudan,SSD,n_age_308_314,311,Central_Equatoria,raw cases,6,250.033159998253,10.3902193973285,611.304391451542,25.4029775321653,22.8274117586202,1.00508817654671,55.810585498398,2.4573333238012,227.205748239632,9.38513122078179,555.493805953144,22.9456442083641,PMC co-delivery with EPI only
South Sudan,SSD,n_age_315_321,318,Central_Equatoria,raw cases,6,266.838052158619,17.0898861420878,652.804081345266,41.8094320994707,19.3005278106951,1.23317543556365,47.217640906215,3.0168933959694,247.537524347924,15.8567107065241,605.586440439051,38.7925387035013,PMC co-delivery with EPI only
South Sudan,SSD,n_age_322_328,325,Central_Equatoria,raw cases,6,272.562610729142,20.4439518031051,667.188763031095,50.0434556247176,15.5247743073563,1.18374933008264,38.0021123908119,2.89762506003279,257.037836421786,19.2602024730224,629.186650640283,47.1458305646848,PMC co-delivery with EPI only
South Sudan,SSD,n_age_329_335,332,Central_Equatoria,raw cases,6,281.884863104012,19.7408978359266,690.411322843604,48.3507317098947,8.85985320037855,0.602507507229319,21.700147006533,1.4757018184971,273.025009903634,19.1383903286973,668.711175837071,46.8750298913976,PMC co-delivery with EPI only
South Sudan,SSD,n_age_336_342,339,Central_Equatoria,raw cases,6,275.360008016428,19.343503276742,674.874205174858,47.4085960892682,2.0211817549274,0.139748176338738,4.95367297595794,0.342505943802905,273.338826261501,19.2037551004032,669.9205321989,47.0660901454653,PMC co-delivery with EPI only
