Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,Scenario
South Sudan,SSD,n_age_0_6,3,6,raw cases,0.045736030508657,0.00543095225992346,PMC co-delivery with EPI only
South Sudan,SSD,n_age_7_13,10,6,raw cases,0.0616600156200047,0.00419546106892115,PMC co-delivery with EPI only
South Sudan,SSD,n_age_14_20,17,6,raw cases,0.0737071827010846,0.00741998180651754,PMC co-delivery with EPI only
South Sudan,SSD,n_age_21_27,24,6,raw cases,0.0853022536485532,0.00645438165393028,PMC co-delivery with EPI only
South Sudan,SSD,n_age_28_34,31,6,raw cases,0.10396003806104,0.00511939362466507,PMC co-delivery with EPI only
South Sudan,SSD,n_age_35_41,38,6,raw cases,0.121659990451594,0.00548904705481609,PMC co-delivery with EPI only
South Sudan,SSD,n_age_42_48,45,6,raw cases,0.028079876707276,0.00287266868771426,PMC co-delivery with EPI only
South Sudan,SSD,n_age_49_55,52,6,raw cases,0.0421912800017058,0.00258632756889714,PMC co-delivery with EPI only
South Sudan,SSD,n_age_56_62,59,6,raw cases,0.0850589165445044,0.00663678608901622,PMC co-delivery with EPI only
South Sudan,SSD,n_age_63_69,66,6,raw cases,0.109418766252479,0.00680401588544804,PMC co-delivery with EPI only
South Sudan,SSD,n_age_70_76,73,6,raw cases,0.0489450241779674,0.00301417143909509,PMC co-delivery with EPI only
South Sudan,SSD,n_age_77_83,80,6,raw cases,0.0762627939234353,0.00484690429566477,PMC co-delivery with EPI only
South Sudan,SSD,n_age_84_90,87,6,raw cases,0.115804653436458,0.00649203522978086,PMC co-delivery with EPI only
South Sudan,SSD,n_age_91_97,94,6,raw cases,0.173821624127289,0.00917315867135002,PMC co-delivery with EPI only
South Sudan,SSD,n_age_98_104,101,6,raw cases,0.0305939021531557,0.00172187987501788,PMC co-delivery with EPI only
South Sudan,SSD,n_age_105_111,108,6,raw cases,0.0627730171921973,0.00390445765504736,PMC co-delivery with EPI only
South Sudan,SSD,n_age_112_118,115,6,raw cases,0.140112461626998,0.00877291084370343,PMC co-delivery with EPI only
South Sudan,SSD,n_age_119_125,122,6,raw cases,0.214689055812112,0.0119793212322817,PMC co-delivery with EPI only
South Sudan,SSD,n_age_126_132,129,6,raw cases,0.28022629322509,0.0175464540351171,PMC co-delivery with EPI only
South Sudan,SSD,n_age_133_139,136,6,raw cases,0.341098182420285,0.0177395799335262,PMC co-delivery with EPI only
South Sudan,SSD,n_age_140_146,143,6,raw cases,0.354667140433935,0.0235008883636312,PMC co-delivery with EPI only
South Sudan,SSD,n_age_147_153,150,6,raw cases,0.415435856492024,0.0277131937398498,PMC co-delivery with EPI only
South Sudan,SSD,n_age_154_160,157,6,raw cases,0.454396784218042,0.0278983641040257,PMC co-delivery with EPI only
South Sudan,SSD,n_age_161_167,164,6,raw cases,0.463711021290196,0.0288249892531766,PMC co-delivery with EPI only
South Sudan,SSD,n_age_168_174,171,6,raw cases,0.513659050124453,0.0327788984239082,PMC co-delivery with EPI only
South Sudan,SSD,n_age_175_181,178,6,raw cases,0.5272196895933,0.0239764871051116,PMC co-delivery with EPI only
South Sudan,SSD,n_age_182_188,185,6,raw cases,0.409372175686753,0.023474668920328,PMC co-delivery with EPI only
South Sudan,SSD,n_age_189_195,192,6,raw cases,0.448997107603228,0.0248326685463243,PMC co-delivery with EPI only
South Sudan,SSD,n_age_196_202,199,6,raw cases,0.483058377524544,0.0321392916284205,PMC co-delivery with EPI only
South Sudan,SSD,n_age_203_209,206,6,raw cases,0.515864904113972,0.0267367981269572,PMC co-delivery with EPI only
South Sudan,SSD,n_age_210_216,213,6,raw cases,0.557813664339509,0.0294444134001863,PMC co-delivery with EPI only
South Sudan,SSD,n_age_217_223,220,6,raw cases,0.551991064385012,0.0289250194657316,PMC co-delivery with EPI only
South Sudan,SSD,n_age_224_230,227,6,raw cases,0.556184795401443,0.0426994842581773,PMC co-delivery with EPI only
South Sudan,SSD,n_age_231_237,234,6,raw cases,0.584050542025821,0.0272575053136329,PMC co-delivery with EPI only
South Sudan,SSD,n_age_238_244,241,6,raw cases,0.604430406597131,0.0370759510376047,PMC co-delivery with EPI only
South Sudan,SSD,n_age_245_251,248,6,raw cases,0.605346555023611,0.0343342586663727,PMC co-delivery with EPI only
South Sudan,SSD,n_age_252_258,255,6,raw cases,0.65385222812905,0.0414492691602885,PMC co-delivery with EPI only
South Sudan,SSD,n_age_259_265,262,6,raw cases,0.619110868030439,0.0374746083979904,PMC co-delivery with EPI only
South Sudan,SSD,n_age_266_272,269,6,raw cases,0.629139107479334,0.0296999323408074,PMC co-delivery with EPI only
South Sudan,SSD,n_age_273_279,276,6,raw cases,0.312479204630501,0.017781249255674,PMC co-delivery with EPI only
South Sudan,SSD,n_age_280_286,283,6,raw cases,0.376297415668949,0.025421338196366,PMC co-delivery with EPI only
