Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,Scenario
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_0_6,3,clinical,ppy,0.0853017008692558,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_7_13,10,clinical,ppy,0.0908860810987492,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_14_20,17,clinical,ppy,0.132277690566762,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_21_27,24,clinical,ppy,0.139962478407325,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_28_34,31,clinical,ppy,0.144912663878054,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_35_41,38,clinical,ppy,0.136210265799728,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_42_48,45,clinical,ppy,0.0921079389726876,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_49_55,52,clinical,ppy,0.103543786114061,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_56_62,59,clinical,ppy,0.129643240563259,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_63_69,66,clinical,ppy,0.133167059986191,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_70_76,73,clinical,ppy,0.150129835949148,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_77_83,80,clinical,ppy,0.189968244608792,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_84_90,87,clinical,ppy,0.178973535686364,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_91_97,94,clinical,ppy,0.210138549143624,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_98_104,101,clinical,ppy,0.215420448589038,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_105_111,108,clinical,ppy,0.259524552886355,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_112_118,115,clinical,ppy,0.253757704918533,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_119_125,122,clinical,ppy,0.291292499001012,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_126_132,129,clinical,ppy,0.344620898210201,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_133_139,136,clinical,ppy,0.318002019811828,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_140_146,143,clinical,ppy,0.331986925743302,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_147_153,150,clinical,ppy,0.327849630711905,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_154_160,157,clinical,ppy,0.326198204895154,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_161_167,164,clinical,ppy,0.305278796139297,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_168_174,171,clinical,ppy,0.420966615066989,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_175_181,178,clinical,ppy,0.43108392710954,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_182_188,185,clinical,ppy,0.462961116728246,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_189_195,192,clinical,ppy,0.406592689627364,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_196_202,199,clinical,ppy,0.444115984893973,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_203_209,206,clinical,ppy,0.497526108708739,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_210_216,213,clinical,ppy,0.464260171098571,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_217_223,220,clinical,ppy,0.494234024243188,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_224_230,227,clinical,ppy,0.424278593949416,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_231_237,234,clinical,ppy,0.386023164763366,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_238_244,241,clinical,ppy,0.475928388375448,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_245_251,248,clinical,ppy,0.446723396647314,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_252_258,255,clinical,ppy,0.458767724305794,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_259_265,262,clinical,ppy,0.44379745712224,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_266_272,269,clinical,ppy,0.537690336259269,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_273_279,276,clinical,ppy,0.301671633684503,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_280_286,283,clinical,ppy,0.265966163049786,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_287_293,290,clinical,ppy,0.325301334964564,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_294_300,297,clinical,ppy,0.379098885535301,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_301_307,304,clinical,ppy,0.404875307864112,4,PMC co-delivery with EPI only
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_308_314,311,clinical,ppy,0.399618113035544,4,PMC co-delivery with EPI only
