Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_0_6,3,clinical,ppy,0.0853017008692558
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_7_13,10,clinical,ppy,0.0908860810987492
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_14_20,17,clinical,ppy,0.132277690566762
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_21_27,24,clinical,ppy,0.139962478407325
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_28_34,31,clinical,ppy,0.144912663878054
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_35_41,38,clinical,ppy,0.136210265799728
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_42_48,45,clinical,ppy,0.159880630729738
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_49_55,52,clinical,ppy,0.173028429229504
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_56_62,59,clinical,ppy,0.198919467719736
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_63_69,66,clinical,ppy,0.188093599979753
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_70_76,73,clinical,ppy,0.228613311796152
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_77_83,80,clinical,ppy,0.280736094075776
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_84_90,87,clinical,ppy,0.248887342195531
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_91_97,94,clinical,ppy,0.274909637374907
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_98_104,101,clinical,ppy,0.301455403010524
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_105_111,108,clinical,ppy,0.355348754970487
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_112_118,115,clinical,ppy,0.331285453467805
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_119_125,122,clinical,ppy,0.362468068752187
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_126_132,129,clinical,ppy,0.403713956892046
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_133_139,136,clinical,ppy,0.35347350416828
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_140_146,143,clinical,ppy,0.36019869797044
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_147_153,150,clinical,ppy,0.349324243743162
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_154_160,157,clinical,ppy,0.337538032375302
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_161_167,164,clinical,ppy,0.307704689130874
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_168_174,171,clinical,ppy,0.421104445669054
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_175_181,178,clinical,ppy,0.431084146047511
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_182_188,185,clinical,ppy,0.462961116729243
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_189_195,192,clinical,ppy,0.406592689627364
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_196_202,199,clinical,ppy,0.444115984893973
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_203_209,206,clinical,ppy,0.497526108708739
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_210_216,213,clinical,ppy,0.464260171098571
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_217_223,220,clinical,ppy,0.494234024243188
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_224_230,227,clinical,ppy,0.424278593949416
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_231_237,234,clinical,ppy,0.386023164763366
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_238_244,241,clinical,ppy,0.475928388375448
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_245_251,248,clinical,ppy,0.446723396647314
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_252_258,255,clinical,ppy,0.458767724305794
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_259_265,262,clinical,ppy,0.44379745712224
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_266_272,269,clinical,ppy,0.537690336259269
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_273_279,276,clinical,ppy,0.452029492738248
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_280_286,283,clinical,ppy,0.388061171460286
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_287_293,290,clinical,ppy,0.447386083157922
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_294_300,297,clinical,ppy,0.491588235370495
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_301_307,304,clinical,ppy,0.48821527964476
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_308_314,311,clinical,ppy,0.452544552634075
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_315_321,318,clinical,ppy,0.425525292578995
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_322_328,325,clinical,ppy,0.494410325205991
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_329_335,332,clinical,ppy,0.45011886529018
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_336_342,339,clinical,ppy,0.475985300004878
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_343_349,346,clinical,ppy,0.476408534886193
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_350_356,353,clinical,ppy,0.506591978204201
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_357_363,360,clinical,ppy,0.490227301740056
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_364_370,367,clinical,ppy,0.570180136893999
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_371_377,374,clinical,ppy,0.515224930856108
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_378_384,381,clinical,ppy,0.536756052713294
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_385_391,388,clinical,ppy,0.509432760071609
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_392_398,395,clinical,ppy,0.450813402310077
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_399_405,402,clinical,ppy,0.512446977979518
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_406_412,409,clinical,ppy,0.548464603054773
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_413_419,416,clinical,ppy,0.56374906808525
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_420_426,423,clinical,ppy,0.508029014354713
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_427_433,430,clinical,ppy,0.557056030809315
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_434_440,437,clinical,ppy,0.528634949266771
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_441_447,444,clinical,ppy,0.530078393111643
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_448_454,451,clinical,ppy,0.661426877326539
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_455_461,458,clinical,ppy,0.532228726696816
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_462_468,465,clinical,ppy,0.50685550505873
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_469_475,472,clinical,ppy,0.572956888598501
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_476_482,479,clinical,ppy,0.563496990103518
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_483_489,486,clinical,ppy,0.646481561194671
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_490_496,493,clinical,ppy,0.592467119821804
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_497_503,500,clinical,ppy,0.585116156016959
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_504_510,507,clinical,ppy,0.607819873896278
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_511_517,514,clinical,ppy,0.547287403826593
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_518_524,521,clinical,ppy,0.607227577484381
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_525_531,528,clinical,ppy,0.56644959729609
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_532_538,535,clinical,ppy,0.582361680612676
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_539_545,542,clinical,ppy,0.566330862805685
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_546_552,549,clinical,ppy,0.592368613297021
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_553_559,556,clinical,ppy,0.583769339709003
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_560_566,563,clinical,ppy,0.584242085285628
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_567_573,570,clinical,ppy,0.556066365078055
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_574_580,577,clinical,ppy,0.660662510083535
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_581_587,584,clinical,ppy,0.645125052242864
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_588_594,591,clinical,ppy,0.5980105107886
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_595_601,598,clinical,ppy,0.604513889188606
Chad,rural/urban merged,TCD,Barh_el_Ghazel,n_age_602_608,605,clinical,ppy,0.617070294225416
