Country,Iso code,Age group,age_in_days_midpoint,units,clinical,severe
Chad,TCD,n_age_0_6,3,ppy,0.0827262233311011,0.00488782611418233
Chad,TCD,n_age_7_13,10,ppy,0.09417742030388,0.00676242123132395
Chad,TCD,n_age_14_20,17,ppy,0.104514613016855,0.00649735695799807
Chad,TCD,n_age_21_27,24,ppy,0.108048752951159,0.00738745296878733
Chad,TCD,n_age_28_34,31,ppy,0.127402043556688,0.00813226341778608
Chad,TCD,n_age_35_41,38,ppy,0.14241408312618,0.00932007974842257
Chad,TCD,n_age_42_48,45,ppy,0.138109360817928,0.00967547898294574
Chad,TCD,n_age_49_55,52,ppy,0.1593098549993,0.0112394938828836
Chad,TCD,n_age_56_62,59,ppy,0.170191553089911,0.00959442085756966
Chad,TCD,n_age_63_69,66,ppy,0.183015948199084,0.0115429588625234
Chad,TCD,n_age_70_76,73,ppy,0.184491757442172,0.0128827538961754
Chad,TCD,n_age_77_83,80,ppy,0.20873656037443,0.014340558930187
Chad,TCD,n_age_84_90,87,ppy,0.221673306675302,0.0162918963846035
Chad,TCD,n_age_91_97,94,ppy,0.230427477784231,0.0138146341204886
Chad,TCD,n_age_98_104,101,ppy,0.237817816420358,0.0163318260325043
Chad,TCD,n_age_105_111,108,ppy,0.247464639433235,0.016797727875956
Chad,TCD,n_age_112_118,115,ppy,0.265359373837967,0.0170492051249598
Chad,TCD,n_age_119_125,122,ppy,0.262099914449206,0.0175739645549746
Chad,TCD,n_age_126_132,129,ppy,0.279852864814848,0.0194123505395865
Chad,TCD,n_age_133_139,136,ppy,0.285142825612097,0.0189553601431221
Chad,TCD,n_age_140_146,143,ppy,0.294933661680455,0.019143003701923
Chad,TCD,n_age_147_153,150,ppy,0.304705860588965,0.0222862611980715
Chad,TCD,n_age_154_160,157,ppy,0.30294196601397,0.02025237692319
Chad,TCD,n_age_161_167,164,ppy,0.323133272489732,0.0243928445466002
Chad,TCD,n_age_168_174,171,ppy,0.313292508800997,0.0205622814258321
Chad,TCD,n_age_175_181,178,ppy,0.329426676155894,0.0269429636453991
Chad,TCD,n_age_182_188,185,ppy,0.3336417657626,0.0270070872737891
Chad,TCD,n_age_189_195,192,ppy,0.328457208013023,0.0272368027938409
Chad,TCD,n_age_196_202,199,ppy,0.341898944088297,0.0240750710759797
Chad,TCD,n_age_203_209,206,ppy,0.342469707028019,0.0257451178748685
Chad,TCD,n_age_210_216,213,ppy,0.34910800169224,0.02791406877067
Chad,TCD,n_age_217_223,220,ppy,0.362406175164189,0.0284523707520972
Chad,TCD,n_age_224_230,227,ppy,0.354230655525203,0.027469842956112
Chad,TCD,n_age_231_237,234,ppy,0.361283358954202,0.0289623548732604
Chad,TCD,n_age_238_244,241,ppy,0.37142127933239,0.0288034115816431
Chad,TCD,n_age_245_251,248,ppy,0.369487749887059,0.0276605707167883
Chad,TCD,n_age_252_258,255,ppy,0.366160846220402,0.0252467881005436
Chad,TCD,n_age_259_265,262,ppy,0.376723495701501,0.027590162629666
Chad,TCD,n_age_266_272,269,ppy,0.383715549891819,0.026729643504669
Chad,TCD,n_age_273_279,276,ppy,0.380217497247284,0.0286550113995515
Chad,TCD,n_age_280_286,283,ppy,0.38467478703878,0.0325778964674517
Chad,TCD,n_age_287_293,290,ppy,0.382454965437924,0.0322222205395857
Chad,TCD,n_age_294_300,297,ppy,0.386066956985184,0.0286634571909413
Chad,TCD,n_age_301_307,304,ppy,0.403492665977842,0.0313145105538652
Chad,TCD,n_age_308_314,311,ppy,0.404983282823219,0.0304392489245839
Chad,TCD,n_age_315_321,318,ppy,0.403853790285402,0.0309538069128094
Chad,TCD,n_age_322_328,325,ppy,0.400696174982375,0.0292157414115291
