Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
Chad,TCD,0-6mo,91,Barh_el_Ghazel,raw cases,4,1359.49537175275,86.5248854488433,1147.69899992846,74.3155261152179,261.435338073794,16.6626278937005,220.89251133566,14.3248497310413,211.796371824286,12.2093593336254,40.5428267381342,2.33777816265917,15.5790432409655,14.1108067006272,PMC co-delivery with EPI only
Chad,TCD,6-12mo,273.5,Barh_el_Ghazel,raw cases,4,2339.09212799395,195.088879826983,2195.15672881805,183.50465375619,460.845829601546,38.4441440922402,432.393731157248,36.1542032087238,143.935399175893,11.5842260707928,28.452098444298,2.28994088351642,6.15347285612622,5.93792228499462,PMC co-delivery with EPI only
Chad,TCD,12-18mo,456,Barh_el_Ghazel,raw cases,4,2754.84774749303,192.566324881231,2754.84774749303,192.566324881231,556.514351547935,38.9017555467115,556.514351547935,38.9017555467115,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,18-24mo,638.5,Barh_el_Ghazel,raw cases,4,3031.29899384406,214.163943694342,3031.29899384406,214.163943694342,624.871880237485,44.124272652917,624.871880237485,44.124272652917,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,24-30mo,821,Barh_el_Ghazel,raw cases,4,3420.68752391044,205.278475318978,3420.68752391044,205.278475318978,693.140999859486,41.5778153791461,693.140999859486,41.5778153791461,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,0-6mo,91,Batha,raw cases,4,1722.87654783082,104.485563814104,1572.59797638735,97.0144599419649,209.346551343047,12.7377869824615,191.201655368794,11.8344195009577,150.27857144347,7.47110387213952,18.1448959742536,0.903367481503782,8.72253857263758,7.150369485905,PMC co-delivery with EPI only
Chad,TCD,6-12mo,273.5,Batha,raw cases,4,2687.19839469655,238.023690821106,2569.8050751704,225.675785205887,334.528257654292,29.6539891802823,319.8694387817,28.1125244398297,117.39331952615,12.3479056152182,14.6588188725919,1.5414647404526,4.36861378593547,5.18767924849073,PMC co-delivery with EPI only
Chad,TCD,12-18mo,456,Batha,raw cases,4,3308.74529244454,245.785019037402,3308.74529244454,245.785019037402,422.162145045135,31.3661614787052,422.162145045135,31.3661614787052,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,18-24mo,638.5,Batha,raw cases,4,3765.1427376577,279.788549754943,3765.1427376577,279.788549754943,490.244298460224,36.4215615838308,490.244298460224,36.4215615838308,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,24-30mo,821,Batha,raw cases,4,4010.80328310228,223.051410518269,4010.80328310228,223.051410518269,513.496313009885,28.5365268347347,513.496313009885,28.5365268347347,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,0-6mo,91,Borkou,raw cases,4,243.572526011975,13.1820537332031,223.527923451773,12.062790382304,78.3862600344343,4.24322773138473,71.9717816403782,3.88515958182839,20.0446025602023,1.11926335089919,6.41447839405615,0.358068149556339,8.22941851792301,8.49081162580887,PMC co-delivery with EPI only
Chad,TCD,6-12mo,273.5,Borkou,raw cases,4,351.688280294414,27.3781098131103,337.75812020084,25.8989371415315,115.947808031037,9.04276371314381,111.340037113312,8.55360353630486,13.9301600935739,1.47917267157889,4.60777091772503,0.489160176838949,3.96093952346445,5.40275673403344,PMC co-delivery with EPI only
Chad,TCD,12-18mo,456,Borkou,raw cases,4,429.597035799048,36.0387307286198,429.597035799048,36.0387307286198,145.183020352301,12.1778875544323,145.183020352301,12.1778875544323,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,18-24mo,638.5,Borkou,raw cases,4,466.107666911014,31.8502616267245,466.107666911014,31.8502616267245,160.908684245677,10.9963584665938,160.908684245677,10.9963584665938,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,24-30mo,821,Borkou,raw cases,4,528.997147767901,36.8702180290894,528.997147767901,36.8702180290894,179.42064987958,12.5102267748181,179.42064987958,12.5102267748181,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,0-6mo,91,Chari_Baguirmi,raw cases,4,2576.8729844937902,146.963129395422,2023.36552304129,116.508038235307,229.631908572588,13.0972808644675,180.557097171629,10.3954080051015,553.507461452507,30.455091160115,49.0748114009585,2.70187285936598,21.4798115694181,20.7229468271406,PMC co-delivery with EPI only
Chad,TCD,6-12mo,273.5,Chari_Baguirmi,raw cases,4,4254.92587634804,291.866069888911,3907.69772833488,268.498452629492,388.651813468495,26.6620766010044,356.83553348721,24.521475667682,347.228148013161,23.3676172594188,31.816279981285,2.1406009333224,8.16061567472435,8.0062808494022,PMC co-delivery with EPI only
Chad,TCD,12-18mo,456,Chari_Baguirmi,raw cases,4,5016.0952165405,382.528669547871,5016.0952165405,382.528669547871,469.831280246482,35.8270876905252,469.831280246482,35.8270876905252,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,18-24mo,638.5,Chari_Baguirmi,raw cases,4,5670.46230443254,401.290679826347,5670.46230443254,401.290679826347,541.972026697817,38.3668619732846,541.972026697817,38.3668619732846,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,24-30mo,821,Chari_Baguirmi,raw cases,4,6240.32051485484,372.171471001327,6240.32051485484,372.171471001327,586.353467927489,34.9681124123373,586.353467927489,34.9681124123373,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,0-6mo,91,Ennedi_Est,raw cases,4,219.265605010913,18.8416167875548,191.661703521329,16.3528010020119,65.2512136105225,5.63576144625484,57.0856653416808,4.90067945509979,27.6039014895836,2.48881578554289,8.16554826884172,0.73508199115505,12.5892528781291,13.2091413046188,PMC co-delivery with EPI only
Chad,TCD,6-12mo,273.5,Ennedi_Est,raw cases,4,284.725670390462,28.263052444397,270.796997562055,27.0599639650717,86.9168228166511,8.62107302521608,82.6522633965262,8.25275993043565,13.9286728284073,1.20308847932533,4.26455942012488,0.368313094780435,4.89196243152438,4.25675351836894,PMC co-delivery with EPI only
Chad,TCD,12-18mo,456,Ennedi_Est,raw cases,4,322.928398806308,27.1242844825368,322.928398806308,27.1242844825368,101.118775822558,8.49173565732924,101.118775822558,8.49173565732924,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,18-24mo,638.5,Ennedi_Est,raw cases,4,355.815934510064,28.1589615156951,355.815934510064,28.1589615156951,113.643743495795,8.97982173207003,113.643743495795,8.97982173207003,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,24-30mo,821,Ennedi_Est,raw cases,4,418.482622405667,33.3418907873714,418.482622405667,33.3418907873714,131.364661594008,10.4681323320808,131.364661594008,10.4681323320808,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,0-6mo,91,Ennedi_Ouest,raw cases,4,83.1458728264159,6.06391363695334,72.7410291597535,5.28822672073603,61.6536919358706,4.4828527080337,53.9817173898357,3.91090921862523,10.4048436666623,0.77568691621731,7.67197454603487,0.571943489408469,12.5139628859085,12.7918529625866,PMC co-delivery with EPI only
Chad,TCD,6-12mo,273.5,Ennedi_Ouest,raw cases,4,117.011265185904,10.8442105454876,111.111547320137,10.2850079334561,88.9283586736371,8.23954096352168,84.4311000846638,7.81299243144394,5.89971786576733,0.559202612031484,4.49725858897332,0.426548532077739,5.04200843943875,5.15669268579605,PMC co-delivery with EPI only
Chad,TCD,12-18mo,456,Ennedi_Ouest,raw cases,4,130.944697826732,10.1162442291378,130.944697826732,10.1162442291378,102.078134177348,7.87977751143356,102.078134177348,7.87977751143356,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,18-24mo,638.5,Ennedi_Ouest,raw cases,4,151.240071335992,14.3187300054932,151.240071335992,14.3187300054932,120.26481414863,11.3944996366891,120.26481414863,11.3944996366891,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,24-30mo,821,Ennedi_Ouest,raw cases,4,176.987919099968,12.200311498141,176.987919099968,12.200311498141,138.337950213364,9.54058508397671,138.337950213364,9.54058508397671,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,0-6mo,91,Guera,raw cases,4,2547.07727856863,187.259984390249,1975.87069132006,143.872703935402,271.233843131206,19.926701547397,210.722467395084,15.3285012046242,571.206587248563,43.3872804548475,60.5113757361219,4.59820034277283,22.4259621824102,23.169541851733,PMC co-delivery with EPI only
Chad,TCD,6-12mo,273.5,Guera,raw cases,4,4514.89749760665,360.296468542812,4000.61027668177,316.916658298821,492.869983584121,39.3248316676438,436.546816022545,34.573280969957104,514.28722092488,43.3798102439916,56.3231675615754,4.75155069768667,11.3908947256832,12.0400320379041,PMC co-delivery with EPI only
Chad,TCD,12-18mo,456,Guera,raw cases,4,5432.42113981644,367.029445408106,5432.42113981644,367.029445408106,608.078730509478,41.0824047099537,608.078730509478,41.0824047099537,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,18-24mo,638.5,Guera,raw cases,4,5894.53739374398,427.937685114335,5894.53739374398,427.937685114335,673.281536020172,48.8595262313016,673.281536020172,48.8595262313016,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,24-30mo,821,Guera,raw cases,4,6674.91914088283,388.601832462604,6674.91914088283,388.601832462604,749.689518315539,43.6432485829562,749.689518315539,43.6432485829562,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,0-6mo,91,Hadjer_Lamis,raw cases,4,2838.54622725198,187.324642141752,2195.1671604754,145.613988200607,299.634070529754,19.757991401947,232.031831464156,15.3791956806889,643.37906677658,41.7106539411451,67.6022390655981,4.37879572125813,22.6657949269841,22.2665066721878,PMC co-delivery with EPI only
Chad,TCD,6-12mo,273.5,Hadjer_Lamis,raw cases,4,5037.86544689683,372.208148019192,4482.3390150457,325.211168350756,545.277247404763,40.3135301778595,484.950707456745,35.210456929771,555.526431851134,46.9969796684362,60.3265399480186,5.10307324808849,11.0270200287568,12.6265316647536,PMC co-delivery with EPI only
Chad,TCD,12-18mo,456,Hadjer_Lamis,raw cases,4,5858.40539160667,387.12190199871,5858.40539160667,387.12190199871,650.290416860266,42.9694121594972,650.290416860266,42.9694121594972,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,18-24mo,638.5,Hadjer_Lamis,raw cases,4,6429.4619202109,433.622834620059,6429.4619202109,433.622834620059,728.471100090713,49.1300453436434,728.471100090713,49.1300453436434,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,24-30mo,821,Hadjer_Lamis,raw cases,4,7150.33625688028,392.954575966614,7150.33625688028,392.954575966614,796.246010298803,43.7395506408396,796.246010298803,43.7395506408396,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,0-6mo,91,Kanem,raw cases,4,1091.2575996764201,73.899532493184,895.268725585344,59.3408959240972,169.855535311474,11.4721954395301,139.515658803079,9.2202692588609,195.988874091073,14.5586365690868,30.3398765083954,2.25192618066925,17.9599092046817,19.700580068527,PMC co-delivery with EPI only
Chad,TCD,6-12mo,273.5,Kanem,raw cases,4,1691.14088856268,159.472739993088,1552.58412598371,147.820745521348,269.893244670157,25.4228337157118,247.719748071848,23.557389591224,138.556762578974,11.6519944717397,22.1734965983088,1.86544412448775,8.19309399447697,7.30657444792428,PMC co-delivery with EPI only
Chad,TCD,12-18mo,456,Kanem,raw cases,4,2064.86987478487,159.041133233473,2064.86987478487,159.041133233473,337.816095834608,26.0084117102782,337.816095834608,26.0084117102782,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,18-24mo,638.5,Kanem,raw cases,4,2238.31525149513,173.076455372862,2238.31525149513,173.076455372862,373.616116064509,28.8868060330051,373.616116064509,28.8868060330051,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,24-30mo,821,Kanem,raw cases,4,2692.5506506331,198.639540237638,2692.5506506331,198.639540237638,441.714218797045,32.5878184714821,441.714218797045,32.5878184714821,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,0-6mo,91,Lac,raw cases,4,1408.64838081952,108.670705679964,1135.60276191241,86.9097492874804,187.661498416585,14.4823657539034,151.475602414982,11.5969683856575,273.045618907109,21.7609563924836,36.1858960016033,2.88539736824591,19.3835184581874,20.0246756992356,PMC co-delivery with EPI only
Chad,TCD,6-12mo,273.5,Lac,raw cases,4,2368.77653130605,187.206471187757,2163.46882328576,170.731915899934,323.385440670446,25.5581545029517,295.271957022718,23.3022360384603,205.307708020293,16.4745552878224,28.1134836477283,2.25591846449142,8.66724679626469,8.80020609506572,PMC co-delivery with EPI only
Chad,TCD,12-18mo,456,Lac,raw cases,4,2710.58133638272,204.746779419575,2710.58133638272,204.746779419575,379.203481083094,28.6415880609688,379.203481083094,28.6415880609688,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,18-24mo,638.5,Lac,raw cases,4,3060.21821354804,242.213428265275,3060.21821354804,242.213428265275,436.999320082756,34.5643232333484,436.999320082756,34.5643232333484,0,0,0,0,0,0,PMC co-delivery with EPI only
Chad,TCD,24-30mo,821,Lac,raw cases,4,3469.47986159366,204.229521330071,3469.47986159366,204.229521330071,486.903795967092,28.6614085095063,486.903795967092,28.6614085095063,0,0,0,0,0,0,PMC co-delivery with EPI only
