Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,Scenario
Chad,TCD,n_age_0_6,3,4,raw cases,0.0827262233311011,0.00488782611418233,PMC co-delivery with EPI only
Chad,TCD,n_age_7_13,10,4,raw cases,0.09417742030388,0.00676242123132395,PMC co-delivery with EPI only
Chad,TCD,n_age_14_20,17,4,raw cases,0.104514613016855,0.00649735695799807,PMC co-delivery with EPI only
Chad,TCD,n_age_21_27,24,4,raw cases,0.108048752951159,0.00738745296878733,PMC co-delivery with EPI only
Chad,TCD,n_age_28_34,31,4,raw cases,0.127402043556688,0.00813226341778608,PMC co-delivery with EPI only
Chad,TCD,n_age_35_41,38,4,raw cases,0.14241408312618,0.00932007974842257,PMC co-delivery with EPI only
Chad,TCD,n_age_42_48,45,4,raw cases,0.0502208592559094,0.00346509008033227,PMC co-delivery with EPI only
Chad,TCD,n_age_49_55,52,4,raw cases,0.0641065673125688,0.00444268857069982,PMC co-delivery with EPI only
Chad,TCD,n_age_56_62,59,4,raw cases,0.0812438094792584,0.00442194674475439,PMC co-delivery with EPI only
Chad,TCD,n_age_63_69,66,4,raw cases,0.102605630569853,0.0063219890424009,PMC co-delivery with EPI only
Chad,TCD,n_age_70_76,73,4,raw cases,0.0804575532748469,0.00573689474828909,PMC co-delivery with EPI only
Chad,TCD,n_age_77_83,80,4,raw cases,0.0983687505593052,0.00677214005966467,PMC co-delivery with EPI only
Chad,TCD,n_age_84_90,87,4,raw cases,0.118864551065885,0.00893462796208242,PMC co-delivery with EPI only
Chad,TCD,n_age_91_97,94,4,raw cases,0.140269294674244,0.00855931027468396,PMC co-delivery with EPI only
Chad,TCD,n_age_98_104,101,4,raw cases,0.131150488533949,0.00928557117840697,PMC co-delivery with EPI only
Chad,TCD,n_age_105_111,108,4,raw cases,0.14377001613399,0.00961685499091083,PMC co-delivery with EPI only
Chad,TCD,n_age_112_118,115,4,raw cases,0.167565946155168,0.0107882428370676,PMC co-delivery with EPI only
Chad,TCD,n_age_119_125,122,4,raw cases,0.181871629961281,0.0124069269491095,PMC co-delivery with EPI only
Chad,TCD,n_age_126_132,129,4,raw cases,0.214708775829954,0.0148650052488282,PMC co-delivery with EPI only
Chad,TCD,n_age_133_139,136,4,raw cases,0.238377851904925,0.015822505106806,PMC co-delivery with EPI only
Chad,TCD,n_age_140_146,143,4,raw cases,0.256680180700819,0.0167051214959185,PMC co-delivery with EPI only
Chad,TCD,n_age_147_153,150,4,raw cases,0.273647562767388,0.0200360002400576,PMC co-delivery with EPI only
Chad,TCD,n_age_154_160,157,4,raw cases,0.286114102760975,0.019152739350326,PMC co-delivery with EPI only
Chad,TCD,n_age_161_167,164,4,raw cases,0.318869065185808,0.0240625314908559,PMC co-delivery with EPI only
Chad,TCD,n_age_168_174,171,4,raw cases,0.313122006698311,0.0205509572156071,PMC co-delivery with EPI only
Chad,TCD,n_age_175_181,178,4,raw cases,0.329426397623355,0.0269429407368229,PMC co-delivery with EPI only
Chad,TCD,n_age_182_188,185,4,raw cases,0.333641765761404,0.0270070872736964,PMC co-delivery with EPI only
Chad,TCD,n_age_189_195,192,4,raw cases,0.328457208013023,0.0272368027938409,PMC co-delivery with EPI only
Chad,TCD,n_age_196_202,199,4,raw cases,0.341898944088297,0.0240750710759797,PMC co-delivery with EPI only
Chad,TCD,n_age_203_209,206,4,raw cases,0.342469707028019,0.0257451178748685,PMC co-delivery with EPI only
Chad,TCD,n_age_210_216,213,4,raw cases,0.34910800169224,0.02791406877067,PMC co-delivery with EPI only
Chad,TCD,n_age_217_223,220,4,raw cases,0.362406175164189,0.0284523707520972,PMC co-delivery with EPI only
Chad,TCD,n_age_224_230,227,4,raw cases,0.354230655525203,0.027469842956112,PMC co-delivery with EPI only
Chad,TCD,n_age_231_237,234,4,raw cases,0.361283358954202,0.0289623548732604,PMC co-delivery with EPI only
Chad,TCD,n_age_238_244,241,4,raw cases,0.37142127933239,0.0288034115816431,PMC co-delivery with EPI only
Chad,TCD,n_age_245_251,248,4,raw cases,0.369487749887059,0.0276605707167883,PMC co-delivery with EPI only
Chad,TCD,n_age_252_258,255,4,raw cases,0.366160846220402,0.0252467881005436,PMC co-delivery with EPI only
Chad,TCD,n_age_259_265,262,4,raw cases,0.376723495701501,0.027590162629666,PMC co-delivery with EPI only
Chad,TCD,n_age_266_272,269,4,raw cases,0.383715549891819,0.026729643504669,PMC co-delivery with EPI only
Chad,TCD,n_age_273_279,276,4,raw cases,0.174869536946814,0.0131936344445762,PMC co-delivery with EPI only
Chad,TCD,n_age_280_286,283,4,raw cases,0.188048539115219,0.0161616342708884,PMC co-delivery with EPI only
Chad,TCD,n_age_287_293,290,4,raw cases,0.213307631248347,0.0180647936382606,PMC co-delivery with EPI only
Chad,TCD,n_age_294_300,297,4,raw cases,0.240707904445289,0.0182537451858165,PMC co-delivery with EPI only
Chad,TCD,n_age_301_307,304,4,raw cases,0.289867922637877,0.0228649584981351,PMC co-delivery with EPI only
Chad,TCD,n_age_308_314,311,4,raw cases,0.325682459173578,0.0243555394746363,PMC co-delivery with EPI only
Chad,TCD,n_age_315_321,318,4,raw cases,0.340912334260917,0.0262115582635731,PMC co-delivery with EPI only
Chad,TCD,n_age_322_328,325,4,raw cases,0.351657970387464,0.0255821784646791,PMC co-delivery with EPI only
Chad,TCD,n_age_329_335,332,4,raw cases,0.387978526414468,0.0335559985795755,PMC co-delivery with EPI only
Chad,TCD,n_age_336_342,339,4,raw cases,0.399867619120225,0.0312190355114578,PMC co-delivery with EPI only
Chad,TCD,n_age_343_349,346,4,raw cases,0.412449679989215,0.0307981001963374,PMC co-delivery with EPI only
Chad,TCD,n_age_350_356,353,4,raw cases,0.409205841465982,0.032784844257439,PMC co-delivery with EPI only
Chad,TCD,n_age_357_363,360,4,raw cases,0.422459937551782,0.0333233019688828,PMC co-delivery with EPI only
Chad,TCD,n_age_364_370,367,4,raw cases,0.425307873958419,0.0318004313068938,PMC co-delivery with EPI only
Chad,TCD,n_age_371_377,374,4,raw cases,0.42548351389796,0.0294789286816382,PMC co-delivery with EPI only
Chad,TCD,n_age_378_384,381,4,raw cases,0.421801191641411,0.0300279172213382,PMC co-delivery with EPI only
Chad,TCD,n_age_385_391,388,4,raw cases,0.43184523293158,0.031011255497662,PMC co-delivery with EPI only
Chad,TCD,n_age_392_398,395,4,raw cases,0.441393977652095,0.0330191829744866,PMC co-delivery with EPI only
Chad,TCD,n_age_399_405,402,4,raw cases,0.442618967000544,0.0289959545459672,PMC co-delivery with EPI only
Chad,TCD,n_age_406_412,409,4,raw cases,0.442203229627737,0.0317563775381889,PMC co-delivery with EPI only
Chad,TCD,n_age_413_419,416,4,raw cases,0.439769971357536,0.0323177200214702,PMC co-delivery with EPI only
Chad,TCD,n_age_420_426,423,4,raw cases,0.440187522314227,0.0323877583958828,PMC co-delivery with EPI only
Chad,TCD,n_age_427_433,430,4,raw cases,0.455381727880136,0.0350586119830571,PMC co-delivery with EPI only
Chad,TCD,n_age_434_440,437,4,raw cases,0.444374448969261,0.032129671697573,PMC co-delivery with EPI only
Chad,TCD,n_age_441_447,444,4,raw cases,0.453053508611119,0.0322067937378593,PMC co-delivery with EPI only
Chad,TCD,n_age_448_454,451,4,raw cases,0.448091305400079,0.0331548694674579,PMC co-delivery with EPI only
Chad,TCD,n_age_455_461,458,4,raw cases,0.459580778944369,0.0334200589651269,PMC co-delivery with EPI only
Chad,TCD,n_age_462_468,465,4,raw cases,0.458846706884324,0.0307340465828214,PMC co-delivery with EPI only
Chad,TCD,n_age_469_475,472,4,raw cases,0.461374669168079,0.0359896517691374,PMC co-delivery with EPI only
Chad,TCD,n_age_476_482,479,4,raw cases,0.455483604627817,0.0316877912345187,PMC co-delivery with EPI only
Chad,TCD,n_age_483_489,486,4,raw cases,0.469438558607081,0.0329914902576417,PMC co-delivery with EPI only
Chad,TCD,n_age_490_496,493,4,raw cases,0.466704469152895,0.0355365259988937,PMC co-delivery with EPI only
Chad,TCD,n_age_497_503,500,4,raw cases,0.470855997112099,0.0295494362161164,PMC co-delivery with EPI only
Chad,TCD,n_age_504_510,507,4,raw cases,0.475499424586959,0.0322481606602998,PMC co-delivery with EPI only
Chad,TCD,n_age_511_517,514,4,raw cases,0.473135116528424,0.0313238913175896,PMC co-delivery with EPI only
Chad,TCD,n_age_518_524,521,4,raw cases,0.481731868739229,0.0346256487563903,PMC co-delivery with EPI only
Chad,TCD,n_age_525_531,528,4,raw cases,0.485538124015749,0.0325213129398401,PMC co-delivery with EPI only
Chad,TCD,n_age_532_538,535,4,raw cases,0.473302143424064,0.0341375013314838,PMC co-delivery with EPI only
Chad,TCD,n_age_539_545,542,4,raw cases,0.482030244308826,0.0299971008197878,PMC co-delivery with EPI only
Chad,TCD,n_age_546_552,549,4,raw cases,0.496620828935474,0.0331863710812443,PMC co-delivery with EPI only
Chad,TCD,n_age_553_559,556,4,raw cases,0.472884116322384,0.0344849560499615,PMC co-delivery with EPI only
Chad,TCD,n_age_560_566,563,4,raw cases,0.476099302176489,0.0329575735671563,PMC co-delivery with EPI only
Chad,TCD,n_age_567_573,570,4,raw cases,0.483597503278034,0.0358512409319444,PMC co-delivery with EPI only
Chad,TCD,n_age_574_580,577,4,raw cases,0.490019146029248,0.0346220648640867,PMC co-delivery with EPI only
