"Iso code","Scenario","N doses","Admin-1 unit","age","rural","urban","merged"
"TGO","PMC co-delivery with EPI only",4,"Centre","0-1yr",18368.132087237,7162.17723102228,25530.3093182593
"TGO","PMC co-delivery with EPI only",4,"Centre","0-1yr",17980.421062357,6795.95432385237,24776.3753862093
"TGO","PMC co-delivery with EPI only",4,"Centre","0-1yr",17198.259194472,6309.97182692073,23508.2310213927
"TGO","PMC co-delivery with EPI only",4,"Centre","0-1yr",17573.1849940878,6861.037903634,24434.2228977218
"TGO","PMC co-delivery with EPI only",4,"Kara","0-1yr",24465.2741305724,2615.20429356,27080.4784241324
"TGO","PMC co-delivery with EPI only",4,"Kara","0-1yr",23115.8456647531,2504.03069283978,25619.8763575929
"TGO","PMC co-delivery with EPI only",4,"Kara","0-1yr",21225.7859009237,2389.31028026743,23615.0961811912
"TGO","PMC co-delivery with EPI only",4,"Kara","0-1yr",24534.9050526048,2585.01572066136,27119.9207732661
"TGO","PMC co-delivery with EPI only",4,"Maritime","0-1yr",23502.8352563711,94904.7340218661,118407.569278237
"TGO","PMC co-delivery with EPI only",4,"Maritime","0-1yr",21280.8059210168,91095.5151312446,112376.321052261
"TGO","PMC co-delivery with EPI only",4,"Maritime","0-1yr",18989.9638145967,79655.5707100591,98645.5345246559
"TGO","PMC co-delivery with EPI only",4,"Maritime","0-1yr",19962.5428382793,84310.0551243599,104272.597962639
"TGO","PMC co-delivery with EPI only",4,"Plateaux","0-1yr",43388.826299051,6624.42820724134,50013.2545062924
"TGO","PMC co-delivery with EPI only",4,"Plateaux","0-1yr",40191.4613477035,6308.93831691241,46500.3996646159
"TGO","PMC co-delivery with EPI only",4,"Plateaux","0-1yr",33595.4189170783,5582.06287883873,39177.481795917
"TGO","PMC co-delivery with EPI only",4,"Plateaux","0-1yr",37418.3010995889,5687.15723093837,43105.4583305272
"TGO","PMC co-delivery with EPI only",4,"Savanes","0-1yr",28542.0480389275,6738.64805445293,35280.6960933804
"TGO","PMC co-delivery with EPI only",4,"Savanes","0-1yr",27774.9396681917,6720.70870207511,34495.6483702668
"TGO","PMC co-delivery with EPI only",4,"Savanes","0-1yr",26085.5071835645,6372.1893517425,32457.696535307
"TGO","PMC co-delivery with EPI only",4,"Savanes","0-1yr",28703.8191404704,6308.78391803077,35012.6030585012
