Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Togo,rural/urban merged,TGO,Centre,n_age_0_6,3,clinical,ppy,0.0885913433768334
Togo,rural/urban merged,TGO,Centre,n_age_7_13,10,clinical,ppy,0.128664703744829
Togo,rural/urban merged,TGO,Centre,n_age_14_20,17,clinical,ppy,0.182087597609803
Togo,rural/urban merged,TGO,Centre,n_age_21_27,24,clinical,ppy,0.141995511022974
Togo,rural/urban merged,TGO,Centre,n_age_28_34,31,clinical,ppy,0.172707826661504
Togo,rural/urban merged,TGO,Centre,n_age_35_41,38,clinical,ppy,0.199131534996952
Togo,rural/urban merged,TGO,Centre,n_age_42_48,45,clinical,ppy,0.20845013383171
Togo,rural/urban merged,TGO,Centre,n_age_49_55,52,clinical,ppy,0.238582709414133
Togo,rural/urban merged,TGO,Centre,n_age_56_62,59,clinical,ppy,0.281776127783546
Togo,rural/urban merged,TGO,Centre,n_age_63_69,66,clinical,ppy,0.309644614191934
Togo,rural/urban merged,TGO,Centre,n_age_70_76,73,clinical,ppy,0.372850218538636
Togo,rural/urban merged,TGO,Centre,n_age_77_83,80,clinical,ppy,0.434884344746811
Togo,rural/urban merged,TGO,Centre,n_age_84_90,87,clinical,ppy,0.390081902479444
Togo,rural/urban merged,TGO,Centre,n_age_91_97,94,clinical,ppy,0.458460897090523
Togo,rural/urban merged,TGO,Centre,n_age_98_104,101,clinical,ppy,0.505419314662951
Togo,rural/urban merged,TGO,Centre,n_age_105_111,108,clinical,ppy,0.560912985730933
Togo,rural/urban merged,TGO,Centre,n_age_112_118,115,clinical,ppy,0.593514064801259
Togo,rural/urban merged,TGO,Centre,n_age_119_125,122,clinical,ppy,0.647345302107202
Togo,rural/urban merged,TGO,Centre,n_age_126_132,129,clinical,ppy,0.69330363525644
Togo,rural/urban merged,TGO,Centre,n_age_133_139,136,clinical,ppy,0.681941747844561
Togo,rural/urban merged,TGO,Centre,n_age_140_146,143,clinical,ppy,0.725652791641674
Togo,rural/urban merged,TGO,Centre,n_age_147_153,150,clinical,ppy,0.829296532838216
Togo,rural/urban merged,TGO,Centre,n_age_154_160,157,clinical,ppy,0.761336124108743
Togo,rural/urban merged,TGO,Centre,n_age_161_167,164,clinical,ppy,0.920026582998828
Togo,rural/urban merged,TGO,Centre,n_age_168_174,171,clinical,ppy,0.850036651131461
Togo,rural/urban merged,TGO,Centre,n_age_175_181,178,clinical,ppy,0.965837444106409
Togo,rural/urban merged,TGO,Centre,n_age_182_188,185,clinical,ppy,0.932203836342557
Togo,rural/urban merged,TGO,Centre,n_age_189_195,192,clinical,ppy,0.940652514088938
