Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
Togo,TGO,0-6mo,91,Centre,raw cases,4,3506.11429616241,184.320669993299,2306.36745612096,120.316610220916,474.712793950704,24.9489312802727,312.759868961653,16.3096492545107,1199.74684004145,64.0040597723823,161.952924989052,8.63928202576198,34.2187030626647,34.724298568744,PMC co-delivery with EPI only
Togo,TGO,6-12mo,273.5,Centre,raw cases,4,8086.97596666022,461.900259241274,6894.35573786642,393.237807646529,1107.97093584991,63.2782337543232,944.372449727247,53.8594561379831,1192.6202287938,68.6624515947454,163.59848612266,9.41877761634014,14.7474189822074,14.8652117466943,PMC co-delivery with EPI only
Togo,TGO,12-18mo,456,Centre,raw cases,4,9373.42177486431,491.183651349769,9373.42177486431,491.183651349769,1301.54125326112,68.2077892260058,1301.54125326112,68.2077892260058,0,0,0,0,0,0,PMC co-delivery with EPI only
Togo,TGO,18-24mo,638.5,Centre,raw cases,4,10133.472245609,481.753720757367,10133.472245609,481.753720757367,1423.2779330896,67.6442598342123,1423.2779330896,67.6442598342123,0,0,0,0,0,0,PMC co-delivery with EPI only
Togo,TGO,24-30mo,821,Centre,raw cases,4,11121.0329663774,384.453575553971,11121.0329663774,384.453575553971,1521.53158847058,52.5898410912426,1521.53158847058,52.5898410912426,0,0,0,0,0,0,PMC co-delivery with EPI only
Togo,TGO,0-6mo,91,Kara,raw cases,4,3600.14177214557,210.542124656987,2459.06456995227,144.456056292538,436.30087555649,25.5379223605644,298.422065473377,17.5523139456575,1141.07720219329,66.086068364449,137.878810083113,7.98560841490686,31.6953407507963,31.3885254421726,PMC co-delivery with EPI only
Togo,TGO,6-12mo,273.5,Kara,raw cases,4,8452.4907159203,477.477805191968,7164.86705436332,398.977949398998,1036.73070976594,58.564087169958,878.605727478299,48.9239457247096,1287.62366155699,78.4998557929705,158.124982287643,9.64014144524841,15.2336595783742,16.4405245520072,PMC co-delivery with EPI only
Togo,TGO,12-18mo,456,Kara,raw cases,4,9807.61601460988,511.928008767745,9807.61601460988,511.928008767745,1218.72645202718,63.6084797061514,1218.72645202718,63.6084797061514,0,0,0,0,0,0,PMC co-delivery with EPI only
Togo,TGO,18-24mo,638.5,Kara,raw cases,4,10664.9910401363,471.988089393582,10664.9910401363,471.988089393582,1340.71690111505,59.3236406043381,1340.71690111505,59.3236406043381,0,0,0,0,0,0,PMC co-delivery with EPI only
Togo,TGO,24-30mo,821,Kara,raw cases,4,11235.4089973305,398.007496723038,11235.4089973305,398.007496723038,1376.76446247954,48.7829669512906,1376.76446247954,48.7829669512906,0,0,0,0,0,0,PMC co-delivery with EPI only
Togo,TGO,0-6mo,91,Maritime,raw cases,4,1850.83931778185,109.283555926499,1274.31007171345,78.1533884083936,51.8220760356154,3.05556564220835,35.7291178221101,2.18696399811652,576.529246068394,31.1301675181056,16.0929582135053,0.86860164409183,31.149610910543,28.4856831882765,PMC co-delivery with EPI only
