Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,Scenario
Togo,TGO,n_age_0_6,3,Centre,raw cases,4,21.7967463522464,0.725133826772155,88.5913433768334,2.94725546664484,0,0,0,0,21.7967463522464,0.725133826772155,88.5913433768334,2.94725546664484,PMC co-delivery with EPI only
Togo,TGO,n_age_7_13,10,Centre,raw cases,4,36.9126984279561,1.74815737901733,128.664703744829,6.0934627065967,0,0,0,0,36.9126984279561,1.74815737901733,128.664703744829,6.0934627065967,PMC co-delivery with EPI only
Togo,TGO,n_age_14_20,17,Centre,raw cases,4,52.207914516578,2.32563753625972,182.087597609803,8.11121753875548,0,0,0,0,52.207914516578,2.32563753625972,182.087597609803,8.11121753875548,PMC co-delivery with EPI only
Togo,TGO,n_age_21_27,24,Centre,raw cases,4,40.6861190225661,1.43727438908947,141.995511022974,5.01612137657558,0,0,0,0,40.6861190225661,1.43727438908947,141.995511022974,5.01612137657558,PMC co-delivery with EPI only
Togo,TGO,n_age_28_34,31,Centre,raw cases,4,49.4579125400927,2.45861813296095,172.707826661504,8.585534094065,0,0,0,0,49.4579125400927,2.45861813296095,172.707826661504,8.585534094065,PMC co-delivery with EPI only
Togo,TGO,n_age_35_41,38,Centre,raw cases,4,56.9932847276687,2.80340949790639,199.131534996952,9.79496512985011,0,0,0,0,56.9932847276687,2.80340949790639,199.131534996952,9.79496512985011,PMC co-delivery with EPI only
Togo,TGO,n_age_42_48,45,Centre,raw cases,4,59.6287535012045,3.10411113606357,208.45013383171,10.8513484476559,51.0504712953739,2.65715889566587,178.462183910613,9.28889327533034,8.5782822058306,0.446952240397698,29.9879499210971,1.56245517232556,PMC co-delivery with EPI only
Togo,TGO,n_age_49_55,52,Centre,raw cases,4,68.218141571925,4.53000859635707,238.582709414133,15.8430250324054,57.5466992751903,3.81828364591588,201.260941951043,13.3538738605743,10.6714422967347,0.711724950441189,37.3217674630901,2.48915117183112,PMC co-delivery with EPI only
Togo,TGO,n_age_56_62,59,Centre,raw cases,4,80.5191144810477,5.2493769397713,281.776127783546,18.370161133766,63.2918401612914,4.12087125830282,221.489391132606,14.4209626961607,17.2272743197562,1.12850568146848,60.2867366509403,3.94919843760534,PMC co-delivery with EPI only
Togo,TGO,n_age_63_69,66,Centre,raw cases,4,88.4284700459921,5.97188159895771,309.644614191934,20.911375858334,56.3823949574817,3.80621258104498,197.430815265111,13.3279839126152,32.0460750885104,2.16566901791273,112.213798926823,7.58339194571879,PMC co-delivery with EPI only
