Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,Scenario
Togo,TGO,n_age_0_6,3,4,raw cases,0.0468929055847943,0.00290606623876675,PMC co-delivery with EPI only
Togo,TGO,n_age_7_13,10,4,raw cases,0.0634944873441481,0.00517846071011192,PMC co-delivery with EPI only
Togo,TGO,n_age_14_20,17,4,raw cases,0.0757227145464379,0.00388124499078408,PMC co-delivery with EPI only
Togo,TGO,n_age_21_27,24,4,raw cases,0.0845681295503638,0.0055111651831652,PMC co-delivery with EPI only
Togo,TGO,n_age_28_34,31,4,raw cases,0.0881367864568159,0.00547582915741408,PMC co-delivery with EPI only
Togo,TGO,n_age_35_41,38,4,raw cases,0.106601430901497,0.00555616286112601,PMC co-delivery with EPI only
Togo,TGO,n_age_42_48,45,4,raw cases,0.0224983313602981,7.3592777471666e-4,PMC co-delivery with EPI only
Togo,TGO,n_age_49_55,52,4,raw cases,0.025088778846599,0.00174487287666821,PMC co-delivery with EPI only
Togo,TGO,n_age_56_62,59,4,raw cases,0.0440047473721519,0.00239782939851389,PMC co-delivery with EPI only
Togo,TGO,n_age_63_69,66,4,raw cases,0.0709308828163189,0.00531416452554552,PMC co-delivery with EPI only
Togo,TGO,n_age_70_76,73,4,raw cases,0.0465433381787499,0.00200740510604369,PMC co-delivery with EPI only
Togo,TGO,n_age_77_83,80,4,raw cases,0.0517929765266712,0.003157497627303,PMC co-delivery with EPI only
Togo,TGO,n_age_84_90,87,4,raw cases,0.0669326593999095,0.00368445547209711,PMC co-delivery with EPI only
Togo,TGO,n_age_91_97,94,4,raw cases,0.115399191856087,0.00711463172374824,PMC co-delivery with EPI only
Togo,TGO,n_age_98_104,101,4,raw cases,0.0887276772934579,0.0049375969554015,PMC co-delivery with EPI only
Togo,TGO,n_age_105_111,108,4,raw cases,0.10350055728127,0.00554064964315657,PMC co-delivery with EPI only
Togo,TGO,n_age_112_118,115,4,raw cases,0.123009484463528,0.00715467217001034,PMC co-delivery with EPI only
Togo,TGO,n_age_119_125,122,4,raw cases,0.194886213548644,0.0113606796315529,PMC co-delivery with EPI only
Togo,TGO,n_age_126_132,129,4,raw cases,0.290644768479825,0.0144892911031928,PMC co-delivery with EPI only
Togo,TGO,n_age_133_139,136,4,raw cases,0.379046979113013,0.0229183380584844,PMC co-delivery with EPI only
Togo,TGO,n_age_140_146,143,4,raw cases,0.427054341221933,0.0232078081810686,PMC co-delivery with EPI only
Togo,TGO,n_age_147_153,150,4,raw cases,0.462183731035103,0.029915730817426,PMC co-delivery with EPI only
Togo,TGO,n_age_154_160,157,4,raw cases,0.503485671203667,0.0254445112132906,PMC co-delivery with EPI only
Togo,TGO,n_age_161_167,164,4,raw cases,0.54812360452459,0.0304780868258012,PMC co-delivery with EPI only
Togo,TGO,n_age_168_174,171,4,raw cases,0.593878737603195,0.0318308248367475,PMC co-delivery with EPI only
Togo,TGO,n_age_175_181,178,4,raw cases,0.596905951353101,0.0277057005787237,PMC co-delivery with EPI only
Togo,TGO,n_age_182_188,185,4,raw cases,0.617667495482719,0.0294314485535358,PMC co-delivery with EPI only
Togo,TGO,n_age_189_195,192,4,raw cases,0.645463702160964,0.0308446812469156,PMC co-delivery with EPI only
Togo,TGO,n_age_196_202,199,4,raw cases,0.657626856422215,0.0406526117365344,PMC co-delivery with EPI only
Togo,TGO,n_age_203_209,206,4,raw cases,0.652073666750649,0.0347717649141642,PMC co-delivery with EPI only
Togo,TGO,n_age_210_216,213,4,raw cases,0.721150126046377,0.0365696396178543,PMC co-delivery with EPI only
Togo,TGO,n_age_217_223,220,4,raw cases,0.668891555319478,0.0411381866348895,PMC co-delivery with EPI only
Togo,TGO,n_age_224_230,227,4,raw cases,0.717330680283825,0.0328952734906263,PMC co-delivery with EPI only
Togo,TGO,n_age_231_237,234,4,raw cases,0.706188835429543,0.0384628961077132,PMC co-delivery with EPI only
Togo,TGO,n_age_238_244,241,4,raw cases,0.7489610447664,0.0432501417690884,PMC co-delivery with EPI only
Togo,TGO,n_age_245_251,248,4,raw cases,0.749408176370811,0.0371354235406196,PMC co-delivery with EPI only
Togo,TGO,n_age_252_258,255,4,raw cases,0.723251192049786,0.0374214789200818,PMC co-delivery with EPI only
Togo,TGO,n_age_259_265,262,4,raw cases,0.767753117164897,0.038542991365481,PMC co-delivery with EPI only
Togo,TGO,n_age_266_272,269,4,raw cases,0.774678235599015,0.0481963597515856,PMC co-delivery with EPI only
Togo,TGO,n_age_273_279,276,4,raw cases,0.194273278912803,0.00882495127761693,PMC co-delivery with EPI only
Togo,TGO,n_age_280_286,283,4,raw cases,0.191066114700938,0.0122017783547711,PMC co-delivery with EPI only
Togo,TGO,n_age_287_293,290,4,raw cases,0.249703312873051,0.0147874120291347,PMC co-delivery with EPI only
Togo,TGO,n_age_294_300,297,4,raw cases,0.350282621990684,0.0196309696871728,PMC co-delivery with EPI only
Togo,TGO,n_age_301_307,304,4,raw cases,0.522274495396895,0.0249849030425289,PMC co-delivery with EPI only
Togo,TGO,n_age_308_314,311,4,raw cases,0.677149358626403,0.0400654031768403,PMC co-delivery with EPI only
Togo,TGO,n_age_315_321,318,4,raw cases,0.74216932105256,0.0329442199384815,PMC co-delivery with EPI only
Togo,TGO,n_age_322_328,325,4,raw cases,0.778540452383084,0.0408931704409964,PMC co-delivery with EPI only
Togo,TGO,n_age_329_335,332,4,raw cases,0.808222076900218,0.0413402151002195,PMC co-delivery with EPI only
Togo,TGO,n_age_336_342,339,4,raw cases,0.819565586154925,0.0349790781467836,PMC co-delivery with EPI only
Togo,TGO,n_age_343_349,346,4,raw cases,0.831502153108078,0.0407076028704849,PMC co-delivery with EPI only
